Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:37.746836 True [     450.172141] 0003 0036 00000357
2022-04-06 14:17:37.755285 True [     450.180598] 0003 0035 000003db
2022-04-06 14:17:37.755285 True [     450.180598] 0003 0036 00000358
2022-04-06 14:17:37.762524 True [     450.188804] 0003 0035 000003dc
2022-04-06 14:17:37.771745 True [     450.197353] 0003 0035 000003dd
2022-04-06 14:17:37.771745 True [     450.197353] 0003 0036 00000359
2022-04-06 14:17:37.787652 True [     450.213942] 0003 0035 000003de
2022-04-06 14:17:37.797326 True [     450.222147] 0003 0036 0000035a
2022-04-06 14:17:37.805650 True [     450.231650] 0003 0035 000003df
2022-04-06 14:17:37.812767 True [     450.239285] 0003 0035 000003e0
2022-04-06 14:17:37.812767 True [     450.239285] 0003 0036 0000035b
2022-04-06 14:17:37.836835 True [     450.263985] 0003 0035 000003e1
2022-04-06 14:17:37.846117 True [     450.272165] 0003 0035 000003e2
2022-04-06 14:17:37.846117 True [     450.272165] 0003 0036 0000035c
2022-04-06 14:17:37.854348 True [     450.280619] 0003 0035 000003e3
2022-04-06 14:17:37.862306 True [     450.288867] 0003 0035 000003e4
2022-04-06 14:17:37.862306 True [     450.288867] 0003 0036 0000035d
2022-04-06 14:17:37.887746 True [     450.305593] 0003 0035 000003e6
2022-04-06 14:17:37.887746 True [     450.305593] 0003 0036 0000035e
2022-04-06 14:17:37.887746 True [     450.313985] 0003 0035 000003e7
2022-04-06 14:17:37.895710 True [     450.322144] 0003 0035 000003e8
2022-04-06 14:17:37.904253 True [     450.330584] 0003 0035 000003e9
2022-04-06 14:17:37.912905 True [     450.338833] 0003 0035 000003eb
2022-04-06 14:17:37.912905 True [     450.338833] 0003 0036 0000035f
2022-04-06 14:17:37.920729 True [     450.347279] 0003 0035 000003ec
2022-04-06 14:17:37.929419 True [     450.355586] 0003 0035 000003ee
2022-04-06 14:17:37.929419 True [     450.355586] 0003 0036 00000360
2022-04-06 14:17:37.937366 True [     450.364034] 0003 0035 000003ef
2022-04-06 14:17:37.946179 True [     450.372141] 0003 0035 000003f0
2022-04-06 14:17:37.946179 True [     450.372141] 0003 0036 00000361
2022-04-06 14:17:37.954164 True [     450.380631] 0003 0035 000003f2
2022-04-06 14:17:37.954164 True [     450.380631] 0003 0036 00000362
2022-04-06 14:17:37.970789 True [     450.397260] 0003 0035 000003f4
