Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9920400165602349 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 14:40:16.275442 False [    7725.329779] 0003 0035 00000537
2022-04-07 14:40:16.275442 False [    7725.329779] 0003 0036 00000656
2022-04-07 14:40:16.284550 False [    7725.337994] 0003 0035 0000053c
2022-04-07 14:40:16.284550 False [    7725.337994] 0003 0036 00000660
2022-04-07 14:40:16.290943 False [    7725.346386] 0003 0035 0000053e
2022-04-07 14:40:16.290943 False [    7725.346386] 0003 0036 0000066a
2022-04-07 14:40:16.299262 False [    7725.354574] 0003 0035 00000541
2022-04-07 14:40:16.299262 False [    7725.354574] 0003 0036 00000671
2022-04-07 14:40:16.308079 False [    7725.363040] 0003 0035 00000542
2022-04-07 14:40:16.308079 False [    7725.363040] 0003 0036 00000676
2022-04-07 14:40:16.316248 False [    7725.371299] 0003 0035 00000543
2022-04-07 14:40:16.316248 False [    7725.371299] 0003 0036 0000067a
2022-04-07 14:40:16.323367 False [    7725.379602] 0003 0035 00000544
2022-04-07 14:40:16.323367 False [    7725.379602] 0003 0036 0000067e
2022-04-07 14:40:16.333599 False [    7725.387839] 0003 0035 00000545
2022-04-07 14:40:16.333599 False [    7725.387839] 0003 0036 00000682
2022-04-07 14:40:16.341246 False [    7725.395785] 0003 0036 00000685
2022-04-07 14:40:16.349344 False [    7725.404231] 0003 0035 0000053e
2022-04-07 14:40:16.349344 False [    7725.404231] 0003 0036 0000067c
2022-04-07 14:40:16.356992 False [    7725.412744] 0003 0035 00000538
2022-04-07 14:40:16.356992 False [    7725.412744] 0003 0036 00000676
2022-04-07 14:40:16.365738 False [    7725.420995] 0003 0035 00000534
