Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.2787713170649056 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:43:44.824752 True [    1758.372905] 0003 0036 00000464
2022-04-06 14:43:44.834764 True [    1758.381990] 0003 0035 00000381
2022-04-06 14:43:44.834764 True [    1758.381990] 0003 0036 00000466
2022-04-06 14:43:44.842548 True [    1758.389564] 0003 0035 00000385
2022-04-06 14:43:44.842548 True [    1758.389564] 0003 0036 00000468
2022-04-06 14:43:44.851647 True [    1758.398944] 0003 0035 00000389
2022-04-06 14:43:44.851647 True [    1758.398944] 0003 0036 0000046b
2022-04-06 14:43:44.858629 True [    1758.406138] 0003 0035 0000038e
2022-04-06 14:43:44.858629 True [    1758.406138] 0003 0036 0000046d
2022-04-06 14:43:44.867836 True [    1758.415233] 0003 0035 00000392
2022-04-06 14:43:44.867836 True [    1758.415233] 0003 0036 00000470
2022-04-06 14:43:44.874797 True [    1758.422572] 0003 0035 00000396
2022-04-06 14:43:44.874797 True [    1758.422572] 0003 0036 00000472
2022-04-06 14:43:44.885369 True [    1758.432396] 0003 0035 0000039b
2022-04-06 14:43:44.885369 True [    1758.432396] 0003 0036 00000475
2022-04-06 14:43:44.891809 True [    1758.439180] 0003 0035 0000039f
2022-04-06 14:43:44.891809 True [    1758.439180] 0003 0036 00000477
2022-04-06 14:43:44.900785 True [    1758.448763] 0003 0035 000003a2
2022-04-06 14:43:44.900785 True [    1758.448763] 0003 0036 00000479
2022-04-06 14:43:44.909217 True [    1758.456329] 0003 0035 000003a6
2022-04-06 14:43:44.909217 True [    1758.456329] 0003 0036 0000047d
2022-04-06 14:43:44.918400 True [    1758.465508] 0003 0035 000003a9
2022-04-06 14:43:44.918400 True [    1758.465508] 0003 0036 0000047f
2022-04-06 14:43:44.925751 True [    1758.472711] 0003 0035 000003ac
2022-04-06 14:43:44.925751 True [    1758.472711] 0003 0036 00000482
