Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.97733540518634 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:26:58.582943 False [   19395.658712] 0003 0036 00000085
2022-03-16 15:26:58.605717 False [   19395.675657] 0003 0035 00000439
2022-03-16 15:26:58.605717 False [   19395.675657] 0003 0036 0000007e
2022-03-16 15:26:58.616712 False [   19395.692364] 0003 0035 00000439
2022-03-16 15:26:58.617692 False [   19395.692364] 0003 0036 00000079
2022-03-16 15:26:58.639675 False [   19395.709743] 0003 0035 00000439
2022-03-16 15:26:58.639675 False [   19395.709743] 0003 0036 00000075
2022-03-16 15:26:58.651002 False [   19395.726777] 0003 0035 00000439
2022-03-16 15:26:58.651994 False [   19395.726777] 0003 0036 00000075
2022-03-16 15:26:58.668582 False [   19395.743687] 0003 0035 00000439
2022-03-16 15:26:58.668582 False [   19395.743687] 0003 0036 00000075
2022-03-16 15:26:58.684625 False [   19395.759988] 0003 0035 00000439
2022-03-16 15:26:58.684625 False [   19395.759988] 0003 0036 00000075
2022-03-16 15:26:58.703626 False [   19395.778243] 0003 0035 00000439
2022-03-16 15:26:58.703626 False [   19395.778243] 0003 0036 00000075
2022-03-16 15:26:58.724314 False [   19395.794981] 0003 0035 00000439
2022-03-16 15:26:58.724314 False [   19395.794981] 0003 0036 00000075
2022-03-16 15:26:58.741002 False [   19395.811371] 0003 0035 00000439
2022-03-16 15:26:58.741002 False [   19395.811371] 0003 0036 00000075
2022-03-16 15:26:58.755001 False [   19395.828692] 0003 0035 00000439
2022-03-16 15:26:58.755001 False [   19395.828692] 0003 0036 00000075
2022-03-16 15:26:58.770552 False [   19395.846046] 0003 0035 00000439
2022-03-16 15:26:58.770552 False [   19395.846046] 0003 0036 00000075
2022-03-16 15:26:58.789542 False [   19395.862819] 0003 0035 00000439
2022-03-16 15:26:58.789542 False [   19395.862819] 0003 0036 00000075
2022-03-16 15:26:58.803539 False [   19395.879672] 0003 0035 00000439
2022-03-16 15:26:58.803539 False [   19395.879672] 0003 0036 00000075
2022-03-16 15:26:58.820414 False [   19395.895772] 0003 0035 00000439
2022-03-16 15:26:58.820414 False [   19395.895772] 0003 0036 00000075
2022-03-16 15:26:58.839314 False [   19395.913930] 0003 0035 00000439
2022-03-16 15:26:58.839314 False [   19395.913930] 0003 0036 00000075
2022-03-16 15:26:58.858883 False [   19395.930675] 0003 0035 00000439
2022-03-16 15:26:58.858883 False [   19395.930675] 0003 0036 00000075
2022-03-16 15:26:58.872806 False [   19395.948068] 0003 0035 00000439
