Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9981248280230397 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:19:21.838344 False [  146685.093874] 0003 0036 000002f8
2022-04-02 14:19:21.838344 False [  146685.101797] 0003 0035 00000227
2022-04-02 14:19:21.838344 False [  146685.101797] 0003 0036 000002f9
2022-04-02 14:19:21.877037 False [  146685.116277] 0003 0035 00000228
2022-04-02 14:19:21.877037 False [  146685.116277] 0003 0036 000002fa
2022-04-02 14:19:21.877037 False [  146685.126138] 0003 0035 00000229
2022-04-02 14:19:21.877037 False [  146685.136517] 0003 0036 000002fb
2022-04-02 14:19:21.877037 False [  146685.145553] 0003 0035 0000022a
2022-04-02 14:19:21.877037 False [  146685.145553] 0003 0036 000002fc
2022-04-02 14:19:21.877037 False [  146685.154760] 0003 0035 0000022b
2022-04-02 14:19:21.880789 False [  146685.164859] 0003 0036 000002fd
2022-04-02 14:19:21.880789 False [  146685.177461] 0003 0035 0000022c
