Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:52.424655 True [    1424.834352] 0003 0036 00000377
2022-04-06 14:33:52.441204 True [    1424.851010] 0003 0036 00000376
2022-04-06 14:33:52.449679 True [    1424.859212] 0003 0036 00000375
2022-04-06 14:33:52.456654 True [    1424.867676] 0003 0036 00000374
2022-04-06 14:33:52.475226 True [    1424.884279] 0003 0036 00000373
2022-04-06 14:33:52.481805 True [    1424.892539] 0003 0036 00000372
2022-04-06 14:33:52.489776 True [    1424.900970] 0003 0036 00000371
2022-04-06 14:33:52.498320 True [    1424.909251] 0003 0036 00000370
2022-04-06 14:33:52.507616 True [    1424.917630] 0003 0036 0000036f
2022-04-06 14:33:52.516887 True [    1424.925872] 0003 0036 0000036e
2022-04-06 14:33:52.534823 True [    1424.942580] 0003 0036 0000036c
2022-04-06 14:33:52.539633 True [    1424.950987] 0003 0036 0000036b
2022-04-06 14:33:52.547947 True [    1424.959220] 0003 0036 0000036a
2022-04-06 14:33:52.557081 True [    1424.967682] 0003 0036 00000369
2022-04-06 14:33:52.572739 True [    1424.984298] 0003 0036 00000368
2022-04-06 14:33:52.580854 True [    1424.992543] 0003 0036 00000367
2022-04-06 14:33:52.589239 True [    1425.000972] 0003 0036 00000366
2022-04-06 14:33:52.598799 True [    1425.009176] 0003 0036 00000365
2022-04-06 14:33:52.607681 True [    1425.017641] 0003 0036 00000364
2022-04-06 14:33:52.624646 True [    1425.034283] 0003 0036 00000363
2022-04-06 14:33:52.632753 True [    1425.042557] 0003 0036 00000362
2022-04-06 14:33:52.642085 True [    1425.051002] 0003 0036 00000361
2022-04-06 14:33:52.649679 True [    1425.059193] 0003 0036 00000360
2022-04-06 14:33:52.657684 True [    1425.067659] 0003 0036 0000035f
2022-04-06 14:33:52.665425 True [    1425.075862] 0003 0036 0000035e
