Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:32.118878 False [  156955.297157] 0003 0035 000004fb
2022-04-02 17:10:32.118878 False [  156955.297157] 0003 0036 000003e5
2022-04-02 17:10:32.126629 False [  156955.305688] 0003 0035 000004f8
2022-04-02 17:10:32.126629 False [  156955.305688] 0003 0036 000003ef
2022-04-02 17:10:32.135133 False [  156955.313799] 0003 0035 000004f5
2022-04-02 17:10:32.135133 False [  156955.313799] 0003 0036 000003f8
2022-04-02 17:10:32.142670 False [  156955.322177] 0003 0035 000004f1
2022-04-02 17:10:32.142670 False [  156955.322177] 0003 0036 00000403
2022-04-02 17:10:32.151560 False [  156955.330402] 0003 0035 000004ec
2022-04-02 17:10:32.151560 False [  156955.330402] 0003 0036 0000040d
2022-04-02 17:10:32.159641 False [  156955.339512] 0003 0035 000004e8
2022-04-02 17:10:32.159641 False [  156955.339512] 0003 0036 0000041a
2022-04-02 17:10:32.166956 False [  156955.346955] 0003 0035 000004e2
2022-04-02 17:10:32.166956 False [  156955.346955] 0003 0036 00000426
2022-04-02 17:10:32.175257 False [  156955.355586] 0003 0035 000004dc
2022-04-02 17:10:32.175257 False [  156955.355586] 0003 0036 00000430
2022-04-02 17:10:32.184156 False [  156955.363889] 0003 0035 000004d9
2022-04-02 17:10:32.184156 False [  156955.363889] 0003 0036 00000437
2022-04-02 17:10:32.194054 False [  156955.372583] 0003 0035 000004d5
2022-04-02 17:10:32.194054 False [  156955.372583] 0003 0036 0000043e
2022-04-02 17:10:32.201157 False [  156955.380272] 0003 0035 000004d3
2022-04-02 17:10:32.201157 False [  156955.380272] 0003 0036 00000442
2022-04-02 17:10:32.208536 False [  156955.388946] 0003 0035 000004d0
2022-04-02 17:10:32.208536 False [  156955.388946] 0003 0036 00000445
2022-04-02 17:10:32.218273 False [  156955.396921] 0003 0035 000004ce
2022-04-02 17:10:32.218273 False [  156955.396921] 0003 0036 00000449
2022-04-02 17:10:32.226327 False [  156955.405273] 0003 0035 000004cc
2022-04-02 17:10:32.226327 False [  156955.405273] 0003 0036 0000044c
2022-04-02 17:10:32.235151 False [  156955.413448] 0003 0035 000004cb
2022-04-02 17:10:32.235151 False [  156955.413448] 0003 0036 0000044e
2022-04-02 17:10:32.242944 False [  156955.422059] 0003 0035 000004ca
2022-04-02 17:10:32.242944 False [  156955.422059] 0003 0036 0000044f
2022-04-02 17:10:32.269622 False [  156955.446709] 0003 0035 000004cb
2022-04-02 17:10:32.269622 False [  156955.446709] 0003 0036 0000044d
2022-04-02 17:10:32.275330 False [  156955.455117] 0003 0036 0000044c
2022-04-02 17:10:32.282879 False [  156955.463283] 0003 0035 000004ce
2022-04-02 17:10:32.282879 False [  156955.463283] 0003 0036 00000445
2022-04-02 17:10:32.291447 False [  156955.471949] 0003 0035 000004d2
2022-04-02 17:10:32.291447 False [  156955.471949] 0003 0036 0000043c
2022-04-02 17:10:32.300705 False [  156955.479919] 0003 0035 000004d8
2022-04-02 17:10:32.300705 False [  156955.479919] 0003 0036 00000432
2022-04-02 17:10:32.310213 False [  156955.488344] 0003 0035 000004de
2022-04-02 17:10:32.310213 False [  156955.488344] 0003 0036 00000428
2022-04-02 17:10:32.318407 False [  156955.496792] 0003 0035 000004e3
2022-04-02 17:10:32.318407 False [  156955.496792] 0003 0036 0000041f
2022-04-02 17:10:32.326349 False [  156955.505131] 0003 0035 000004e9
2022-04-02 17:10:32.326349 False [  156955.505131] 0003 0036 00000415
2022-04-02 17:10:32.333166 False [  156955.513200] 0003 0035 000004ed
2022-04-02 17:10:32.333166 False [  156955.513200] 0003 0036 0000040c
2022-04-02 17:10:32.343053 False [  156955.521623] 0003 0035 000004f0
2022-04-02 17:10:32.343053 False [  156955.521623] 0003 0036 00000405
2022-04-02 17:10:32.351510 False [  156955.529810] 0003 0035 000004f4
2022-04-02 17:10:32.351510 False [  156955.529810] 0003 0036 000003fc
2022-04-02 17:10:32.358559 False [  156955.538554] 0003 0035 000004f7
2022-04-02 17:10:32.358559 False [  156955.538554] 0003 0036 000003f5
2022-04-02 17:10:32.367659 False [  156955.546413] 0003 0035 000004f9
2022-04-02 17:10:32.367659 False [  156955.546413] 0003 0036 000003ef
2022-04-02 17:10:32.375852 False [  156955.554803] 0003 0035 000004fb
2022-04-02 17:10:32.375852 False [  156955.554803] 0003 0036 000003eb
2022-04-02 17:10:32.384006 False [  156955.562999] 0003 0036 000003e7
2022-04-02 17:10:32.391647 False [  156955.571422] 0003 0035 000004fd
2022-04-02 17:10:32.391647 False [  156955.571422] 0003 0036 000003e5
2022-04-02 17:10:32.400499 False [  156955.579606] 0003 0035 000004fe
2022-04-02 17:10:32.400499 False [  156955.579606] 0003 0036 000003e3
2022-04-02 17:10:32.408238 False [  156955.588081] 0003 0036 000003e2
2022-04-02 17:10:32.417819 False [  156955.596314] 0003 0036 000003e1
2022-04-02 17:10:32.426079 False [  156955.604716] 0003 0036 000003e0
2022-04-02 17:10:32.442654 False [  156955.621275] 0003 0035 000004fc
2022-04-02 17:10:32.442654 False [  156955.621275] 0003 0036 000003e2
2022-04-02 17:10:32.451111 False [  156955.629530] 0003 0035 000004fb
2022-04-02 17:10:32.451111 False [  156955.629530] 0003 0036 000003e4
2022-04-02 17:10:32.459543 False [  156955.638113] 0003 0035 000004f4
2022-04-02 17:10:32.459543 False [  156955.638113] 0003 0036 000003ed
2022-04-02 17:10:32.466575 False [  156955.646298] 0003 0035 000004f0
2022-04-02 17:10:32.466575 False [  156955.646298] 0003 0036 000003f7
2022-04-02 17:10:32.474205 False [  156955.654518] 0003 0035 000004eb
2022-04-02 17:10:32.474205 False [  156955.654518] 0003 0036 000003ff
2022-04-02 17:10:32.483133 False [  156955.662757] 0003 0035 000004e4
2022-04-02 17:10:32.483133 False [  156955.662757] 0003 0036 00000409
2022-04-02 17:10:32.491525 False [  156955.671191] 0003 0035 000004de
2022-04-02 17:10:32.491525 False [  156955.671191] 0003 0036 00000414
2022-04-02 17:10:32.499638 False [  156955.679368] 0003 0035 000004d7
2022-04-02 17:10:32.499638 False [  156955.679368] 0003 0036 00000420
2022-04-02 17:10:32.508547 False [  156955.687781] 0003 0035 000004d2
2022-04-02 17:10:32.508547 False [  156955.687781] 0003 0036 0000042b
2022-04-02 17:10:32.515942 False [  156955.695977] 0003 0035 000004cf
2022-04-02 17:10:32.515942 False [  156955.695977] 0003 0036 00000432
2022-04-02 17:10:32.523910 False [  156955.704396] 0003 0035 000004cb
2022-04-02 17:10:32.523910 False [  156955.704396] 0003 0036 00000439
2022-04-02 17:10:32.533232 False [  156955.712637] 0003 0035 000004c9
2022-04-02 17:10:32.533232 False [  156955.712637] 0003 0036 0000043e
2022-04-02 17:10:32.541714 False [  156955.721036] 0003 0035 000004c7
2022-04-02 17:10:32.541714 False [  156955.721036] 0003 0036 00000442
2022-04-02 17:10:32.551528 False [  156955.729232] 0003 0035 000004c5
2022-04-02 17:10:32.551528 False [  156955.729232] 0003 0036 00000445
2022-04-02 17:10:32.558008 False [  156955.737643] 0003 0035 000004c4
2022-04-02 17:10:32.558008 False [  156955.737643] 0003 0036 00000448
2022-04-02 17:10:32.566627 False [  156955.745865] 0003 0035 000004c3
2022-04-02 17:10:32.566627 False [  156955.745865] 0003 0036 0000044a
2022-04-02 17:10:32.575287 False [  156955.754401] 0003 0035 000004c2
2022-04-02 17:10:32.575287 False [  156955.754401] 0003 0036 0000044b
2022-04-02 17:10:32.583271 False [  156955.762551] 0003 0035 000004c1
2022-04-02 17:10:32.584271 False [  156955.762551] 0003 0036 0000044d
2022-04-02 17:10:32.592403 False [  156955.770931] 0003 0036 0000044c
2022-04-02 17:10:32.600003 False [  156955.779067] 0003 0036 0000044b
2022-04-02 17:10:32.607880 False [  156955.787531] 0003 0035 000004c2
2022-04-02 17:10:32.607880 False [  156955.787531] 0003 0036 00000448
2022-04-02 17:10:32.617472 False [  156955.795735] 0003 0035 000004c5
2022-04-02 17:10:32.617472 False [  156955.795735] 0003 0036 00000440
2022-04-02 17:10:32.625181 False [  156955.804151] 0003 0035 000004c9
2022-04-02 17:10:32.625181 False [  156955.804151] 0003 0036 00000437
2022-04-02 17:10:32.632517 False [  156955.812320] 0003 0035 000004cd
2022-04-02 17:10:32.632517 False [  156955.812320] 0003 0036 0000042c
2022-04-02 17:10:32.641125 False [  156955.820828] 0003 0035 000004d4
2022-04-02 17:10:32.641125 False [  156955.820828] 0003 0036 00000420
2022-04-02 17:10:32.651292 False [  156955.829006] 0003 0035 000004da
2022-04-02 17:10:32.651292 False [  156955.829006] 0003 0036 00000414
2022-04-02 17:10:32.657705 False [  156955.837371] 0003 0035 000004df
2022-04-02 17:10:32.657705 False [  156955.837371] 0003 0036 00000409
2022-04-02 17:10:32.665110 False [  156955.845564] 0003 0035 000004e4
2022-04-02 17:10:32.665110 False [  156955.845564] 0003 0036 00000400
2022-04-02 17:10:32.673055 False [  156955.853943] 0003 0035 000004e8
2022-04-02 17:10:32.673055 False [  156955.853943] 0003 0036 000003f5
2022-04-02 17:10:32.684208 False [  156955.862277] 0003 0035 000004eb
2022-04-02 17:10:32.684208 False [  156955.862277] 0003 0036 000003ef
2022-04-02 17:10:32.692359 False [  156955.870574] 0003 0035 000004ec
2022-04-02 17:10:32.692359 False [  156955.870574] 0003 0036 000003e9
2022-04-02 17:10:32.700904 False [  156955.878797] 0003 0035 000004ee
