Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21523805025642817 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:51:04.592780 False [  159387.663265] 0003 0035 00000534
2022-04-02 17:51:04.592780 False [  159387.663265] 0003 0036 00000369
2022-04-02 17:51:04.592780 False [  159387.675024] 0003 0036 00000364
2022-04-02 17:51:04.592780 False [  159387.688532] 0003 0035 00000533
2022-04-02 17:51:04.592780 False [  159387.688532] 0003 0036 00000360
2022-04-02 17:51:04.592780 False [  159387.699484] 0003 0035 00000530
2022-04-02 17:51:04.592780 False [  159387.699484] 0003 0036 0000035b
2022-04-02 17:51:04.592780 False [  159387.710708] 0003 0036 0000035a
2022-04-02 17:51:04.592780 False [  159387.722195] 0003 0035 0000052f
2022-04-02 17:51:04.592780 False [  159387.722195] 0003 0036 00000359
2022-04-02 17:51:04.664294 False [  159387.742999] 0003 0035 0000052e
2022-04-02 17:51:04.664294 False [  159387.742999] 0003 0036 0000035d
2022-04-02 17:51:04.734801 False [  159387.752167] 0003 0035 0000052d
2022-04-02 17:51:04.734801 False [  159387.752167] 0003 0036 00000361
2022-04-02 17:51:04.734801 False [  159387.764320] 0003 0035 0000052b
2022-04-02 17:51:04.734801 False [  159387.764320] 0003 0036 00000368
2022-04-02 17:51:04.734801 False [  159387.776163] 0003 0035 00000529
2022-04-02 17:51:04.734801 False [  159387.776163] 0003 0036 00000371
2022-04-02 17:51:04.734801 False [  159387.786090] 0003 0035 00000527
2022-04-02 17:51:04.734801 False [  159387.786090] 0003 0036 0000038b
2022-04-02 17:51:04.734801 False [  159387.799222] 0003 0035 00000526
2022-04-02 17:51:04.734801 False [  159387.799222] 0003 0036 0000039a
2022-04-02 17:51:04.803581 False [  159387.813527] 0003 0035 00000525
2022-04-02 17:51:04.803581 False [  159387.813527] 0003 0036 000003ac
2022-04-02 17:51:04.803581 False [  159387.826233] 0003 0036 000003d2
2022-04-02 17:51:04.803581 False [  159387.839939] 0003 0035 00000526
2022-04-02 17:51:04.803581 False [  159387.839939] 0003 0036 000003f7
2022-04-02 17:51:04.803581 False [  159387.849126] 0003 0036 0000040a
2022-04-02 17:51:04.803581 False [  159387.855934] 0003 0036 0000041d
2022-04-02 17:51:04.803581 False [  159387.869387] 0003 0036 0000042f
2022-04-02 17:51:04.803581 False [  159387.882038] 0003 0035 00000525
2022-04-02 17:51:04.803581 False [  159387.882038] 0003 0036 00000455
