Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:39.265670 False [     235.627337] 0003 0035 000000f3
2022-03-10 16:52:39.266707 False [     235.627337] 0003 0035 000002ac
2022-03-10 16:52:39.282802 False [     235.644958] 0003 0035 000000f3
2022-03-10 16:52:39.283817 True [     235.644958] 0003 0035 000002ac
2022-03-10 16:52:39.298691 False [     235.661194] 0003 0035 000000f3
2022-03-10 16:52:39.299684 True [     235.661194] 0003 0035 000002ac
2022-03-10 16:52:39.316252 False [     235.678144] 0003 0035 000000f3
2022-03-10 16:52:39.316535 True [     235.678144] 0003 0035 000002a8
2022-03-10 16:52:39.333246 False [     235.695036] 0003 0035 000000f3
2022-03-10 16:52:39.333246 True [     235.695036] 0003 0035 000002a8
2022-03-10 16:52:39.350383 False [     235.711961] 0003 0035 000000f9
2022-03-10 16:52:39.350383 True [     235.711961] 0003 0035 000002a4
2022-03-10 16:52:39.366741 False [     235.728886] 0003 0035 000000fe
2022-03-10 16:52:39.367763 True [     235.728886] 0003 0035 000002a0
2022-03-10 16:52:39.383856 False [     235.745974] 0003 0035 00000104
2022-03-10 16:52:39.384390 False [     235.745974] 0003 0035 0000029b
2022-03-10 16:52:39.400998 False [     235.762849] 0003 0035 00000109
2022-03-10 16:52:39.400998 True [     235.762849] 0003 0035 00000295
2022-03-10 16:52:39.418602 False [     235.779815] 0003 0035 0000010e
2022-03-10 16:52:39.419638 False [     235.779815] 0003 0035 0000028f
2022-03-10 16:52:39.435435 False [     235.796774] 0003 0035 00000112
2022-03-10 16:52:39.435435 True [     235.796774] 0003 0035 0000028a
2022-03-10 16:52:39.452950 False [     235.813799] 0003 0035 00000116
2022-03-10 16:52:39.453948 False [     235.813799] 0003 0035 00000284
2022-03-10 16:52:39.468704 False [     235.830590] 0003 0035 0000011a
2022-03-10 16:52:39.468704 True [     235.830590] 0003 0035 0000027f
2022-03-10 16:52:39.486244 False [     235.847647] 0003 0035 0000011a
2022-03-10 16:52:39.486475 False [     235.847647] 0003 0035 0000027a
2022-03-10 16:52:39.502553 False [     235.864548] 0003 0035 0000011a
2022-03-10 16:52:39.502553 True [     235.864548] 0003 0035 0000027a
2022-03-10 16:52:39.520118 False [     235.881732] 0003 0035 0000011e
2022-03-10 16:52:39.520419 True [     235.881732] 0003 0035 00000274
2022-03-10 16:52:39.536767 False [     235.898642] 0003 0035 0000011e
2022-03-10 16:52:39.537039 True [     235.898642] 0003 0035 00000270
2022-03-10 16:52:39.555298 False [     235.915915] 0003 0035 0000011e
2022-03-10 16:52:39.555546 True [     235.915915] 0003 0035 0000026c
