Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:15:14.364662 False [     306.794056] 0003 0035 00000414
2022-04-06 14:15:14.364662 False [     306.794056] 0003 0036 00000333
2022-04-06 14:15:14.374585 False [     306.802265] 0003 0035 00000412
2022-04-06 14:15:14.374585 False [     306.802265] 0003 0036 00000331
2022-04-06 14:15:14.380797 False [     306.810681] 0003 0035 0000040f
2022-04-06 14:15:14.380797 False [     306.810681] 0003 0036 0000032f
2022-04-06 14:15:14.389556 False [     306.818961] 0003 0036 0000032d
2022-04-06 14:15:14.398067 False [     306.827403] 0003 0035 0000040d
2022-04-06 14:15:14.398067 False [     306.827403] 0003 0036 0000032c
2022-04-06 14:15:14.407801 False [     306.835578] 0003 0035 00000409
2022-04-06 14:15:14.407801 False [     306.835578] 0003 0036 0000032b
2022-04-06 14:15:14.414507 False [     306.844077] 0003 0035 00000406
2022-04-06 14:15:14.414507 False [     306.844077] 0003 0036 00000329
2022-04-06 14:15:14.424571 False [     306.852310] 0003 0035 00000404
2022-04-06 14:15:14.424571 False [     306.852310] 0003 0036 00000328
2022-04-06 14:15:14.432589 False [     306.860726] 0003 0035 00000402
2022-04-06 14:15:14.432589 False [     306.860726] 0003 0036 00000327
2022-04-06 14:15:14.440538 False [     306.868946] 0003 0035 00000401
2022-04-06 14:15:14.440538 False [     306.868946] 0003 0036 00000326
2022-04-06 14:15:14.448912 False [     306.877399] 0003 0035 000003fd
2022-04-06 14:15:14.457774 False [     306.885606] 0003 0035 000003f9
2022-04-06 14:15:14.465861 False [     306.894055] 0003 0035 000003f7
2022-04-06 14:15:14.465861 False [     306.894055] 0003 0036 00000325
2022-04-06 14:15:14.473720 False [     306.902283] 0003 0035 000003f5
2022-04-06 14:15:14.482865 False [     306.910888] 0003 0035 000003f3
2022-04-06 14:15:14.490033 False [     306.919025] 0003 0035 000003f2
2022-04-06 14:15:14.498235 False [     306.927430] 0003 0035 000003f0
2022-04-06 14:15:14.506793 False [     306.935634] 0003 0035 000003eb
2022-04-06 14:15:14.506793 False [     306.935634] 0003 0036 0000032b
2022-04-06 14:15:14.515282 False [     306.944136] 0003 0035 000003e7
2022-04-06 14:15:14.515282 False [     306.944136] 0003 0036 0000032e
2022-04-06 14:15:14.523723 False [     306.952309] 0003 0035 000003e4
2022-04-06 14:15:14.523723 False [     306.952309] 0003 0036 00000331
2022-04-06 14:15:14.531210 False [     306.960690] 0003 0035 000003e2
2022-04-06 14:15:14.531210 False [     306.960690] 0003 0036 00000333
2022-04-06 14:15:14.542617 False [     306.968981] 0003 0035 000003e0
2022-04-06 14:15:14.542617 False [     306.968981] 0003 0036 00000338
2022-04-06 14:15:14.548383 False [     306.977459] 0003 0036 0000033c
2022-04-06 14:15:14.564967 False [     306.985639] 0003 0035 000003de
2022-04-06 14:15:14.564967 False [     306.985639] 0003 0036 0000033f
2022-04-06 14:15:14.566969 False [     306.994105] 0003 0035 000003dd
2022-04-06 14:15:14.566969 False [     306.994105] 0003 0036 00000341
2022-04-06 14:15:14.573510 False [     307.002324] 0003 0036 00000346
2022-04-06 14:15:14.581209 False [     307.010771] 0003 0036 0000034b
2022-04-06 14:15:14.589772 False [     307.019007] 0003 0036 0000034e
2022-04-06 14:15:14.599299 False [     307.027436] 0003 0036 00000350
2022-04-06 14:15:14.607421 False [     307.035719] 0003 0036 00000357
2022-04-06 14:15:14.615690 False [     307.044098] 0003 0035 000003de
2022-04-06 14:15:14.615690 False [     307.044098] 0003 0036 0000035c
2022-04-06 14:15:14.623562 False [     307.052357] 0003 0036 00000360
2022-04-06 14:15:14.631726 False [     307.060863] 0003 0035 000003df
2022-04-06 14:15:14.631726 False [     307.060863] 0003 0036 00000368
2022-04-06 14:15:14.639889 False [     307.068991] 0003 0036 0000036d
2022-04-06 14:15:14.648793 False [     307.077476] 0003 0035 000003e0
2022-04-06 14:15:14.648793 False [     307.077476] 0003 0036 00000371
2022-04-06 14:15:14.658267 False [     307.085761] 0003 0036 00000374
2022-04-06 14:15:14.664490 False [     307.094175] 0003 0036 0000037c
2022-04-06 14:15:14.673326 False [     307.102397] 0003 0036 00000381
2022-04-06 14:15:14.681734 False [     307.110736] 0003 0035 000003e1
2022-04-06 14:15:14.681734 False [     307.110736] 0003 0036 00000385
2022-04-06 14:15:14.689846 False [     307.119061] 0003 0036 00000389
2022-04-06 14:15:14.698606 False [     307.127468] 0003 0035 000003e2
2022-04-06 14:15:14.698606 False [     307.127468] 0003 0036 00000391
2022-04-06 14:15:14.706958 False [     307.135732] 0003 0035 000003e3
2022-04-06 14:15:14.706958 False [     307.135732] 0003 0036 00000397
2022-04-06 14:15:14.715303 False [     307.144141] 0003 0035 000003e4
2022-04-06 14:15:14.716682 False [     307.144141] 0003 0036 0000039c
2022-04-06 14:15:14.724651 False [     307.152359] 0003 0035 000003e5
2022-04-06 14:15:14.724651 False [     307.152359] 0003 0036 000003a4
2022-04-06 14:15:14.733136 False [     307.160904] 0003 0035 000003e6
2022-04-06 14:15:14.733136 True [     307.160904] 0003 0036 000003aa
2022-04-06 14:15:14.740676 True [     307.169091] 0003 0035 000003e7
2022-04-06 14:15:14.740676 True [     307.169091] 0003 0036 000003ae
2022-04-06 14:15:14.748550 True [     307.177537] 0003 0035 000003e8
2022-04-06 14:15:14.749613 True [     307.177537] 0003 0036 000003b7
2022-04-06 14:15:14.756822 True [     307.185657] 0003 0036 000003bd
2022-04-06 14:15:14.765159 True [     307.194132] 0003 0035 000003e9
2022-04-06 14:15:14.765919 True [     307.194132] 0003 0036 000003c2
2022-04-06 14:15:14.774557 True [     307.202406] 0003 0035 000003eb
2022-04-06 14:15:14.774557 True [     307.202406] 0003 0036 000003cb
2022-04-06 14:15:14.782044 True [     307.210828] 0003 0036 000003d1
2022-04-06 14:15:14.790612 True [     307.219098] 0003 0035 000003ec
2022-04-06 14:15:14.791609 True [     307.219098] 0003 0036 000003d5
2022-04-06 14:15:14.798884 True [     307.227582] 0003 0035 000003ed
2022-04-06 14:15:14.800891 True [     307.227582] 0003 0036 000003dd
2022-04-06 14:15:14.807913 True [     307.235739] 0003 0036 000003e2
2022-04-06 14:15:14.814974 True [     307.244267] 0003 0035 000003ee
2022-04-06 14:15:14.816975 True [     307.244267] 0003 0036 000003e6
2022-04-06 14:15:14.823589 True [     307.252490] 0003 0036 000003ee
2022-04-06 14:15:14.832198 True [     307.260865] 0003 0035 000003ed
2022-04-06 14:15:14.833450 True [     307.260865] 0003 0036 000003f4
2022-04-06 14:15:14.842607 True [     307.269083] 0003 0036 000003f9
2022-04-06 14:15:14.850298 True [     307.277548] 0003 0036 00000401
2022-04-06 14:15:14.859502 True [     307.285805] 0003 0035 000003ec
2022-04-06 14:15:14.859502 True [     307.285805] 0003 0036 00000407
2022-04-06 14:15:14.866423 True [     307.294200] 0003 0035 000003eb
2022-04-06 14:15:14.866423 True [     307.294200] 0003 0036 0000040c
2022-04-06 14:15:14.874664 True [     307.302381] 0003 0036 00000414
2022-04-06 14:15:14.883089 True [     307.310826] 0003 0036 00000419
2022-04-06 14:15:14.891676 True [     307.319137] 0003 0036 0000041d
2022-04-06 14:15:14.899125 True [     307.327560] 0003 0035 000003ea
2022-04-06 14:15:14.899867 True [     307.327560] 0003 0036 00000420
2022-04-06 14:15:14.907781 True [     307.335752] 0003 0036 00000423
2022-04-06 14:15:14.915508 True [     307.344268] 0003 0035 000003e8
