Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:28.215118 False [  159891.222408] 0003 0035 0000056f
2022-04-02 17:59:28.215118 False [  159891.222408] 0003 0036 00000531
2022-04-02 17:59:28.215118 False [  159891.234834] 0003 0035 00000570
2022-04-02 17:59:28.215118 False [  159891.234834] 0003 0036 0000051b
2022-04-02 17:59:28.216123 False [  159891.247245] 0003 0035 00000572
2022-04-02 17:59:28.216123 False [  159891.247245] 0003 0036 000004ef
2022-04-02 17:59:28.216123 False [  159891.256663] 0003 0035 00000573
2022-04-02 17:59:28.216123 False [  159891.256663] 0003 0036 000004da
2022-04-02 17:59:28.216123 False [  159891.269475] 0003 0035 00000572
2022-04-02 17:59:28.216123 False [  159891.269475] 0003 0036 000004b1
2022-04-02 17:59:28.287348 False [  159891.281086] 0003 0035 00000571
2022-04-02 17:59:28.287348 False [  159891.281086] 0003 0036 0000049e
2022-04-02 17:59:28.287348 False [  159891.294085] 0003 0035 0000056f
2022-04-02 17:59:28.287348 False [  159891.294085] 0003 0036 0000047c
2022-04-02 17:59:28.287348 False [  159891.307649] 0003 0035 0000056e
2022-04-02 17:59:28.287348 False [  159891.307649] 0003 0036 00000471
2022-04-02 17:59:28.287348 False [  159891.321739] 0003 0035 0000056c
2022-04-02 17:59:28.287348 False [  159891.321739] 0003 0036 00000455
2022-04-02 17:59:28.287348 False [  159891.334348] 0003 0035 0000056a
2022-04-02 17:59:28.287348 False [  159891.334348] 0003 0036 00000446
2022-04-02 17:59:28.287348 False [  159891.344599] 0003 0035 00000565
2022-04-02 17:59:28.287348 False [  159891.344599] 0003 0036 00000427
2022-04-02 17:59:28.287348 False [  159891.356488] 0003 0035 00000562
2022-04-02 17:59:28.287348 False [  159891.356488] 0003 0036 00000417
2022-04-02 17:59:28.350412 False [  159891.364397] 0003 0035 0000055d
2022-04-02 17:59:28.350412 False [  159891.364397] 0003 0036 000003fa
2022-04-02 17:59:28.350412 False [  159891.376078] 0003 0035 0000055b
2022-04-02 17:59:28.350412 False [  159891.376078] 0003 0036 000003ee
2022-04-02 17:59:28.350412 False [  159891.388764] 0003 0035 00000558
2022-04-02 17:59:28.350412 False [  159891.388764] 0003 0036 000003e0
