Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:59.033543 True [   18556.124686] 0003 0035 00000311
2022-03-16 15:12:59.034546 True [   18556.124686] 0003 0036 000001fe
2022-03-16 15:12:59.049894 True [   18556.141142] 0003 0035 00000311
2022-03-16 15:12:59.049894 True [   18556.141142] 0003 0036 000001fe
2022-03-16 15:12:59.065262 True [   18556.157889] 0003 0035 00000311
2022-03-16 15:12:59.065262 True [   18556.157889] 0003 0036 000001fe
2022-03-16 15:12:59.082879 True [   18556.174315] 0003 0035 00000311
2022-03-16 15:12:59.083614 True [   18556.174315] 0003 0036 000001fe
2022-03-16 15:12:59.099772 True [   18556.191285] 0003 0035 00000311
2022-03-16 15:12:59.099772 True [   18556.191285] 0003 0036 000001fe
2022-03-16 15:12:59.116346 True [   18556.208385] 0003 0035 00000311
2022-03-16 15:12:59.116346 True [   18556.208385] 0003 0036 000001fe
2022-03-16 15:12:59.132520 True [   18556.225270] 0003 0035 00000311
2022-03-16 15:12:59.132520 True [   18556.225270] 0003 0036 000001fe
2022-03-16 15:12:59.151324 True [   18556.242303] 0003 0035 0000030d
2022-03-16 15:12:59.151324 True [   18556.242303] 0003 0036 000001fe
2022-03-16 15:12:59.167856 True [   18556.259072] 0003 0035 0000030d
2022-03-16 15:12:59.167856 True [   18556.259072] 0003 0036 000001fe
2022-03-16 15:12:59.185592 True [   18556.276256] 0003 0035 00000307
2022-03-16 15:12:59.185592 True [   18556.276256] 0003 0036 000001fe
2022-03-16 15:12:59.201445 True [   18556.293121] 0003 0035 00000300
2022-03-16 15:12:59.201445 True [   18556.293121] 0003 0036 000001fe
2022-03-16 15:12:59.218431 True [   18556.309691] 0003 0035 000002f9
2022-03-16 15:12:59.218431 True [   18556.309691] 0003 0036 00000200
2022-03-16 15:12:59.236836 True [   18556.327242] 0003 0035 000002f1
2022-03-16 15:12:59.236836 True [   18556.327242] 0003 0036 00000203
2022-03-16 15:12:59.252035 True [   18556.343501] 0003 0035 000002e9
2022-03-16 15:12:59.252035 True [   18556.343501] 0003 0036 00000205
2022-03-16 15:12:59.269604 True [   18556.360927] 0003 0035 000002e1
2022-03-16 15:12:59.269604 True [   18556.360927] 0003 0036 00000208
2022-03-16 15:12:59.286314 True [   18556.377868] 0003 0035 000002db
2022-03-16 15:12:59.286314 True [   18556.377868] 0003 0036 0000020a
2022-03-16 15:12:59.302920 True [   18556.394558] 0003 0035 000002d5
2022-03-16 15:12:59.302920 True [   18556.394558] 0003 0036 0000020c
2022-03-16 15:12:59.320739 True [   18556.411612] 0003 0035 000002d0
2022-03-16 15:12:59.320739 True [   18556.411612] 0003 0036 0000020e
2022-03-16 15:12:59.337695 True [   18556.428977] 0003 0035 000002cc
2022-03-16 15:12:59.337695 True [   18556.428977] 0003 0036 00000211
2022-03-16 15:12:59.353313 True [   18556.446005] 0003 0035 000002c8
2022-03-16 15:12:59.354301 True [   18556.446005] 0003 0036 00000213
2022-03-16 15:12:59.370836 True [   18556.462475] 0003 0035 000002c8
2022-03-16 15:12:59.370836 True [   18556.462475] 0003 0036 00000213
2022-03-16 15:12:59.388564 True [   18556.479523] 0003 0035 000002c4
2022-03-16 15:12:59.388564 True [   18556.479523] 0003 0036 00000215
2022-03-16 15:12:59.405862 True [   18556.496941] 0003 0035 000002c4
2022-03-16 15:12:59.405862 True [   18556.496941] 0003 0036 00000215
2022-03-16 15:12:59.421840 True [   18556.513930] 0003 0035 000002c4
2022-03-16 15:12:59.421840 True [   18556.513930] 0003 0036 00000215
2022-03-16 15:12:59.438778 True [   18556.530377] 0003 0035 000002c0
2022-03-16 15:12:59.438778 True [   18556.530377] 0003 0036 00000217
