Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.13546263185060836 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:22:13.288176 False [     725.711280] 0003 0036 000003c8
2022-04-06 14:22:13.298398 False [     725.719718] 0003 0036 000003c9
2022-04-06 14:22:13.305893 False [     725.727974] 0003 0036 000003cb
2022-04-06 14:22:13.314486 False [     725.736432] 0003 0036 000003cc
2022-04-06 14:22:13.325552 False [     725.744745] 0003 0036 000003cd
2022-04-06 14:22:13.330674 False [     725.753095] 0003 0036 000003ce
2022-04-06 14:22:13.340674 True [     725.761262] 0003 0036 000003d0
2022-04-06 14:22:13.347701 True [     725.769728] 0003 0036 000003d1
2022-04-06 14:22:13.356691 True [     725.777965] 0003 0036 000003d2
2022-04-06 14:22:13.363632 True [     725.786363] 0003 0036 000003d4
2022-04-06 14:22:13.374578 True [     725.794631] 0003 0035 00000421
2022-04-06 14:22:13.374578 True [     725.794631] 0003 0036 000003d5
2022-04-06 14:22:13.380052 True [     725.803084] 0003 0036 000003d8
2022-04-06 14:22:13.388640 True [     725.811327] 0003 0035 00000422
2022-04-06 14:22:13.388640 True [     725.811327] 0003 0036 000003da
2022-04-06 14:22:13.397423 True [     725.819728] 0003 0036 000003dc
2022-04-06 14:22:13.414735 True [     725.836410] 0003 0035 00000423
2022-04-06 14:22:13.414735 True [     725.836410] 0003 0036 000003de
2022-04-06 14:22:13.423581 True [     725.844612] 0003 0035 00000424
2022-04-06 14:22:13.423581 True [     725.844612] 0003 0036 000003e0
2022-04-06 14:22:13.430947 True [     725.853096] 0003 0035 00000425
2022-04-06 14:22:13.430947 True [     725.853096] 0003 0036 000003e2
2022-04-06 14:22:13.439197 True [     725.861302] 0003 0035 00000426
2022-04-06 14:22:13.439197 True [     725.861302] 0003 0036 000003e4
2022-04-06 14:22:13.447211 True [     725.869728] 0003 0035 00000427
2022-04-06 14:22:13.447211 True [     725.869728] 0003 0036 000003e6
2022-04-06 14:22:13.458098 True [     725.877948] 0003 0035 00000428
2022-04-06 14:22:13.458098 True [     725.877948] 0003 0036 000003e7
2022-04-06 14:22:13.464132 True [     725.886395] 0003 0036 000003e9
2022-04-06 14:22:13.473276 True [     725.894609] 0003 0035 00000429
2022-04-06 14:22:13.473276 True [     725.894609] 0003 0036 000003eb
2022-04-06 14:22:13.481439 True [     725.903191] 0003 0035 0000042a
2022-04-06 14:22:13.481439 True [     725.903191] 0003 0036 000003ec
2022-04-06 14:22:13.489528 True [     725.911281] 0003 0035 0000042b
2022-04-06 14:22:13.489528 True [     725.911281] 0003 0036 000003ee
2022-04-06 14:22:13.497625 True [     725.919729] 0003 0036 000003ef
2022-04-06 14:22:13.506743 True [     725.927950] 0003 0035 0000042c
2022-04-06 14:22:13.515031 True [     725.936458] 0003 0035 0000042d
2022-04-06 14:22:13.522743 True [     725.944668] 0003 0035 0000042e
2022-04-06 14:22:13.522743 True [     725.944668] 0003 0036 000003f0
2022-04-06 14:22:13.531259 True [     725.953161] 0003 0035 0000042f
2022-04-06 14:22:13.539120 True [     725.961295] 0003 0036 000003f1
2022-04-06 14:22:13.548987 True [     725.969707] 0003 0035 00000430
2022-04-06 14:22:13.555792 True [     725.977952] 0003 0035 00000431
2022-04-06 14:22:13.555792 True [     725.977952] 0003 0036 000003f2
2022-04-06 14:22:13.572553 True [     725.994639] 0003 0035 00000432
2022-04-06 14:22:13.580699 True [     726.003062] 0003 0035 00000433
2022-04-06 14:22:13.607204 True [     726.027945] 0003 0035 00000435
2022-04-06 14:22:13.614401 True [     726.036461] 0003 0035 00000436
2022-04-06 14:22:13.632688 True [     726.053037] 0003 0035 00000437
2022-04-06 14:22:13.633682 True [     726.053037] 0003 0036 000003f1
2022-04-06 14:22:13.639506 True [     726.061306] 0003 0035 00000438
2022-04-06 14:22:13.647914 True [     726.069760] 0003 0035 00000439
2022-04-06 14:22:13.657810 True [     726.077962] 0003 0035 0000043a
2022-04-06 14:22:13.657810 False [     726.077962] 0003 0036 000003f0
2022-04-06 14:22:13.664827 False [     726.086386] 0003 0035 0000043b
2022-04-06 14:22:13.672550 False [     726.094620] 0003 0035 0000043c
2022-04-06 14:22:13.680069 False [     726.103058] 0003 0035 0000043d
2022-04-06 14:22:13.706764 False [     726.127982] 0003 0035 0000043f
2022-04-06 14:22:13.706764 False [     726.127982] 0003 0036 000003ef
2022-04-06 14:22:13.716065 False [     726.136467] 0003 0035 00000441
2022-04-06 14:22:13.722533 False [     726.144640] 0003 0035 00000442
2022-04-06 14:22:13.731154 False [     726.153106] 0003 0035 00000444
2022-04-06 14:22:13.738861 False [     726.161361] 0003 0035 00000445
2022-04-06 14:22:13.746931 False [     726.169797] 0003 0035 00000446
2022-04-06 14:22:13.755572 False [     726.177983] 0003 0035 00000448
2022-04-06 14:22:13.764748 False [     726.186411] 0003 0035 00000449
2022-04-06 14:22:13.773640 False [     726.194664] 0003 0035 0000044b
2022-04-06 14:22:13.773640 False [     726.194664] 0003 0036 000003ee
2022-04-06 14:22:13.780273 False [     726.203085] 0003 0035 0000044c
2022-04-06 14:22:13.789317 False [     726.211296] 0003 0035 0000044d
2022-04-06 14:22:13.797515 False [     726.219743] 0003 0035 0000044f
2022-04-06 14:22:13.797515 False [     726.219743] 0003 0036 000003ed
2022-04-06 14:22:13.816604 False [     726.236386] 0003 0035 00000450
