Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.6310691985003918 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 17:10:05.200686 False [   25582.637643] 0003 0036 00000290
2022-03-16 17:10:05.218657 False [   25582.654735] 0003 0035 000001ed
2022-03-16 17:10:05.219251 False [   25582.654735] 0003 0036 00000290
2022-03-16 17:10:05.235287 False [   25582.671546] 0003 0035 000001ed
2022-03-16 17:10:05.236287 False [   25582.671546] 0003 0036 00000290
2022-03-16 17:10:05.251371 False [   25582.688448] 0003 0035 000001ed
2022-03-16 17:10:05.251371 False [   25582.688448] 0003 0036 00000290
2022-03-16 17:10:05.270062 False [   25582.705922] 0003 0035 000001ed
2022-03-16 17:10:05.270062 False [   25582.705922] 0003 0036 00000290
2022-03-16 17:10:05.286233 False [   25582.722667] 0003 0035 000001f5
2022-03-16 17:10:05.286233 False [   25582.722667] 0003 0036 0000028d
2022-03-16 17:10:05.302452 False [   25582.739242] 0003 0035 00000206
2022-03-16 17:10:05.302452 False [   25582.739242] 0003 0036 00000289
2022-03-16 17:10:05.320103 False [   25582.756411] 0003 0035 0000021b
2022-03-16 17:10:05.320103 False [   25582.756411] 0003 0036 00000283
2022-03-16 17:10:05.337966 False [   25582.774062] 0003 0035 0000022f
2022-03-16 17:10:05.337966 False [   25582.774062] 0003 0036 0000027e
2022-03-16 17:10:05.354156 False [   25582.790714] 0003 0035 00000246
2022-03-16 17:10:05.354156 False [   25582.790714] 0003 0036 00000278
2022-03-16 17:10:05.370398 False [   25582.806752] 0003 0035 00000262
2022-03-16 17:10:05.370398 True [   25582.806752] 0003 0036 00000271
2022-03-16 17:10:05.387921 False [   25582.824118] 0003 0035 0000027e
2022-03-16 17:10:05.387921 True [   25582.824118] 0003 0036 00000269
2022-03-16 17:10:05.404623 False [   25582.841157] 0003 0035 0000029a
2022-03-16 17:10:05.406737 True [   25582.841157] 0003 0036 00000261
2022-03-16 17:10:05.421207 False [   25582.857804] 0003 0035 000002b7
2022-03-16 17:10:05.422216 True [   25582.857804] 0003 0036 0000025a
2022-03-16 17:10:05.439064 False [   25582.875342] 0003 0035 000002d2
2022-03-16 17:10:05.439064 True [   25582.875342] 0003 0036 00000253
2022-03-16 17:10:05.455633 False [   25582.891601] 0003 0035 000002e9
2022-03-16 17:10:05.455633 True [   25582.891601] 0003 0036 0000024d
2022-03-16 17:10:05.471787 False [   25582.908499] 0003 0035 00000302
2022-03-16 17:10:05.471787 True [   25582.908499] 0003 0036 00000247
2022-03-16 17:10:05.489074 False [   25582.925617] 0003 0035 0000031d
2022-03-16 17:10:05.489074 True [   25582.925617] 0003 0036 00000240
2022-03-16 17:10:05.506637 False [   25582.942669] 0003 0035 00000336
2022-03-16 17:10:05.506637 True [   25582.942669] 0003 0036 00000239
2022-03-16 17:10:05.523582 True [   25582.959584] 0003 0035 0000034a
2022-03-16 17:10:05.523582 True [   25582.959584] 0003 0036 00000233
2022-03-16 17:10:05.540459 True [   25582.976731] 0003 0035 0000035e
2022-03-16 17:10:05.540459 True [   25582.976731] 0003 0036 0000022d
2022-03-16 17:10:05.556435 True [   25582.993043] 0003 0035 00000373
2022-03-16 17:10:05.556821 True [   25582.993043] 0003 0036 00000228
2022-03-16 17:10:05.573274 True [   25583.009969] 0003 0035 00000388
2022-03-16 17:10:05.573274 True [   25583.009969] 0003 0036 00000223
2022-03-16 17:10:05.591108 True [   25583.027380] 0003 0035 0000039a
2022-03-16 17:10:05.591108 True [   25583.027380] 0003 0036 0000021e
2022-03-16 17:10:05.607653 True [   25583.043843] 0003 0035 000003a8
2022-03-16 17:10:05.607653 True [   25583.043843] 0003 0036 00000219
2022-03-16 17:10:05.624832 True [   25583.061201] 0003 0035 000003b4
2022-03-16 17:10:05.624832 True [   25583.061201] 0003 0036 00000215
2022-03-16 17:10:05.641265 True [   25583.077740] 0003 0035 000003c3
2022-03-16 17:10:05.641265 True [   25583.077740] 0003 0036 00000211
2022-03-16 17:10:05.658886 True [   25583.095393] 0003 0035 000003d6
2022-03-16 17:10:05.658886 True [   25583.095393] 0003 0036 0000020c
2022-03-16 17:10:05.675420 True [   25583.111684] 0003 0035 000003ea
2022-03-16 17:10:05.675420 True [   25583.111684] 0003 0036 00000207
2022-03-16 17:10:05.691982 True [   25583.129078] 0003 0035 000003fb
2022-03-16 17:10:05.691982 True [   25583.129078] 0003 0036 00000203
2022-03-16 17:10:05.708963 True [   25583.145784] 0003 0035 00000408
2022-03-16 17:10:05.708963 True [   25583.145784] 0003 0036 000001ff
2022-03-16 17:10:05.726541 True [   25583.162640] 0003 0035 00000412
2022-03-16 17:10:05.726541 True [   25583.162640] 0003 0036 000001fb
2022-03-16 17:10:05.743725 True [   25583.179881] 0003 0035 0000041b
2022-03-16 17:10:05.743725 True [   25583.179881] 0003 0036 000001f8
2022-03-16 17:10:05.759909 True [   25583.196401] 0003 0035 00000422
2022-03-16 17:10:05.759909 True [   25583.196401] 0003 0036 000001f5
2022-03-16 17:10:05.777487 True [   25583.213907] 0003 0035 00000427
2022-03-16 17:10:05.777487 True [   25583.213907] 0003 0036 000001f3
2022-03-16 17:10:05.794705 True [   25583.231272] 0003 0035 0000042b
2022-03-16 17:10:05.794705 True [   25583.231272] 0003 0036 000001f3
2022-03-16 17:10:05.810923 True [   25583.247370] 0003 0035 0000042b
2022-03-16 17:10:05.810923 True [   25583.247370] 0003 0036 000001f3
2022-03-16 17:10:05.827825 True [   25583.264505] 0003 0035 0000042b
