Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:25:52.002893 False [   90674.820972] 0003 0035 000001a6
2022-03-10 16:25:52.020591 False [   90674.838587] 0003 0035 000001a6
2022-03-10 16:25:52.040028 False [   90674.854745] 0003 0035 000001a6
2022-03-10 16:25:52.053502 False [   90674.872409] 0003 0035 000001a6
2022-03-10 16:25:52.071048 False [   90674.888816] 0003 0035 000001a6
2022-03-10 16:25:52.086231 False [   90674.905583] 0003 0035 000001a6
2022-03-10 16:25:52.102314 False [   90674.922578] 0003 0035 000001a6
2022-03-10 16:25:52.119697 False [   90674.939488] 0003 0035 000001a6
2022-03-10 16:25:52.138828 False [   90674.956473] 0003 0035 000001a6
2022-03-10 16:25:52.153560 False [   90674.973428] 0003 0035 000001aa
2022-03-10 16:25:52.171714 False [   90674.990372] 0003 0035 000001aa
2022-03-10 16:25:52.186982 False [   90675.007285] 0003 0035 000001b0
2022-03-10 16:25:52.206535 False [   90675.024310] 0003 0035 000001b5
2022-03-10 16:25:52.224657 False [   90675.041116] 0003 0035 000001bb
2022-03-10 16:25:52.238847 False [   90675.058069] 0003 0035 000001c0
2022-03-10 16:25:52.256496 True [   90675.074997] 0003 0035 000001c5
2022-03-10 16:25:52.273163 True [   90675.092097] 0003 0035 000001c5
2022-03-10 16:25:52.290296 True [   90675.109222] 0003 0035 000001c9
2022-03-10 16:25:52.306417 True [   90675.125843] 0003 0035 000001c9
2022-03-10 16:25:52.331241 True [   90675.142790] 0003 0035 000001cd
2022-03-10 16:25:52.341237 True [   90675.159668] 0003 0035 000001cd
2022-03-10 16:25:52.357575 True [   90675.176773] 0003 0035 000001cd
2022-03-10 16:25:52.375555 True [   90675.194119] 0003 0035 000001cd
2022-03-10 16:25:52.393775 True [   90675.210641] 0003 0035 000001d1
2022-03-10 16:25:52.409321 True [   90675.227792] 0003 0035 000001d1
2022-03-10 16:25:52.425218 True [   90675.244548] 0003 0035 000001d1
2022-03-10 16:25:52.442655 True [   90675.261420] 0003 0035 000001d1
2022-03-10 16:25:52.460518 True [   90675.278434] 0003 0035 000001d1
2022-03-10 16:25:52.476227 True [   90675.295284] 0003 0035 000001d1
2022-03-10 16:25:52.492922 True [   90675.312449] 0003 0035 000001d1
2022-03-10 16:25:52.512319 True [   90675.329336] 0003 0035 000001d5
2022-03-10 16:25:52.531153 True [   90675.346107] 0003 0035 000001d5
2022-03-10 16:25:52.544932 True [   90675.363065] 0003 0035 000001d5
2022-03-10 16:25:52.562697 True [   90675.380175] 0003 0035 000001d5
2022-03-10 16:25:52.578177 True [   90675.396997] 0003 0035 000001d5
2022-03-10 16:25:52.595439 True [   90675.414270] 0003 0035 000001d5
2022-03-10 16:25:52.612775 True [   90675.430911] 0003 0035 000001d5
2022-03-10 16:25:52.630016 True [   90675.447798] 0003 0035 000001d5
2022-03-10 16:25:52.647193 True [   90675.464747] 0003 0035 000001d5
2022-03-10 16:25:52.665736 True [   90675.481822] 0003 0035 000001d5
2022-03-10 16:25:52.683469 True [   90675.498684] 0003 0035 000001d5
2022-03-10 16:25:52.699498 True [   90675.515514] 0003 0035 000001d5
2022-03-10 16:25:52.714098 True [   90675.532581] 0003 0035 000001d5
2022-03-10 16:25:52.732645 True [   90675.549420] 0003 0035 000001d5
2022-03-10 16:25:52.749994 True [   90675.566340] 0003 0035 000001d5
2022-03-10 16:25:52.763678 True [   90675.583048] 0003 0035 000001d5
2022-03-10 16:25:53.768750 False [   90676.582882] 0003 0035 000000da
2022-03-10 16:25:53.781929 False [   90676.599973] 0003 0035 000000da
2022-03-10 16:25:53.800249 False [   90676.617116] 0003 0035 000000da
2022-03-10 16:25:53.814698 False [   90676.633705] 0003 0035 000000da
2022-03-10 16:25:53.833583 False [   90676.650600] 0003 0035 000000da
2022-03-10 16:25:53.847938 False [   90676.667502] 0003 0035 000000da
2022-03-10 16:25:53.868441 False [   90676.685000] 0003 0035 000000da
2022-03-10 16:25:53.883866 False [   90676.701514] 0003 0035 000000da
2022-03-10 16:25:53.899379 False [   90676.718430] 0003 0035 000000da
2022-03-10 16:25:53.915788 False [   90676.735448] 0003 0035 000000da
2022-03-10 16:25:53.935026 False [   90676.752268] 0003 0035 000000da
2022-03-10 16:25:53.949450 False [   90676.769274] 0003 0035 000000da
2022-03-10 16:25:53.966503 False [   90676.786363] 0003 0035 000000da
2022-03-10 16:25:53.983494 False [   90676.803188] 0003 0035 000000da
2022-03-10 16:25:54.001804 False [   90676.820098] 0003 0035 000000da
2022-03-10 16:25:54.017509 False [   90676.837107] 0003 0035 000000da
2022-03-10 16:25:54.037092 False [   90676.853978] 0003 0035 000000dc
2022-03-10 16:25:54.051233 False [   90676.870842] 0003 0035 000000dc
2022-03-10 16:25:54.072301 False [   90676.888695] 0003 0035 000000e1
2022-03-10 16:25:54.087026 False [   90676.904937] 0003 0035 000000e6
2022-03-10 16:25:54.104862 False [   90676.921836] 0003 0035 000000ea
2022-03-10 16:25:54.120199 False [   90676.939500] 0003 0035 000000ef
2022-03-10 16:25:54.137854 False [   90676.956380] 0003 0035 000000f4
2022-03-10 16:25:54.154652 False [   90676.972539] 0003 0035 000000fb
2022-03-10 16:25:54.170754 False [   90676.989793] 0003 0035 00000102
2022-03-10 16:25:54.186971 False [   90677.006541] 0003 0035 00000109
2022-03-10 16:25:54.203923 False [   90677.023367] 0003 0035 00000110
2022-03-10 16:25:54.225275 False [   90677.040814] 0003 0035 00000116
2022-03-10 16:25:54.242665 False [   90677.057285] 0003 0035 0000011b
2022-03-10 16:25:54.256372 False [   90677.074422] 0003 0035 00000120
2022-03-10 16:25:54.272788 False [   90677.091460] 0003 0035 00000124
2022-03-10 16:25:54.289197 False [   90677.108261] 0003 0035 00000128
2022-03-10 16:25:54.306572 False [   90677.125068] 0003 0035 00000128
2022-03-10 16:25:54.324350 False [   90677.142993] 0003 0035 0000012d
2022-03-10 16:25:54.342525 False [   90677.158936] 0003 0035 00000131
2022-03-10 16:25:54.357442 False [   90677.175960] 0003 0035 00000131
2022-03-10 16:25:54.372872 False [   90677.192990] 0003 0035 00000136
2022-03-10 16:25:54.390862 False [   90677.209856] 0003 0035 0000013a
2022-03-10 16:25:54.408546 False [   90677.226749] 0003 0035 0000013a
2022-03-10 16:25:54.425010 False [   90677.243812] 0003 0035 0000013e
2022-03-10 16:25:54.441792 False [   90677.260587] 0003 0035 0000013e
2022-03-10 16:25:54.460701 False [   90677.277704] 0003 0035 00000142
2022-03-10 16:25:54.475173 False [   90677.294615] 0003 0035 00000142
2022-03-10 16:25:54.493763 False [   90677.311474] 0003 0035 00000147
2022-03-10 16:25:54.510708 False [   90677.328396] 0003 0035 0000014c
2022-03-10 16:25:54.529909 False [   90677.345599] 0003 0035 00000150
2022-03-10 16:25:54.546443 False [   90677.362304] 0003 0035 00000150
2022-03-10 16:25:54.563286 False [   90677.379383] 0003 0035 00000156
