Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:40.475706 False [   19949.739688] 0003 0035 000000e4
2022-04-07 19:13:40.475706 False [   19949.739688] 0003 0036 00000314
2022-04-07 19:13:40.482884 False [   19949.748417] 0003 0035 000000e9
2022-04-07 19:13:40.482884 False [   19949.748417] 0003 0036 0000033e
2022-04-07 19:13:40.483883 False [   19949.757417] 0003 0035 000000ee
2022-04-07 19:13:40.483883 False [   19949.757417] 0003 0036 00000369
2022-04-07 19:13:40.483883 False [   19949.764742] 0003 0035 000000f3
2022-04-07 19:13:40.483883 False [   19949.764742] 0003 0036 00000397
2022-04-07 19:13:40.483883 False [   19949.772951] 0003 0035 000000f6
2022-04-07 19:13:40.483883 False [   19949.772951] 0003 0036 000003c4
2022-04-07 19:13:40.508070 False [   19949.781278] 0003 0035 000000fb
2022-04-07 19:13:40.508070 False [   19949.781278] 0003 0036 000003ed
2022-04-07 19:13:40.537865 False [   19949.789476] 0003 0036 00000417
2022-04-07 19:13:40.537865 False [   19949.799120] 0003 0035 000000fe
2022-04-07 19:13:40.537865 False [   19949.799120] 0003 0036 0000043a
2022-04-07 19:13:40.537865 False [   19949.806133] 0003 0035 000000fd
2022-04-07 19:13:40.537865 False [   19949.806133] 0003 0036 0000045f
2022-04-07 19:13:40.594340 False [   19949.814644] 0003 0035 00000100
2022-04-07 19:13:40.594340 False [   19949.814644] 0003 0036 0000048e
2022-04-07 19:13:40.594340 False [   19949.824940] 0003 0035 000000fd
2022-04-07 19:13:40.594340 False [   19949.824940] 0003 0036 000004bb
2022-04-07 19:13:40.595340 False [   19949.833171] 0003 0035 00000100
2022-04-07 19:13:40.595340 False [   19949.833171] 0003 0036 000004e7
2022-04-07 19:13:40.595340 False [   19949.840858] 0003 0035 00000101
2022-04-07 19:13:40.595340 False [   19949.840858] 0003 0036 00000515
2022-04-07 19:13:40.668724 False [   19949.849755] 0003 0036 00000551
2022-04-07 19:13:40.668724 False [   19949.860388] 0003 0036 00000586
2022-04-07 19:13:40.668724 False [   19949.869159] 0003 0035 000000fd
2022-04-07 19:13:40.668724 False [   19949.869159] 0003 0036 000005bf
2022-04-07 19:13:40.668724 False [   19949.874984] 0003 0035 000000fe
2022-04-07 19:13:40.668724 False [   19949.874984] 0003 0036 000005f2
2022-04-07 19:13:40.668724 False [   19949.881943] 0003 0036 00000623
2022-04-07 19:13:40.668724 False [   19949.889267] 0003 0035 000000fc
2022-04-07 19:13:40.668724 False [   19949.889267] 0003 0036 0000064d
2022-04-07 19:13:40.668724 False [   19949.897618] 0003 0036 00000676
2022-04-07 19:13:40.703762 False [   19949.908177] 0003 0035 000000f9
2022-04-07 19:13:40.703762 False [   19949.908177] 0003 0036 0000069d
2022-04-07 19:13:40.703762 False [   19949.917411] 0003 0036 000006c0
2022-04-07 19:13:40.703762 False [   19949.926960] 0003 0036 000006d7
2022-04-07 19:13:40.703762 False [   19949.936833] 0003 0035 000000f8
2022-04-07 19:13:40.703762 False [   19949.936833] 0003 0036 000006fb
2022-04-07 19:13:40.703762 False [   19949.943895] 0003 0035 000000f6
2022-04-07 19:13:40.703762 False [   19949.943895] 0003 0036 0000071a
2022-04-07 19:13:40.703762 False [   19949.951615] 0003 0036 0000073a
2022-04-07 19:13:40.703762 False [   19949.961181] 0003 0035 000000f4
2022-04-07 19:13:40.703762 False [   19949.961181] 0003 0036 0000075a
2022-04-07 19:13:40.703762 False [   19949.966832] 0003 0035 000000f3
2022-04-07 19:13:40.703762 False [   19949.966832] 0003 0036 00000780
2022-04-07 19:13:40.703762 False [   19949.972394] 0003 0035 000000f2
2022-04-07 19:13:40.703762 False [   19949.972394] 0003 0036 000007a2
2022-04-07 19:13:40.750455 False [   19949.980805] 0003 0035 000000f0
2022-04-07 19:13:40.750455 False [   19949.980805] 0003 0036 000007c1
2022-04-07 19:13:40.750455 False [   19949.990968] 0003 0035 000000ef
2022-04-07 19:13:40.750455 False [   19949.990968] 0003 0036 000007e0
2022-04-07 19:13:40.750455 False [   19949.997399] 0003 0035 000000ec
