Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.221698797590173 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:20:29.596517 False [  146752.852640] 0003 0036 000002b3
2022-04-02 14:20:29.596517 False [  146752.863117] 0003 0035 000001db
2022-04-02 14:20:29.596517 False [  146752.873455] 0003 0035 000001dc
2022-04-02 14:20:29.596517 False [  146752.885516] 0003 0035 000001dd
2022-04-02 14:20:29.596517 False [  146752.885516] 0003 0036 000002b5
2022-04-02 14:20:29.596517 False [  146752.895526] 0003 0035 000001de
2022-04-02 14:20:29.596517 False [  146752.895526] 0003 0036 000002b6
2022-04-02 14:20:29.612094 False [  146752.914617] 0003 0035 000001df
2022-04-02 14:20:29.612094 False [  146752.914617] 0003 0036 000002b8
2022-04-02 14:20:29.629634 False [  146752.931195] 0003 0035 000001e0
2022-04-02 14:20:29.629634 False [  146752.931195] 0003 0036 000002b9
2022-04-02 14:20:29.648139 False [  146752.947904] 0003 0035 000001e1
2022-04-02 14:20:29.662278 False [  146752.964379] 0003 0035 000001e2
2022-04-02 14:20:29.662278 False [  146752.964379] 0003 0036 000002ba
2022-04-02 14:20:29.679652 False [  146752.981020] 0003 0036 000002bb
2022-04-02 14:20:29.688556 False [  146752.997609] 0003 0035 000001e3
2022-04-02 14:20:29.688556 False [  146752.997609] 0003 0036 000002bc
2022-04-02 14:20:29.730203 False [  146753.014317] 0003 0036 000002bd
2022-04-02 14:20:29.743989 False [  146753.023725] 0003 0035 000001e4
2022-04-02 14:20:29.743989 False [  146753.034511] 0003 0036 000002be
2022-04-02 14:20:29.748231 False [  146753.047477] 0003 0035 000001e5
2022-04-02 14:20:29.755734 False [  146753.064171] 0003 0036 000002bf
2022-04-02 14:20:29.810743 False [  146753.080821] 0003 0036 000002c0
2022-04-02 14:20:29.825090 False [  146753.094130] 0003 0035 000001e6
2022-04-02 14:20:29.826088 False [  146753.105544] 0003 0036 000002c1
2022-04-02 14:20:29.826088 False [  146753.115550] 0003 0035 000001e7
2022-04-02 14:20:29.826088 False [  146753.115550] 0003 0036 000002c2
2022-04-02 14:20:29.851404 False [  146753.130680] 0003 0036 000002c3
2022-04-02 14:20:29.851404 False [  146753.141698] 0003 0035 000001e8
2022-04-02 14:20:29.869810 False [  146753.152069] 0003 0036 000002c4
2022-04-02 14:20:29.885091 False [  146753.172154] 0003 0035 000001e9
2022-04-02 14:20:29.889233 False [  146753.188604] 0003 0036 000002c5
2022-04-02 14:20:29.903757 False [  146753.205759] 0003 0036 000002c6
2022-04-02 14:20:29.920393 False [  146753.230329] 0003 0036 000002c7
2022-04-02 14:20:29.931764 False [  146753.238561] 0003 0035 000001ea
2022-04-02 14:20:29.983732 False [  146753.263675] 0003 0036 000002c8
2022-04-02 14:20:29.988266 False [  146753.279109] 0003 0035 000001eb
2022-04-02 14:20:29.988266 False [  146753.290958] 0003 0036 000002c9
2022-04-02 14:20:29.997162 False [  146753.305328] 0003 0035 000001ec
2022-04-02 14:20:30.011283 False [  146753.313643] 0003 0036 000002ca
2022-04-02 14:20:30.036480 False [  146753.338158] 0003 0036 000002cb
2022-04-02 14:20:30.070718 False [  146753.371399] 0003 0035 000001ed
2022-04-02 14:20:30.070718 False [  146753.371399] 0003 0036 000002cc
2022-04-02 14:20:30.102212 False [  146753.404845] 0003 0035 000001ee
