Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:48:50.614527 False [   35447.635916] 0003 0036 000006f7
2022-03-16 19:48:50.622010 False [   35447.644082] 0003 0035 000001fb
2022-03-16 19:48:50.622010 False [   35447.644082] 0003 0036 000006f5
2022-03-16 19:48:50.630986 False [   35447.652753] 0003 0036 000006f4
2022-03-16 19:48:50.638100 False [   35447.660768] 0003 0036 000006f2
2022-03-16 19:48:50.647652 False [   35447.669272] 0003 0035 000001fc
2022-03-16 19:48:50.647652 False [   35447.669272] 0003 0036 000006f1
2022-03-16 19:48:50.654895 False [   35447.677343] 0003 0036 000006f0
2022-03-16 19:48:50.662880 False [   35447.685964] 0003 0036 000006ee
2022-03-16 19:48:50.672119 False [   35447.694036] 0003 0036 000006ec
2022-03-16 19:48:50.681211 False [   35447.702386] 0003 0036 000006ea
2022-03-16 19:48:50.689279 False [   35447.710615] 0003 0035 000001fd
2022-03-16 19:48:50.689279 False [   35447.710615] 0003 0036 000006e8
2022-03-16 19:48:50.697405 False [   35447.719307] 0003 0036 000006e7
2022-03-16 19:48:50.705022 False [   35447.727206] 0003 0035 000001fe
2022-03-16 19:48:50.705997 False [   35447.727206] 0003 0036 000006e5
2022-03-16 19:48:50.714022 False [   35447.736076] 0003 0036 000006e4
2022-03-16 19:48:50.720155 False [   35447.743774] 0003 0036 000006e2
2022-03-16 19:48:50.728456 False [   35447.752250] 0003 0035 000001ff
2022-03-16 19:48:50.728456 False [   35447.752250] 0003 0036 000006e0
2022-03-16 19:48:50.736255 False [   35447.760384] 0003 0035 00000200
2022-03-16 19:48:50.746279 False [   35447.768946] 0003 0036 000006de
2022-03-16 19:48:50.758542 False [   35447.777232] 0003 0035 00000201
2022-03-16 19:48:50.758542 False [   35447.777232] 0003 0036 000006dc
2022-03-16 19:48:50.764304 False [   35447.785518] 0003 0035 00000202
