Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5157115037091708 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:46:39.347900 True [  144713.265638] 0003 0036 00000419
2022-04-02 13:46:39.356473 True [  144713.273850] 0003 0035 0000026b
2022-04-02 13:46:39.356473 True [  144713.273850] 0003 0036 000005c9
2022-04-02 13:46:39.364780 True [  144713.282250] 0003 0035 00000269
2022-04-02 13:46:39.364780 True [  144713.282250] 0003 0036 000005cb
2022-04-02 13:46:39.364780 True [  144713.282250] 0003 0036 00000418
2022-04-02 13:46:39.373872 True [  144713.290443] 0003 0035 00000268
2022-04-02 13:46:39.373872 True [  144713.290443] 0003 0036 00000417
2022-04-02 13:46:39.381727 True [  144713.299206] 0003 0035 00000267
2022-04-02 13:46:39.381727 True [  144713.299206] 0003 0036 000005cd
2022-04-02 13:46:39.381727 True [  144713.299206] 0003 0035 0000037a
2022-04-02 13:46:39.390408 True [  144713.307350] 0003 0035 000002ff
2022-04-02 13:46:39.390408 False [  144713.307350] 0003 0036 0000019f
2022-04-02 13:46:39.397907 False [  144713.316556] 0003 0035 00000266
2022-04-02 13:46:39.405283 True [  144713.323881] 0003 0036 000005ce
2022-04-02 13:46:39.438855 True [  144713.357102] 0003 0036 000005cf
2022-04-02 13:46:39.445906 True [  144713.365711] 0003 0035 00000265
2022-04-02 13:46:39.446907 True [  144713.365711] 0003 0035 0000037b
2022-04-02 13:46:39.455413 True [  144713.373983] 0003 0035 00000264
2022-04-02 13:46:39.463882 True [  144713.381938] 0003 0035 00000260
2022-04-02 13:46:39.463882 True [  144713.381938] 0003 0036 000005d3
2022-04-02 13:46:39.463882 True [  144713.381938] 0003 0035 0000037c
2022-04-02 13:46:39.463882 True [  144713.381938] 0003 0036 00000415
2022-04-02 13:46:39.472828 True [  144713.390076] 0003 0035 0000025d
2022-04-02 13:46:39.472828 True [  144713.390076] 0003 0036 000005d5
2022-04-02 13:46:39.472828 True [  144713.390076] 0003 0035 0000037d
2022-04-02 13:46:39.472828 True [  144713.390076] 0003 0036 00000414
2022-04-02 13:46:39.480896 True [  144713.398742] 0003 0035 0000025b
2022-04-02 13:46:39.480896 True [  144713.398742] 0003 0036 000005d8
2022-04-02 13:46:39.480896 True [  144713.398742] 0003 0035 0000037e
2022-04-02 13:46:39.480896 True [  144713.398742] 0003 0036 00000413
2022-04-02 13:46:39.489609 True [  144713.406698] 0003 0035 00000258
2022-04-02 13:46:39.489609 True [  144713.406698] 0003 0036 000005da
2022-04-02 13:46:39.489609 True [  144713.406698] 0003 0035 0000037f
2022-04-02 13:46:39.489609 True [  144713.406698] 0003 0036 00000412
2022-04-02 13:46:39.496585 True [  144713.415528] 0003 0035 00000257
2022-04-02 13:46:39.496585 True [  144713.415528] 0003 0036 000005dc
2022-04-02 13:46:39.496585 True [  144713.415528] 0003 0035 00000380
2022-04-02 13:46:39.496585 True [  144713.415528] 0003 0036 00000411
2022-04-02 13:46:39.513666 True [  144713.431736] 0003 0035 00000254
2022-04-02 13:46:39.513666 True [  144713.431736] 0003 0036 000005dd
2022-04-02 13:46:39.522658 True [  144713.440277] 0003 0036 000005de
2022-04-02 13:46:39.522658 True [  144713.440277] 0003 0035 00000381
2022-04-02 13:46:39.522658 True [  144713.440277] 0003 0036 00000410
2022-04-02 13:46:39.530352 True [  144713.448332] 0003 0035 00000253
2022-04-02 13:46:39.530352 True [  144713.448332] 0003 0035 00000382
2022-04-02 13:46:39.530352 True [  144713.448332] 0003 0036 0000040f
2022-04-02 13:46:39.538723 True [  144713.456536] 0003 0035 00000252
2022-04-02 13:46:39.538723 True [  144713.456536] 0003 0036 000005df
2022-04-02 13:46:39.538723 True [  144713.456536] 0003 0035 00000383
2022-04-02 13:46:39.538723 True [  144713.456536] 0003 0036 0000040e
2022-04-02 13:46:39.545989 True [  144713.465031] 0003 0035 00000250
2022-04-02 13:46:39.546983 True [  144713.465031] 0003 0036 000005e0
2022-04-02 13:46:39.546983 True [  144713.465031] 0003 0035 00000384
2022-04-02 13:46:39.554947 True [  144713.473269] 0003 0036 000005e1
2022-04-02 13:46:39.573145 True [  144713.489885] 0003 0035 0000024e
2022-04-02 13:46:39.573145 True [  144713.489885] 0003 0036 000005e2
2022-04-02 13:46:39.573145 True [  144713.489885] 0003 0035 00000385
