Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5565313388964357 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:16:53.605970 False [  160936.403248] 0003 0036 00000582
2022-04-02 18:16:53.605970 False [  160936.431461] 0003 0035 00000525
2022-04-02 18:16:53.605970 False [  160936.431461] 0003 0036 0000056a
2022-04-02 18:16:53.605970 False [  160936.455987] 0003 0035 00000522
2022-04-02 18:16:53.605970 False [  160936.455987] 0003 0036 0000054f
2022-04-02 18:16:53.605970 False [  160936.480552] 0003 0035 00000521
2022-04-02 18:16:53.605970 False [  160936.480552] 0003 0036 0000053a
2022-04-02 18:16:53.605970 False [  160936.504972] 0003 0035 0000051d
2022-04-02 18:16:53.605970 False [  160936.504972] 0003 0036 0000052a
2022-04-02 18:16:53.605970 False [  160936.527220] 0003 0035 0000051c
2022-04-02 18:16:53.605970 False [  160936.527220] 0003 0036 00000526
2022-04-02 18:16:53.605970 False [  160936.547475] 0003 0035 0000051b
2022-04-02 18:16:53.605970 False [  160936.547475] 0003 0036 0000051e
2022-04-02 18:16:53.605970 False [  160936.555016] 0003 0036 0000050d
2022-04-02 18:16:53.605970 False [  160936.565206] 0003 0035 0000051a
