Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5750715930537553 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:37:45.412316 False [  144179.338374] 0003 0036 0000033e
2022-04-02 13:37:45.421189 False [  144179.346653] 0003 0035 000001a8
2022-04-02 13:37:45.421189 False [  144179.346653] 0003 0036 00000340
2022-04-02 13:37:45.429823 False [  144179.355085] 0003 0035 000001aa
2022-04-02 13:37:45.429823 False [  144179.355085] 0003 0036 00000342
2022-04-02 13:37:45.438179 False [  144179.363222] 0003 0035 000001ac
2022-04-02 13:37:45.438179 False [  144179.363222] 0003 0036 00000346
2022-04-02 13:37:45.446098 False [  144179.371644] 0003 0035 000001ae
2022-04-02 13:37:45.446098 False [  144179.371644] 0003 0036 00000349
2022-04-02 13:37:45.455539 False [  144179.379849] 0003 0035 000001b0
2022-04-02 13:37:45.455539 False [  144179.379849] 0003 0036 0000034b
2022-04-02 13:37:45.462453 False [  144179.388254] 0003 0036 0000034d
2022-04-02 13:37:45.470961 False [  144179.396474] 0003 0035 000001b2
2022-04-02 13:37:45.470961 False [  144179.396474] 0003 0036 0000034f
2022-04-02 13:37:45.479328 False [  144179.404870] 0003 0035 000001b3
2022-04-02 13:37:45.479328 False [  144179.404870] 0003 0036 00000352
2022-04-02 13:37:45.486950 False [  144179.413052] 0003 0035 000001b4
2022-04-02 13:37:45.486950 False [  144179.413052] 0003 0036 00000354
2022-04-02 13:37:45.494725 False [  144179.421475] 0003 0035 000001b6
2022-04-02 13:37:45.495790 False [  144179.421475] 0003 0036 00000358
2022-04-02 13:37:45.503992 False [  144179.429675] 0003 0035 000001b7
2022-04-02 13:37:45.503992 False [  144179.429675] 0003 0036 0000035a
2022-04-02 13:37:45.511454 False [  144179.438127] 0003 0035 000001b8
2022-04-02 13:37:45.512276 False [  144179.438127] 0003 0036 0000035d
2022-04-02 13:37:45.520171 False [  144179.446292] 0003 0035 000001ba
2022-04-02 13:37:45.520171 False [  144179.446292] 0003 0036 0000035e
2022-04-02 13:37:45.529876 False [  144179.454733] 0003 0035 000001bb
2022-04-02 13:37:45.529876 False [  144179.454733] 0003 0036 00000361
2022-04-02 13:37:45.537630 False [  144179.462882] 0003 0035 000001bd
2022-04-02 13:37:45.537630 True [  144179.462882] 0003 0036 00000364
2022-04-02 13:37:45.546124 True [  144179.471367] 0003 0035 000001bf
2022-04-02 13:37:45.546124 True [  144179.471367] 0003 0036 00000367
2022-04-02 13:37:45.553721 True [  144179.479752] 0003 0035 000001c1
2022-04-02 13:37:45.554719 True [  144179.479752] 0003 0036 00000369
2022-04-02 13:37:45.562446 True [  144179.487959] 0003 0035 000001c2
2022-04-02 13:37:45.562446 True [  144179.487959] 0003 0036 0000036c
2022-04-02 13:37:45.571330 True [  144179.496173] 0003 0035 000001c4
2022-04-02 13:37:45.571330 True [  144179.496173] 0003 0036 0000036e
2022-04-02 13:37:45.577756 True [  144179.504619] 0003 0035 000001c7
2022-04-02 13:37:45.577756 True [  144179.504619] 0003 0036 00000372
2022-04-02 13:37:45.585974 True [  144179.512789] 0003 0035 000001c9
2022-04-02 13:37:45.585974 True [  144179.512789] 0003 0036 00000375
2022-04-02 13:37:45.595040 True [  144179.521176] 0003 0035 000001cc
2022-04-02 13:37:45.595040 True [  144179.521176] 0003 0036 00000378
2022-04-02 13:37:45.603031 True [  144179.529416] 0003 0035 000001ce
2022-04-02 13:37:45.603031 True [  144179.529416] 0003 0036 0000037b
2022-04-02 13:37:45.611317 True [  144179.537987] 0003 0035 000001d0
2022-04-02 13:37:45.611317 True [  144179.537987] 0003 0036 0000037e
2022-04-02 13:37:45.620388 True [  144179.546015] 0003 0035 000001d2
2022-04-02 13:37:45.620388 True [  144179.546015] 0003 0036 00000380
2022-04-02 13:37:45.628038 True [  144179.554442] 0003 0035 000001d3
2022-04-02 13:37:45.628038 True [  144179.554442] 0003 0036 00000383
2022-04-02 13:37:45.636146 True [  144179.562628] 0003 0035 000001d6
2022-04-02 13:37:45.636146 True [  144179.562628] 0003 0036 00000386
2022-04-02 13:37:45.644973 True [  144179.571050] 0003 0035 000001d7
2022-04-02 13:37:45.644973 True [  144179.571050] 0003 0036 00000389
2022-04-02 13:37:45.653041 True [  144179.579254] 0003 0035 000001da
2022-04-02 13:37:45.653041 True [  144179.579254] 0003 0036 0000038c
2022-04-02 13:37:45.661536 True [  144179.587751] 0003 0035 000001db
2022-04-02 13:37:45.661536 True [  144179.587751] 0003 0036 0000038f
2022-04-02 13:37:45.670524 True [  144179.595826] 0003 0035 000001de
2022-04-02 13:37:45.670524 True [  144179.595826] 0003 0036 00000392
2022-04-02 13:37:45.678218 True [  144179.604291] 0003 0035 000001df
2022-04-02 13:37:45.678218 True [  144179.604291] 0003 0036 00000394
2022-04-02 13:37:45.686507 True [  144179.612546] 0003 0035 000001e1
2022-04-02 13:37:45.686507 True [  144179.612546] 0003 0036 00000397
2022-04-02 13:37:45.695509 True [  144179.620934] 0003 0035 000001e2
2022-04-02 13:37:45.695509 True [  144179.620934] 0003 0036 0000039a
2022-04-02 13:37:45.702049 True [  144179.629109] 0003 0035 000001e4
2022-04-02 13:37:45.702049 True [  144179.629109] 0003 0036 0000039c
2022-04-02 13:37:45.711392 True [  144179.637535] 0003 0035 000001e6
2022-04-02 13:37:45.711392 True [  144179.637535] 0003 0036 0000039f
2022-04-02 13:37:45.719342 True [  144179.645834] 0003 0035 000001e8
2022-04-02 13:37:45.719342 True [  144179.645834] 0003 0036 000003a1
2022-04-02 13:37:45.727474 True [  144179.654197] 0003 0035 000001e9
2022-04-02 13:37:45.727474 True [  144179.654197] 0003 0036 000003a4
2022-04-02 13:37:45.735890 True [  144179.662378] 0003 0035 000001eb
2022-04-02 13:37:45.735890 True [  144179.662378] 0003 0036 000003a5
2022-04-02 13:37:45.743949 True [  144179.670761] 0003 0035 000001ee
2022-04-02 13:37:45.743949 True [  144179.670761] 0003 0036 000003a9
2022-04-02 13:37:45.752923 True [  144179.679002] 0003 0035 000001f0
2022-04-02 13:37:45.752923 True [  144179.679002] 0003 0036 000003ac
2022-04-02 13:37:45.761824 True [  144179.687452] 0003 0035 000001f3
2022-04-02 13:37:45.761824 True [  144179.687452] 0003 0036 000003af
2022-04-02 13:37:45.771008 True [  144179.695668] 0003 0036 000003b0
2022-04-02 13:37:45.777004 True [  144179.704048] 0003 0035 000001f5
2022-04-02 13:37:45.777004 True [  144179.704048] 0003 0036 000003b3
2022-04-02 13:37:45.785677 True [  144179.712260] 0003 0035 000001f7
2022-04-02 13:37:45.785677 True [  144179.712260] 0003 0036 000003b5
2022-04-02 13:37:45.803617 True [  144179.728971] 0003 0035 000001fa
2022-04-02 13:37:45.803617 True [  144179.728971] 0003 0036 000003b8
2022-04-02 13:37:45.811354 True [  144179.737273] 0003 0035 000001fc
2022-04-02 13:37:45.811354 True [  144179.737273] 0003 0036 000003ba
2022-04-02 13:37:45.818770 True [  144179.745457] 0003 0035 00000200
2022-04-02 13:37:45.818770 True [  144179.745457] 0003 0036 000003be
2022-04-02 13:37:45.827018 True [  144179.753878] 0003 0035 00000203
2022-04-02 13:37:45.827018 True [  144179.753878] 0003 0036 000003c1
2022-04-02 13:37:45.836179 True [  144179.762091] 0003 0035 00000205
2022-04-02 13:37:45.836179 True [  144179.762091] 0003 0036 000003c4
2022-04-02 13:37:45.844466 True [  144179.770507] 0003 0035 00000208
2022-04-02 13:37:45.844466 True [  144179.770507] 0003 0036 000003c6
2022-04-02 13:37:45.851959 True [  144179.778700] 0003 0035 0000020a
2022-04-02 13:37:45.851959 True [  144179.778700] 0003 0036 000003c8
2022-04-02 13:37:45.861074 True [  144179.787118] 0003 0035 0000020c
2022-04-02 13:37:45.861074 True [  144179.787118] 0003 0036 000003cb
2022-04-02 13:37:45.868809 True [  144179.795292] 0003 0035 0000020e
2022-04-02 13:37:45.868809 True [  144179.795292] 0003 0036 000003cc
2022-04-02 13:37:45.885700 True [  144179.812039] 0003 0035 00000210
2022-04-02 13:37:45.885700 True [  144179.812039] 0003 0036 000003ce
2022-04-02 13:37:45.894118 True [  144179.820319] 0003 0035 00000211
2022-04-02 13:37:45.894118 True [  144179.820319] 0003 0036 000003d1
2022-04-02 13:37:45.902961 True [  144179.828589] 0003 0035 00000212
2022-04-02 13:37:45.902961 True [  144179.828589] 0003 0036 000003d2
2022-04-02 13:37:45.911608 True [  144179.836990] 0003 0035 00000214
2022-04-02 13:37:45.913014 True [  144179.836990] 0003 0036 000003d4
2022-04-02 13:37:45.919012 True [  144179.845212] 0003 0036 000003d5
2022-04-02 13:37:45.935929 True [  144179.861851] 0003 0036 000003d6
2022-04-02 13:37:45.944723 True [  144179.870239] 0003 0036 000003d7
2022-04-02 13:37:45.951992 True [  144179.878479] 0003 0035 00000215
2022-04-02 13:37:45.953651 True [  144179.878479] 0003 0036 000003d8
