Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.408553276708556 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:10:35.807932 False [   19765.100413] 0003 0036 00000360
2022-04-07 19:10:35.830949 False [   19765.116672] 0003 0035 00000479
2022-04-07 19:10:35.834271 False [   19765.125901] 0003 0035 0000047a
2022-04-07 19:10:35.856168 False [   19765.149566] 0003 0036 00000361
2022-04-07 19:10:35.881487 False [   19765.174534] 0003 0036 00000362
2022-04-07 19:10:35.904145 False [   19765.191180] 0003 0036 00000363
2022-04-07 19:10:35.904145 False [   19765.199616] 0003 0036 00000364
2022-04-07 19:10:35.936143 False [   19765.224468] 0003 0036 00000365
2022-04-07 19:10:35.940134 False [   19765.235004] 0003 0036 00000366
2022-04-07 19:10:35.963860 False [   19765.249231] 0003 0035 00000479
2022-04-07 19:10:35.963860 False [   19765.249231] 0003 0036 00000367
2022-04-07 19:10:35.967873 False [   19765.257787] 0003 0036 00000368
2022-04-07 19:10:35.967873 False [   19765.267126] 0003 0035 00000478
2022-04-07 19:10:35.967873 False [   19765.267126] 0003 0036 00000369
2022-04-07 19:10:35.975993 False [   19765.274361] 0003 0035 00000477
2022-04-07 19:10:35.975993 False [   19765.274361] 0003 0036 0000036b
2022-04-07 19:10:35.987077 False [   19765.282501] 0003 0035 00000476
2022-04-07 19:10:35.987077 False [   19765.282501] 0003 0036 0000036c
2022-04-07 19:10:36.003279 False [   19765.299114] 0003 0036 0000036e
2022-04-07 19:10:36.015544 False [   19765.315716] 0003 0036 0000036f
2022-04-07 19:10:36.042098 False [   19765.324524] 0003 0035 00000475
2022-04-07 19:10:36.042098 False [   19765.324524] 0003 0036 00000370
2022-04-07 19:10:36.075723 False [   19765.332891] 0003 0036 00000371
2022-04-07 19:10:36.075723 False [   19765.343046] 0003 0035 00000474
2022-04-07 19:10:36.075723 False [   19765.343046] 0003 0036 00000373
2022-04-07 19:10:36.125156 False [   19765.349083] 0003 0036 00000374
2022-04-07 19:10:36.125156 False [   19765.357911] 0003 0035 00000473
2022-04-07 19:10:36.125156 False [   19765.365598] 0003 0036 00000376
2022-04-07 19:10:36.125156 False [   19765.373993] 0003 0036 00000377
2022-04-07 19:10:36.125156 False [   19765.382283] 0003 0036 00000378
2022-04-07 19:10:36.151238 False [   19765.392377] 0003 0035 00000472
2022-04-07 19:10:36.151238 False [   19765.392377] 0003 0036 0000037a
2022-04-07 19:10:36.151238 False [   19765.399687] 0003 0035 00000470
2022-04-07 19:10:36.151238 False [   19765.399687] 0003 0036 0000037d
2022-04-07 19:10:36.151238 False [   19765.408125] 0003 0035 0000046f
2022-04-07 19:10:36.151238 False [   19765.408125] 0003 0036 0000037f
2022-04-07 19:10:36.151238 False [   19765.415511] 0003 0036 00000381
2022-04-07 19:10:36.152224 False [   19765.424668] 0003 0035 0000046e
2022-04-07 19:10:36.152224 False [   19765.424668] 0003 0036 00000384
2022-04-07 19:10:36.186719 False [   19765.432093] 0003 0035 0000046d
2022-04-07 19:10:36.187711 False [   19765.432093] 0003 0036 00000385
2022-04-07 19:10:36.187711 False [   19765.440554] 0003 0035 0000046c
2022-04-07 19:10:36.187711 False [   19765.440554] 0003 0036 00000387
2022-04-07 19:10:36.187711 False [   19765.448677] 0003 0036 00000389
2022-04-07 19:10:36.187711 False [   19765.457103] 0003 0035 0000046b
2022-04-07 19:10:36.187711 False [   19765.457103] 0003 0036 0000038a
2022-04-07 19:10:36.226203 False [   19765.465392] 0003 0035 0000046a
2022-04-07 19:10:36.226203 False [   19765.465392] 0003 0036 0000038d
2022-04-07 19:10:36.226203 False [   19765.474525] 0003 0035 00000468
2022-04-07 19:10:36.226203 False [   19765.474525] 0003 0036 0000038f
2022-04-07 19:10:36.226203 False [   19765.483118] 0003 0036 00000390
2022-04-07 19:10:36.226203 False [   19765.492545] 0003 0035 00000467
2022-04-07 19:10:36.226203 False [   19765.492545] 0003 0036 00000392
2022-04-07 19:10:36.226203 False [   19765.500723] 0003 0035 00000466
2022-04-07 19:10:36.226203 False [   19765.500723] 0003 0036 00000394
2022-04-07 19:10:36.226203 False [   19765.508490] 0003 0035 00000465
2022-04-07 19:10:36.226203 False [   19765.508490] 0003 0036 00000395
2022-04-07 19:10:36.226203 False [   19765.516711] 0003 0036 00000397
2022-04-07 19:10:36.226203 False [   19765.524800] 0003 0035 00000464
2022-04-07 19:10:36.226203 False [   19765.524800] 0003 0036 00000398
2022-04-07 19:10:36.247564 False [   19765.532269] 0003 0035 00000463
2022-04-07 19:10:36.247564 False [   19765.532269] 0003 0036 0000039a
2022-04-07 19:10:36.258899 False [   19765.540401] 0003 0035 00000462
2022-04-07 19:10:36.258899 False [   19765.540401] 0003 0036 0000039b
2022-04-07 19:10:36.322147 False [   19765.556955] 0003 0035 00000461
2022-04-07 19:10:36.322147 False [   19765.556955] 0003 0036 0000039d
2022-04-07 19:10:36.322147 False [   19765.565117] 0003 0036 0000039f
2022-04-07 19:10:36.332031 False [   19765.573508] 0003 0035 00000460
2022-04-07 19:10:36.332031 False [   19765.581801] 0003 0035 0000045f
2022-04-07 19:10:36.332031 True [   19765.581801] 0003 0036 000003a1
2022-04-07 19:10:36.332031 True [   19765.590212] 0003 0036 000003a2
2022-04-07 19:10:36.332031 True [   19765.599213] 0003 0035 0000045e
2022-04-07 19:10:36.332424 True [   19765.617083] 0003 0036 000003a5
2022-04-07 19:10:36.332424 True [   19765.626649] 0003 0036 000003a6
2022-04-07 19:10:36.351124 True [   19765.648108] 0003 0035 0000045c
2022-04-07 19:10:36.351124 True [   19765.648108] 0003 0036 000003a7
2022-04-07 19:10:36.366445 True [   19765.664750] 0003 0035 0000045b
2022-04-07 19:10:36.366445 True [   19765.664750] 0003 0036 000003a8
2022-04-07 19:10:36.399195 True [   19765.681350] 0003 0036 000003a9
2022-04-07 19:10:36.399195 True [   19765.693408] 0003 0035 0000045a
2022-04-07 19:10:36.399195 True [   19765.693408] 0003 0036 000003aa
2022-04-07 19:10:36.413265 True [   19765.715013] 0003 0035 00000458
2022-04-07 19:10:36.413265 True [   19765.715013] 0003 0036 000003ad
2022-04-07 19:10:36.432216 True [   19765.723335] 0003 0035 00000456
2022-04-07 19:10:36.432216 True [   19765.723335] 0003 0036 000003af
2022-04-07 19:10:36.450405 True [   19765.731331] 0003 0035 00000455
2022-04-07 19:10:36.450405 True [   19765.731331] 0003 0036 000003b1
2022-04-07 19:10:36.493648 True [   19765.739726] 0003 0035 00000454
2022-04-07 19:10:36.493648 True [   19765.739726] 0003 0036 000003b3
2022-04-07 19:10:36.493648 True [   19765.747946] 0003 0035 00000453
2022-04-07 19:10:36.493648 True [   19765.747946] 0003 0036 000003b5
2022-04-07 19:10:36.493648 True [   19765.756299] 0003 0035 00000452
2022-04-07 19:10:36.496967 True [   19765.766167] 0003 0035 00000451
2022-04-07 19:10:36.496967 True [   19765.766167] 0003 0036 000003b7
2022-04-07 19:10:36.496967 True [   19765.773577] 0003 0035 00000450
2022-04-07 19:10:36.496967 True [   19765.773577] 0003 0036 000003b8
