Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:47.689767 True [    2661.223090] 0003 0035 0000045d
2022-04-06 14:58:47.689767 True [    2661.223090] 0003 0036 000003c6
2022-04-06 14:58:47.696008 True [    2661.230874] 0003 0035 00000461
2022-04-06 14:58:47.696008 True [    2661.230874] 0003 0036 000003c1
2022-04-06 14:58:47.706766 True [    2661.241350] 0003 0035 00000465
2022-04-06 14:58:47.706766 True [    2661.241350] 0003 0036 000003bd
2022-04-06 14:58:47.714872 True [    2661.247406] 0003 0035 00000467
2022-04-06 14:58:47.714872 True [    2661.247406] 0003 0036 000003b9
2022-04-06 14:58:47.721911 True [    2661.256676] 0003 0035 0000046a
2022-04-06 14:58:47.721911 True [    2661.256676] 0003 0036 000003b5
2022-04-06 14:58:47.729421 True [    2661.264072] 0003 0035 0000046c
2022-04-06 14:58:47.729421 True [    2661.264072] 0003 0036 000003b2
2022-04-06 14:58:47.738359 True [    2661.272841] 0003 0035 0000046e
2022-04-06 14:58:47.738359 True [    2661.272841] 0003 0036 000003af
2022-04-06 14:58:47.746195 True [    2661.281502] 0003 0035 0000046f
2022-04-06 14:58:47.746195 True [    2661.281502] 0003 0036 000003ac
2022-04-06 14:58:47.755678 True [    2661.289120] 0003 0035 00000471
2022-04-06 14:58:47.755678 False [    2661.289120] 0003 0036 000003aa
2022-04-06 14:58:47.763589 False [    2661.298137] 0003 0035 00000472
2022-04-06 14:58:47.763589 False [    2661.298137] 0003 0036 000003a8
2022-04-06 14:58:47.774438 False [    2661.305972] 0003 0035 00000473
2022-04-06 14:58:47.774438 False [    2661.305972] 0003 0036 000003a7
2022-04-06 14:58:47.791120 False [    2661.324525] 0003 0036 000003a6
2022-04-06 14:58:47.798335 False [    2661.330567] 0003 0036 000003a5
2022-04-06 14:58:47.805760 False [    2661.340513] 0003 0035 00000474
2022-04-06 14:58:47.805760 False [    2661.340513] 0003 0036 000003a4
2022-04-06 14:58:47.822839 False [    2661.355885] 0003 0035 00000475
2022-04-06 14:58:47.822839 False [    2661.355885] 0003 0036 000003a3
2022-04-06 14:58:47.829403 False [    2661.363748] 0003 0036 000003a2
2022-04-06 14:58:47.838450 False [    2661.372991] 0003 0035 00000476
2022-04-06 14:58:47.838450 False [    2661.372991] 0003 0036 000003a1
2022-04-06 14:58:47.846757 False [    2661.380685] 0003 0036 000003a0
2022-04-06 14:58:47.865839 False [    2661.398284] 0003 0036 0000039f
2022-04-06 14:58:47.909689 False [    2661.440423] 0003 0036 0000039e
2022-04-06 14:58:47.914085 False [    2661.446965] 0003 0035 00000475
2022-04-06 14:58:47.924683 False [    2661.456757] 0003 0035 00000474
2022-04-06 14:58:47.924683 False [    2661.456757] 0003 0036 0000039d
2022-04-06 14:58:47.929975 False [    2661.463447] 0003 0035 00000473
2022-04-06 14:58:47.939595 False [    2661.473327] 0003 0036 0000039c
2022-04-06 14:58:47.945657 False [    2661.480158] 0003 0035 00000472
2022-04-06 14:58:47.956218 False [    2661.490056] 0003 0035 00000470
2022-04-06 14:58:47.956218 False [    2661.490056] 0003 0036 0000039b
2022-04-06 14:58:47.963610 False [    2661.497018] 0003 0035 0000046f
2022-04-06 14:58:47.972424 False [    2661.506566] 0003 0035 0000046e
2022-04-06 14:58:47.972424 False [    2661.506566] 0003 0036 0000039a
2022-04-06 14:58:47.979790 False [    2661.513522] 0003 0035 0000046c
2022-04-06 14:58:47.987680 False [    2661.522052] 0003 0035 0000046b
2022-04-06 14:58:47.996779 False [    2661.530149] 0003 0035 00000469
2022-04-06 14:58:48.006957 False [    2661.539256] 0003 0035 00000467
2022-04-06 14:58:48.017012 False [    2661.547286] 0003 0035 00000465
2022-04-06 14:58:48.023585 False [    2661.555012] 0003 0035 00000461
2022-04-06 14:58:48.029950 False [    2661.563489] 0003 0035 0000045e
2022-04-06 14:58:48.039607 False [    2661.572451] 0003 0035 0000045a
2022-04-06 14:58:48.039607 False [    2661.572451] 0003 0036 0000039b
2022-04-06 14:58:48.045434 False [    2661.579776] 0003 0035 00000454
2022-04-06 14:58:48.045434 False [    2661.579776] 0003 0036 0000039d
2022-04-06 14:58:48.055758 True [    2661.588598] 0003 0035 0000044f
2022-04-06 14:58:48.055758 True [    2661.588598] 0003 0036 0000039f
2022-04-06 14:58:48.064618 True [    2661.597136] 0003 0035 00000449
2022-04-06 14:58:48.064618 True [    2661.597136] 0003 0036 000003a0
2022-04-06 14:58:48.072489 True [    2661.604849] 0003 0035 00000443
2022-04-06 14:58:48.072489 True [    2661.604849] 0003 0036 000003a2
2022-04-06 14:58:48.081164 True [    2661.613010] 0003 0035 0000043d
2022-04-06 14:58:48.081164 True [    2661.613010] 0003 0036 000003a4
2022-04-06 14:58:48.088896 True [    2661.621418] 0003 0035 00000438
2022-04-06 14:58:48.088896 True [    2661.621418] 0003 0036 000003a6
2022-04-06 14:58:48.096761 True [    2661.629619] 0003 0035 00000433
2022-04-06 14:58:48.096761 True [    2661.629619] 0003 0036 000003a9
2022-04-06 14:58:48.104932 True [    2661.638050] 0003 0035 0000042c
2022-04-06 14:58:48.104932 True [    2661.638050] 0003 0036 000003ab
2022-04-06 14:58:48.113688 True [    2661.647008] 0003 0035 00000427
2022-04-06 14:58:48.113688 True [    2661.647008] 0003 0036 000003ae
2022-04-06 14:58:48.122244 True [    2661.655214] 0003 0035 00000421
2022-04-06 14:58:48.122244 True [    2661.655214] 0003 0036 000003b0
2022-04-06 14:58:48.129757 True [    2661.663203] 0003 0035 0000041a
2022-04-06 14:58:48.129757 True [    2661.663203] 0003 0036 000003b4
2022-04-06 14:58:48.138858 True [    2661.671299] 0003 0035 00000414
2022-04-06 14:58:48.138858 True [    2661.671299] 0003 0036 000003b6
2022-04-06 14:58:48.147492 True [    2661.679780] 0003 0035 0000040e
2022-04-06 14:58:48.147492 True [    2661.679780] 0003 0036 000003ba
2022-04-06 14:58:48.156712 True [    2661.689362] 0003 0035 00000408
2022-04-06 14:58:48.156712 True [    2661.689362] 0003 0036 000003bd
2022-04-06 14:58:48.162003 True [    2661.696272] 0003 0035 00000402
2022-04-06 14:58:48.162003 True [    2661.696272] 0003 0036 000003c0
2022-04-06 14:58:48.172876 True [    2661.705740] 0003 0035 000003fd
2022-04-06 14:58:48.172876 True [    2661.705740] 0003 0036 000003c4
2022-04-06 14:58:48.179264 True [    2661.712855] 0003 0035 000003f7
2022-04-06 14:58:48.179264 True [    2661.712855] 0003 0036 000003c7
2022-04-06 14:58:48.190660 True [    2661.722686] 0003 0035 000003f1
2022-04-06 14:58:48.190660 True [    2661.722686] 0003 0036 000003ca
2022-04-06 14:58:48.197287 True [    2661.729358] 0003 0035 000003eb
2022-04-06 14:58:48.197287 True [    2661.729358] 0003 0036 000003ce
2022-04-06 14:58:48.205711 True [    2661.738030] 0003 0035 000003e7
2022-04-06 14:58:48.205711 True [    2661.738030] 0003 0036 000003d2
2022-04-06 14:58:48.213204 True [    2661.746232] 0003 0035 000003e1
2022-04-06 14:58:48.213204 True [    2661.746232] 0003 0036 000003d7
2022-04-06 14:58:48.221003 True [    2661.755169] 0003 0035 000003dc
2022-04-06 14:58:48.221003 True [    2661.755169] 0003 0036 000003dc
2022-04-06 14:58:48.229384 True [    2661.763581] 0003 0035 000003d6
2022-04-06 14:58:48.229384 True [    2661.763581] 0003 0036 000003e1
2022-04-06 14:58:48.239530 True [    2661.771411] 0003 0035 000003d1
2022-04-06 14:58:48.239530 True [    2661.771411] 0003 0036 000003e5
2022-04-06 14:58:48.246793 True [    2661.779701] 0003 0035 000003cb
2022-04-06 14:58:48.246793 True [    2661.779701] 0003 0036 000003e9
2022-04-06 14:58:48.254894 True [    2661.788460] 0003 0035 000003c7
2022-04-06 14:58:48.254894 True [    2661.788460] 0003 0036 000003ee
2022-04-06 14:58:48.262714 True [    2661.796590] 0003 0035 000003c2
2022-04-06 14:58:48.262714 True [    2661.796590] 0003 0036 000003f2
2022-04-06 14:58:48.270041 True [    2661.804650] 0003 0035 000003bd
2022-04-06 14:58:48.270041 True [    2661.804650] 0003 0036 000003f6
