Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:36.290337 False [  158939.429672] 0003 0035 00000509
2022-04-02 17:43:36.326177 False [  158939.462903] 0003 0035 00000508
2022-04-02 17:43:36.353578 False [  158939.496153] 0003 0035 00000507
2022-04-02 17:43:36.390867 False [  158939.529419] 0003 0035 00000506
2022-04-02 17:43:36.473774 False [  158939.537837] 0003 0035 00000505
2022-04-02 17:43:36.473774 False [  158939.537837] 0003 0036 0000049a
2022-04-02 17:43:36.473774 False [  158939.546145] 0003 0035 00000503
2022-04-02 17:43:36.473774 False [  158939.546145] 0003 0036 00000499
2022-04-02 17:43:36.498892 False [  158939.554402] 0003 0035 00000502
2022-04-02 17:43:36.498892 False [  158939.554402] 0003 0036 00000498
2022-04-02 17:43:36.498892 False [  158939.562648] 0003 0035 00000501
2022-04-02 17:43:36.498892 False [  158939.562648] 0003 0036 00000496
2022-04-02 17:43:36.498892 False [  158939.573683] 0003 0035 000004ff
2022-04-02 17:43:36.498892 False [  158939.573683] 0003 0036 00000495
2022-04-02 17:43:36.498892 False [  158939.579778] 0003 0035 000004fe
2022-04-02 17:43:36.498892 False [  158939.590935] 0003 0036 00000494
2022-04-02 17:43:36.498892 False [  158939.601793] 0003 0035 000004fd
2022-04-02 17:43:36.498892 False [  158939.613272] 0003 0036 00000493
2022-04-02 17:43:36.498892 False [  158939.625204] 0003 0035 000004fc
2022-04-02 17:43:36.530312 False [  158939.635890] 0003 0035 000004fb
2022-04-02 17:43:36.530312 False [  158939.653884] 0003 0035 000004fa
2022-04-02 17:43:36.530312 False [  158939.663820] 0003 0035 000004f9
2022-04-02 17:43:36.530312 False [  158939.674140] 0003 0035 000004f8
2022-04-02 17:43:36.530312 False [  158939.674140] 0003 0036 00000492
2022-04-02 17:43:36.546240 False [  158939.687741] 0003 0035 000004f7
2022-04-02 17:43:36.564120 False [  158939.703783] 0003 0035 000004f6
2022-04-02 17:43:36.576569 False [  158939.720651] 0003 0035 000004f5
2022-04-02 17:43:36.590475 False [  158939.737024] 0003 0035 000004f4
2022-04-02 17:43:36.623170 False [  158939.762089] 0003 0035 000004f3
2022-04-02 17:43:36.650215 False [  158939.779126] 0003 0035 000004f1
2022-04-02 17:43:36.677385 False [  158939.786995] 0003 0035 000004ef
2022-04-02 17:43:36.677385 False [  158939.786995] 0003 0036 00000493
2022-04-02 17:43:36.677385 False [  158939.795295] 0003 0035 000004ed
2022-04-02 17:43:36.677385 False [  158939.805230] 0003 0035 000004e9
2022-04-02 17:43:36.677385 False [  158939.805230] 0003 0036 00000491
2022-04-02 17:43:36.700693 False [  158939.812437] 0003 0035 000004e6
2022-04-02 17:43:36.700693 False [  158939.812437] 0003 0036 00000490
2022-04-02 17:43:36.700693 False [  158939.822723] 0003 0035 000004e3
2022-04-02 17:43:36.700693 False [  158939.822723] 0003 0036 0000048f
2022-04-02 17:43:36.704308 False [  158939.836776] 0003 0035 000004e1
2022-04-02 17:43:36.704308 False [  158939.847762] 0003 0035 000004df
2022-04-02 17:43:36.704308 True [  158939.847762] 0003 0036 0000048e
2022-04-02 17:43:36.713372 True [  158939.861782] 0003 0035 000004dd
2022-04-02 17:43:36.737489 True [  158939.870017] 0003 0035 000004db
