Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:51.379138 True [    1944.923837] 0003 0035 000003bb
2022-04-06 14:46:51.379138 True [    1944.923837] 0003 0036 00000367
2022-04-06 14:46:51.388273 True [    1944.932289] 0003 0036 00000366
2022-04-06 14:46:51.396250 True [    1944.940620] 0003 0035 000003ba
2022-04-06 14:46:51.404006 True [    1944.948900] 0003 0035 000003b6
2022-04-06 14:46:51.405012 True [    1944.948900] 0003 0036 00000362
2022-04-06 14:46:51.412181 True [    1944.957089] 0003 0035 000003b4
2022-04-06 14:46:51.412181 True [    1944.957089] 0003 0036 0000035f
2022-04-06 14:46:51.420744 True [    1944.965515] 0003 0035 000003b2
2022-04-06 14:46:51.420744 True [    1944.965515] 0003 0036 0000035e
2022-04-06 14:46:51.429049 True [    1944.973704] 0003 0035 000003b0
2022-04-06 14:46:51.429049 True [    1944.973704] 0003 0036 0000035c
2022-04-06 14:46:51.438843 True [    1944.982116] 0003 0035 000003ae
2022-04-06 14:46:51.438843 True [    1944.982116] 0003 0036 0000035b
2022-04-06 14:46:51.446202 True [    1944.990322] 0003 0036 0000035a
2022-04-06 14:46:51.454703 True [    1944.998745] 0003 0035 000003ad
2022-04-06 14:46:51.454703 True [    1944.998745] 0003 0036 00000359
2022-04-06 14:46:51.461848 True [    1945.006899] 0003 0035 000003ac
2022-04-06 14:46:51.479382 True [    1945.023514] 0003 0035 000003ab
2022-04-06 14:46:51.480427 True [    1945.023514] 0003 0036 00000358
2022-04-06 14:46:51.496258 True [    1945.040130] 0003 0036 00000357
2022-04-06 14:46:51.504982 True [    1945.048705] 0003 0035 000003aa
2022-04-06 14:46:51.504982 True [    1945.048705] 0003 0036 00000356
2022-04-06 14:46:51.511856 True [    1945.056803] 0003 0035 000003a9
2022-04-06 14:46:51.511856 True [    1945.056803] 0003 0036 00000355
2022-04-06 14:46:51.519720 True [    1945.065149] 0003 0035 000003a8
2022-04-06 14:46:51.528129 True [    1945.073315] 0003 0035 000003a7
2022-04-06 14:46:51.528129 True [    1945.073315] 0003 0036 00000354
2022-04-06 14:46:51.536545 True [    1945.081767] 0003 0036 00000353
2022-04-06 14:46:51.553331 True [    1945.098366] 0003 0035 000003a6
2022-04-06 14:46:51.561327 True [    1945.106576] 0003 0035 000003a4
2022-04-06 14:46:51.561327 True [    1945.106576] 0003 0036 00000350
2022-04-06 14:46:51.569672 True [    1945.115008] 0003 0035 000003a1
2022-04-06 14:46:51.569672 True [    1945.115008] 0003 0036 0000034e
2022-04-06 14:46:51.578619 True [    1945.123206] 0003 0035 000003a0
2022-04-06 14:46:51.578619 True [    1945.123206] 0003 0036 0000034b
2022-04-06 14:46:51.586611 True [    1945.131684] 0003 0035 0000039f
2022-04-06 14:46:51.586611 True [    1945.131684] 0003 0036 0000034a
2022-04-06 14:46:51.594062 True [    1945.139823] 0003 0035 0000039e
2022-04-06 14:46:51.594062 True [    1945.139823] 0003 0036 00000349
2022-04-06 14:46:51.603262 True [    1945.148230] 0003 0035 0000039d
2022-04-06 14:46:51.604276 True [    1945.148230] 0003 0036 00000347
2022-04-06 14:46:51.611268 True [    1945.156560] 0003 0035 00000399
2022-04-06 14:46:51.612262 True [    1945.156560] 0003 0036 00000345
2022-04-06 14:46:51.620183 True [    1945.164981] 0003 0035 00000395
2022-04-06 14:46:51.620183 True [    1945.164981] 0003 0036 00000342
2022-04-06 14:46:51.628623 True [    1945.173120] 0003 0035 00000392
2022-04-06 14:46:51.628623 True [    1945.173120] 0003 0036 00000341
2022-04-06 14:46:51.636229 True [    1945.181540] 0003 0035 00000391
2022-04-06 14:46:51.636229 True [    1945.181540] 0003 0036 00000340
2022-04-06 14:46:51.646982 True [    1945.189752] 0003 0035 0000038f
2022-04-06 14:46:51.646982 True [    1945.189752] 0003 0036 0000033f
2022-04-06 14:46:51.653635 True [    1945.198175] 0003 0035 0000038e
2022-04-06 14:46:51.653635 True [    1945.198175] 0003 0036 0000033e
2022-04-06 14:46:51.662022 True [    1945.206386] 0003 0035 0000038d
2022-04-06 14:46:51.662022 True [    1945.206386] 0003 0036 0000033d
2022-04-06 14:46:51.669763 True [    1945.214790] 0003 0035 0000038b
2022-04-06 14:46:51.669763 True [    1945.214790] 0003 0036 0000033b
2022-04-06 14:46:51.678600 True [    1945.222990] 0003 0035 0000038a
2022-04-06 14:46:51.678600 True [    1945.222990] 0003 0036 0000033a
2022-04-06 14:46:51.686719 True [    1945.231394] 0003 0035 00000389
2022-04-06 14:46:51.686719 True [    1945.231394] 0003 0036 00000339
2022-04-06 14:46:51.695213 True [    1945.239656] 0003 0035 00000388
2022-04-06 14:46:51.695213 True [    1945.239656] 0003 0036 00000338
2022-04-06 14:46:51.703285 True [    1945.248043] 0003 0035 00000387
2022-04-06 14:46:51.711647 True [    1945.256262] 0003 0035 00000383
2022-04-06 14:46:51.711647 True [    1945.256262] 0003 0036 00000332
2022-04-06 14:46:51.719588 True [    1945.264668] 0003 0035 0000037f
2022-04-06 14:46:51.719588 True [    1945.264668] 0003 0036 0000032e
2022-04-06 14:46:51.728129 True [    1945.272823] 0003 0035 0000037c
2022-04-06 14:46:51.728129 True [    1945.272823] 0003 0036 0000032c
2022-04-06 14:46:51.737484 True [    1945.281296] 0003 0035 0000037b
2022-04-06 14:46:51.737484 True [    1945.281296] 0003 0036 00000329
