Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2150439775844488 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:25:14.313927 True [     906.731688] 0003 0035 0000036d
2022-04-06 14:25:14.313927 True [     906.731688] 0003 0036 00000397
2022-04-06 14:25:14.323343 True [     906.740247] 0003 0035 0000036b
2022-04-06 14:25:14.328955 True [     906.748440] 0003 0035 00000369
2022-04-06 14:25:14.328955 True [     906.748440] 0003 0036 00000396
2022-04-06 14:25:14.337763 True [     906.756826] 0003 0035 00000367
2022-04-06 14:25:14.337763 True [     906.756826] 0003 0036 00000395
2022-04-06 14:25:14.347836 True [     906.765039] 0003 0035 00000365
2022-04-06 14:25:14.347836 True [     906.765039] 0003 0036 00000394
2022-04-06 14:25:14.354925 True [     906.773510] 0003 0035 00000363
2022-04-06 14:25:14.363512 True [     906.781748] 0003 0035 00000362
2022-04-06 14:25:14.363512 True [     906.781748] 0003 0036 00000393
2022-04-06 14:25:14.371774 True [     906.790147] 0003 0035 00000360
2022-04-06 14:25:14.371774 True [     906.790147] 0003 0036 00000392
2022-04-06 14:25:14.381767 True [     906.798392] 0003 0035 0000035e
2022-04-06 14:25:14.381767 True [     906.798392] 0003 0036 00000391
2022-04-06 14:25:14.387718 True [     906.806803] 0003 0035 0000035d
2022-04-06 14:25:14.387718 True [     906.806803] 0003 0036 0000038f
2022-04-06 14:25:14.396028 True [     906.815022] 0003 0035 0000035c
2022-04-06 14:25:14.404823 True [     906.823548] 0003 0035 0000035b
2022-04-06 14:25:14.404823 True [     906.823548] 0003 0036 0000038d
2022-04-06 14:25:14.413137 True [     906.831752] 0003 0036 0000038c
2022-04-06 14:25:14.421260 True [     906.840120] 0003 0035 0000035a
2022-04-06 14:25:14.421260 True [     906.840120] 0003 0036 0000038a
2022-04-06 14:25:14.429605 True [     906.848395] 0003 0036 00000389
2022-04-06 14:25:14.437767 True [     906.856832] 0003 0036 00000388
2022-04-06 14:25:14.445587 True [     906.865015] 0003 0035 0000035b
2022-04-06 14:25:14.445587 True [     906.865015] 0003 0036 00000387
2022-04-06 14:25:14.453832 True [     906.873500] 0003 0036 00000386
2022-04-06 14:25:14.461641 True [     906.881684] 0003 0035 0000035c
2022-04-06 14:25:14.461641 True [     906.881684] 0003 0036 00000384
2022-04-06 14:25:14.470675 True [     906.890123] 0003 0035 0000035d
2022-04-06 14:25:14.470675 True [     906.890123] 0003 0036 00000383
2022-04-06 14:25:14.481814 True [     906.898424] 0003 0035 0000035f
2022-04-06 14:25:14.481814 True [     906.898424] 0003 0036 00000381
2022-04-06 14:25:14.486640 True [     906.906834] 0003 0035 00000360
2022-04-06 14:25:14.486640 True [     906.906834] 0003 0036 0000037f
2022-04-06 14:25:14.505979 True [     906.923452] 0003 0035 00000363
2022-04-06 14:25:14.505979 True [     906.923452] 0003 0036 0000037c
2022-04-06 14:25:14.513571 True [     906.931705] 0003 0035 00000367
2022-04-06 14:25:14.513571 True [     906.931705] 0003 0036 00000379
2022-04-06 14:25:14.521973 True [     906.940138] 0003 0035 0000036a
2022-04-06 14:25:14.521973 True [     906.940138] 0003 0036 00000378
2022-04-06 14:25:14.531564 True [     906.948417] 0003 0035 0000036d
2022-04-06 14:25:14.531564 True [     906.948417] 0003 0036 00000376
2022-04-06 14:25:14.538545 True [     906.956847] 0003 0035 00000370
2022-04-06 14:25:14.538545 True [     906.956847] 0003 0036 00000374
2022-04-06 14:25:14.546655 True [     906.965022] 0003 0035 00000373
2022-04-06 14:25:14.555177 True [     906.973449] 0003 0035 00000375
2022-04-06 14:25:14.555177 True [     906.973449] 0003 0036 00000372
2022-04-06 14:25:14.564174 True [     906.981718] 0003 0035 00000377
2022-04-06 14:25:14.564174 True [     906.981718] 0003 0036 00000371
2022-04-06 14:25:14.579850 True [     906.998368] 0003 0035 00000379
2022-04-06 14:25:14.587719 True [     907.006822] 0003 0035 0000037c
2022-04-06 14:25:14.587719 True [     907.006822] 0003 0036 00000370
2022-04-06 14:25:14.597164 True [     907.015056] 0003 0035 0000037f
2022-04-06 14:25:14.604942 True [     907.023459] 0003 0035 00000382
2022-04-06 14:25:14.612946 True [     907.031759] 0003 0035 00000384
2022-04-06 14:25:14.621672 True [     907.040170] 0003 0035 00000387
2022-04-06 14:25:14.629356 True [     907.048353] 0003 0035 0000038b
2022-04-06 14:25:14.638132 True [     907.056829] 0003 0035 0000038d
2022-04-06 14:25:14.638132 True [     907.056829] 0003 0036 00000371
2022-04-06 14:25:14.645956 True [     907.065057] 0003 0035 00000390
2022-04-06 14:25:14.645956 True [     907.065057] 0003 0036 00000372
2022-04-06 14:25:14.663702 True [     907.082326] 0003 0035 00000394
2022-04-06 14:25:14.663702 True [     907.082326] 0003 0036 00000373
2022-04-06 14:25:14.669796 True [     907.090132] 0003 0035 00000397
2022-04-06 14:25:14.669796 True [     907.090132] 0003 0036 00000374
2022-04-06 14:25:14.678040 True [     907.098404] 0003 0035 0000039a
2022-04-06 14:25:14.678040 True [     907.098404] 0003 0036 00000375
2022-04-06 14:25:14.686667 True [     907.106820] 0003 0035 0000039d
2022-04-06 14:25:14.686667 True [     907.106820] 0003 0036 00000377
2022-04-06 14:25:14.696832 True [     907.115101] 0003 0035 000003a0
2022-04-06 14:25:14.696832 True [     907.115101] 0003 0036 00000378
2022-04-06 14:25:14.703860 True [     907.123530] 0003 0035 000003a3
2022-04-06 14:25:14.704859 True [     907.123530] 0003 0036 00000379
2022-04-06 14:25:14.714043 True [     907.131699] 0003 0035 000003a5
2022-04-06 14:25:14.714043 True [     907.131699] 0003 0036 0000037a
2022-04-06 14:25:14.721992 True [     907.140169] 0003 0035 000003a7
2022-04-06 14:25:14.721992 True [     907.140169] 0003 0036 0000037b
2022-04-06 14:25:14.729694 True [     907.148416] 0003 0035 000003a9
2022-04-06 14:25:14.729694 True [     907.148416] 0003 0036 0000037d
