Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:26.194128 True [  144520.116330] 0003 0035 00000257
2022-04-02 13:43:26.203250 True [  144520.124536] 0003 0035 00000259
2022-04-02 13:43:26.203250 True [  144520.124536] 0003 0036 000004ec
2022-04-02 13:43:26.211406 True [  144520.132924] 0003 0035 0000025b
2022-04-02 13:43:26.220032 True [  144520.141161] 0003 0035 0000025e
2022-04-02 13:43:26.228272 True [  144520.149561] 0003 0035 00000260
2022-04-02 13:43:26.236957 True [  144520.157742] 0003 0035 00000263
2022-04-02 13:43:26.245534 True [  144520.166235] 0003 0035 00000266
2022-04-02 13:43:26.252972 True [  144520.174419] 0003 0035 00000269
2022-04-02 13:43:26.261853 True [  144520.182901] 0003 0035 0000026b
2022-04-02 13:43:26.270044 True [  144520.191053] 0003 0035 0000026d
2022-04-02 13:43:26.278802 True [  144520.199434] 0003 0035 00000270
2022-04-02 13:43:26.286089 True [  144520.207575] 0003 0035 00000273
2022-04-02 13:43:26.295136 True [  144520.216036] 0003 0035 00000275
2022-04-02 13:43:26.302658 True [  144520.224367] 0003 0035 00000279
2022-04-02 13:43:26.311429 True [  144520.232659] 0003 0035 0000027c
2022-04-02 13:43:26.311429 True [  144520.232659] 0003 0036 000004ed
2022-04-02 13:43:26.319237 True [  144520.240904] 0003 0035 0000027f
2022-04-02 13:43:26.327757 True [  144520.249347] 0003 0035 00000282
2022-04-02 13:43:26.335688 True [  144520.257494] 0003 0035 00000285
2022-04-02 13:43:26.336542 True [  144520.257494] 0003 0036 000004ee
2022-04-02 13:43:26.343729 True [  144520.265958] 0003 0035 00000288
2022-04-02 13:43:26.353518 True [  144520.274116] 0003 0035 0000028b
2022-04-02 13:43:26.353518 True [  144520.274116] 0003 0036 000004ef
2022-04-02 13:43:26.360612 True [  144520.282527] 0003 0035 0000028d
2022-04-02 13:43:26.369387 True [  144520.290707] 0003 0035 00000291
2022-04-02 13:43:26.377397 True [  144520.299246] 0003 0035 00000293
2022-04-02 13:43:26.385901 True [  144520.307321] 0003 0035 00000296
2022-04-02 13:43:26.394314 True [  144520.315760] 0003 0035 00000298
2022-04-02 13:43:26.403693 True [  144520.323956] 0003 0035 0000029b
2022-04-02 13:43:26.403693 True [  144520.323956] 0003 0036 000004f0
2022-04-02 13:43:26.410449 True [  144520.332361] 0003 0035 0000029e
2022-04-02 13:43:26.418370 True [  144520.340608] 0003 0035 000002a0
2022-04-02 13:43:26.427637 True [  144520.348976] 0003 0035 000002a2
2022-04-02 13:43:26.427637 True [  144520.348976] 0003 0036 000004f1
2022-04-02 13:43:26.436068 True [  144520.357218] 0003 0035 000002a4
2022-04-02 13:43:26.443326 True [  144520.365681] 0003 0035 000002a6
2022-04-02 13:43:26.451765 True [  144520.373899] 0003 0035 000002a9
2022-04-02 13:43:26.453710 True [  144520.373899] 0003 0036 000004f2
2022-04-02 13:43:26.459841 True [  144520.382196] 0003 0035 000002ab
2022-04-02 13:43:26.468056 True [  144520.390450] 0003 0035 000002ae
2022-04-02 13:43:26.469883 True [  144520.390450] 0003 0036 000004f3
2022-04-02 13:43:26.477021 True [  144520.398871] 0003 0035 000002b1
2022-04-02 13:43:26.477541 True [  144520.398871] 0003 0036 000004f4
2022-04-02 13:43:26.485857 True [  144520.407111] 0003 0035 000002b3
2022-04-02 13:43:26.492949 True [  144520.415466] 0003 0035 000002b5
2022-04-02 13:43:26.494259 True [  144520.415466] 0003 0036 000004f5
2022-04-02 13:43:26.503667 True [  144520.423837] 0003 0035 000002b8
2022-04-02 13:43:26.510808 True [  144520.432147] 0003 0035 000002bb
2022-04-02 13:43:26.518208 True [  144520.440298] 0003 0035 000002bd
2022-04-02 13:43:26.527800 True [  144520.448718] 0003 0035 000002bf
2022-04-02 13:43:26.535959 True [  144520.457004] 0003 0035 000002c2
2022-04-02 13:43:26.535959 True [  144520.457004] 0003 0036 000004f6
2022-04-02 13:43:26.543904 True [  144520.465361] 0003 0035 000002c4
2022-04-02 13:43:26.551588 True [  144520.473558] 0003 0035 000002c6
2022-04-02 13:43:26.560163 True [  144520.481968] 0003 0035 000002c9
2022-04-02 13:43:26.568591 True [  144520.490307] 0003 0035 000002cb
2022-04-02 13:43:26.568591 True [  144520.490307] 0003 0036 000004f7
2022-04-02 13:43:26.576529 True [  144520.498621] 0003 0035 000002ce
2022-04-02 13:43:26.585118 True [  144520.506850] 0003 0035 000002d1
2022-04-02 13:43:26.585118 True [  144520.506850] 0003 0036 000004f8
2022-04-02 13:43:26.594322 True [  144520.515261] 0003 0035 000002d4
2022-04-02 13:43:26.603137 True [  144520.523393] 0003 0035 000002d8
2022-04-02 13:43:26.603137 True [  144520.523393] 0003 0036 000004f9
2022-04-02 13:43:26.610788 True [  144520.531835] 0003 0035 000002dc
2022-04-02 13:43:26.618082 True [  144520.540106] 0003 0035 000002df
2022-04-02 13:43:26.618082 True [  144520.540106] 0003 0036 000004fa
2022-04-02 13:43:26.626991 True [  144520.548524] 0003 0035 000002e2
2022-04-02 13:43:26.635569 True [  144520.556680] 0003 0035 000002e5
2022-04-02 13:43:26.643316 True [  144520.565127] 0003 0035 000002e7
2022-04-02 13:43:26.651668 True [  144520.573396] 0003 0035 000002ea
2022-04-02 13:43:26.660718 True [  144520.581714] 0003 0035 000002ed
2022-04-02 13:43:26.660718 True [  144520.581714] 0003 0036 000004fb
2022-04-02 13:43:26.667956 True [  144520.589882] 0003 0035 000002f0
2022-04-02 13:43:26.675940 True [  144520.598289] 0003 0035 000002f3
2022-04-02 13:43:26.684921 True [  144520.606516] 0003 0035 000002f5
2022-04-02 13:43:26.694250 True [  144520.615003] 0003 0035 000002f8
2022-04-02 13:43:26.701808 True [  144520.623180] 0003 0035 000002fc
2022-04-02 13:43:26.710814 True [  144520.631708] 0003 0035 000002ff
2022-04-02 13:43:26.719137 True [  144520.639759] 0003 0035 00000303
2022-04-02 13:43:26.719137 True [  144520.639759] 0003 0036 000004fc
2022-04-02 13:43:26.726093 True [  144520.648177] 0003 0035 00000307
2022-04-02 13:43:26.735156 True [  144520.656413] 0003 0035 0000030c
2022-04-02 13:43:26.735156 True [  144520.656413] 0003 0036 000004fd
2022-04-02 13:43:26.742289 True [  144520.664772] 0003 0035 00000310
2022-04-02 13:43:26.751265 True [  144520.672985] 0003 0035 00000314
2022-04-02 13:43:26.751265 True [  144520.672985] 0003 0036 000004fe
2022-04-02 13:43:26.759888 True [  144520.681475] 0003 0035 00000318
2022-04-02 13:43:26.768040 True [  144520.689645] 0003 0035 0000031c
2022-04-02 13:43:26.775992 True [  144520.698064] 0003 0035 0000031f
2022-04-02 13:43:26.785034 True [  144520.706245] 0003 0035 00000322
2022-04-02 13:43:26.785034 True [  144520.706245] 0003 0036 000004ff
2022-04-02 13:43:26.793529 True [  144520.714625] 0003 0035 00000326
2022-04-02 13:43:26.801311 True [  144520.722896] 0003 0035 00000329
2022-04-02 13:43:26.809486 True [  144520.731255] 0003 0035 0000032e
2022-04-02 13:43:26.819118 True [  144520.739539] 0003 0035 00000334
2022-04-02 13:43:26.819118 True [  144520.739539] 0003 0036 00000500
