Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:49.429972 True [  158592.535785] 0003 0035 000004ed
2022-04-02 17:37:49.429972 True [  158592.535785] 0003 0036 0000051d
2022-04-02 17:37:49.429972 True [  158592.544247] 0003 0035 000004ef
2022-04-02 17:37:49.429972 True [  158592.544247] 0003 0036 0000051b
2022-04-02 17:37:49.429972 True [  158592.552501] 0003 0035 000004f0
2022-04-02 17:37:49.429972 True [  158592.552501] 0003 0036 0000051a
2022-04-02 17:37:49.429972 True [  158592.560635] 0003 0035 000004f2
2022-04-02 17:37:49.429972 True [  158592.560635] 0003 0036 00000518
2022-04-02 17:37:49.443708 True [  158592.569360] 0003 0035 000004f3
2022-04-02 17:37:49.443708 True [  158592.569360] 0003 0036 00000516
2022-04-02 17:37:49.443708 True [  158592.577623] 0003 0036 00000515
2022-04-02 17:37:49.443708 True [  158592.586467] 0003 0035 000004f4
2022-04-02 17:37:49.453604 True [  158592.594006] 0003 0035 000004f5
2022-04-02 17:37:49.453604 True [  158592.594006] 0003 0036 00000513
2022-04-02 17:37:49.453604 True [  158592.602490] 0003 0035 000004f6
2022-04-02 17:37:49.457594 True [  158592.602490] 0003 0036 00000512
2022-04-02 17:37:49.468704 True [  158592.619091] 0003 0035 000004f7
2022-04-02 17:37:49.468704 True [  158592.619091] 0003 0036 00000511
2022-04-02 17:37:49.486412 True [  158592.635474] 0003 0036 00000510
2022-04-02 17:37:49.512709 True [  158592.652111] 0003 0036 0000050f
2022-04-02 17:37:49.512709 True [  158592.660843] 0003 0035 000004f8
2022-04-02 17:37:49.515178 True [  158592.660843] 0003 0036 0000050d
2022-04-02 17:37:49.523328 True [  158592.676918] 0003 0035 000004f9
2022-04-02 17:37:49.523328 True [  158592.676918] 0003 0036 0000050c
2022-04-02 17:37:49.550211 True [  158592.685364] 0003 0036 0000050b
2022-04-02 17:37:49.556584 True [  158592.694739] 0003 0035 000004fa
2022-04-02 17:37:49.556584 True [  158592.694739] 0003 0036 00000508
2022-04-02 17:37:49.556584 True [  158592.702044] 0003 0036 00000507
2022-04-02 17:37:49.556584 True [  158592.710448] 0003 0035 000004fb
2022-04-02 17:37:49.556584 True [  158592.710448] 0003 0036 00000505
2022-04-02 17:37:49.565470 True [  158592.718657] 0003 0036 00000504
2022-04-02 17:37:49.604384 True [  158592.726875] 0003 0036 00000502
2022-04-02 17:37:49.609107 True [  158592.735460] 0003 0036 00000500
2022-04-02 17:37:49.609107 True [  158592.745721] 0003 0035 000004fc
2022-04-02 17:37:49.609107 True [  158592.754252] 0003 0036 000004ff
2022-04-02 17:37:49.643140 True [  158592.776812] 0003 0035 000004fd
2022-04-02 17:37:49.643140 True [  158592.776812] 0003 0036 000004fe
2022-04-02 17:37:49.647435 True [  158592.785237] 0003 0036 000004fd
2022-04-02 17:37:49.647435 True [  158592.794017] 0003 0036 000004fc
2022-04-02 17:37:49.667397 True [  158592.809937] 0003 0036 000004fb
2022-04-02 17:37:49.672420 True [  158592.818317] 0003 0035 000004fe
2022-04-02 17:37:49.672420 True [  158592.818317] 0003 0036 000004fa
2022-04-02 17:37:49.709129 True [  158592.835032] 0003 0036 000004f9
2022-04-02 17:37:49.720714 True [  158592.844211] 0003 0036 000004f8
2022-04-02 17:37:49.720714 True [  158592.852166] 0003 0036 000004f7
2022-04-02 17:37:49.720714 True [  158592.859782] 0003 0036 000004f6
2022-04-02 17:37:49.720714 True [  158592.868709] 0003 0036 000004f5
2022-04-02 17:37:49.762332 True [  158592.884821] 0003 0035 000004ff
2022-04-02 17:37:49.765767 True [  158592.893758] 0003 0036 000004f4
2022-04-02 17:37:49.765767 True [  158592.902714] 0003 0036 000004f3
2022-04-02 17:37:49.765767 True [  158592.910652] 0003 0036 000004f2
2022-04-02 17:37:49.765767 True [  158592.918015] 0003 0035 00000500
2022-04-02 17:37:49.765767 True [  158592.918015] 0003 0036 000004f1
2022-04-02 17:37:49.778249 True [  158592.926420] 0003 0036 000004f0
2022-04-02 17:37:49.788535 True [  158592.942808] 0003 0036 000004ef
2022-04-02 17:37:49.815953 True [  158592.951315] 0003 0035 00000501
2022-04-02 17:37:49.830334 True [  158592.960831] 0003 0036 000004ec
2022-04-02 17:37:49.830334 True [  158592.968772] 0003 0035 00000502
2022-04-02 17:37:49.830334 True [  158592.968772] 0003 0036 000004ea
2022-04-02 17:37:49.830334 True [  158592.976160] 0003 0036 000004e9
2022-04-02 17:37:49.840312 True [  158592.984519] 0003 0036 000004e7
2022-04-02 17:37:49.844275 True [  158592.992868] 0003 0036 000004e5
2022-04-02 17:37:49.869426 True [  158593.009307] 0003 0036 000004e4
2022-04-02 17:37:49.873283 True [  158593.018939] 0003 0036 000004e3
2022-04-02 17:37:49.897971 True [  158593.034509] 0003 0036 000004e1
2022-04-02 17:37:49.923582 True [  158593.043039] 0003 0036 000004e0
2022-04-02 17:37:49.923582 True [  158593.050995] 0003 0035 00000503
2022-04-02 17:37:49.923582 True [  158593.050995] 0003 0036 000004df
2022-04-02 17:37:49.927179 True [  158593.059245] 0003 0036 000004de
2022-04-02 17:37:49.927179 True [  158593.068000] 0003 0036 000004dc
2022-04-02 17:37:49.927179 True [  158593.076701] 0003 0035 00000504
2022-04-02 17:37:49.927179 True [  158593.076701] 0003 0036 000004da
2022-04-02 17:37:49.977500 True [  158593.092543] 0003 0036 000004d6
2022-04-02 17:37:50.030304 True [  158593.103661] 0003 0035 00000505
