Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:59.587957 False [   17628.920389] 0003 0035 00000385
2022-04-07 18:34:59.587957 False [   17628.920389] 0003 0036 000008fe
2022-04-07 18:34:59.595036 False [   17628.928680] 0003 0035 00000370
2022-04-07 18:34:59.596747 False [   17628.928680] 0003 0036 000008fb
2022-04-07 18:34:59.604612 False [   17628.936860] 0003 0035 0000035c
2022-04-07 18:34:59.604612 False [   17628.936860] 0003 0036 000008f9
2022-04-07 18:34:59.612502 False [   17628.945340] 0003 0035 00000349
2022-04-07 18:34:59.612502 False [   17628.945340] 0003 0036 000008f7
2022-04-07 18:34:59.622476 False [   17628.953557] 0003 0035 00000337
2022-04-07 18:34:59.622476 False [   17628.953557] 0003 0036 000008f5
2022-04-07 18:34:59.631040 False [   17628.962028] 0003 0035 00000325
2022-04-07 18:34:59.631040 False [   17628.962028] 0003 0036 000008f4
2022-04-07 18:34:59.638058 False [   17628.970138] 0003 0035 00000314
2022-04-07 18:34:59.638058 False [   17628.970138] 0003 0036 000008f0
2022-04-07 18:34:59.647094 False [   17628.978647] 0003 0035 00000302
2022-04-07 18:34:59.647094 False [   17628.978647] 0003 0036 000008ee
2022-04-07 18:34:59.654364 False [   17628.986796] 0003 0035 000002f0
2022-04-07 18:34:59.654364 False [   17628.986796] 0003 0036 000008eb
2022-04-07 18:34:59.662589 False [   17628.995193] 0003 0035 000002dc
2022-04-07 18:34:59.662589 False [   17628.995193] 0003 0036 000008e7
2022-04-07 18:34:59.671127 False [   17629.003409] 0003 0035 000002ca
2022-04-07 18:34:59.671127 False [   17629.003409] 0003 0036 000008e5
2022-04-07 18:34:59.677822 False [   17629.011869] 0003 0035 000002ba
2022-04-07 18:34:59.677822 False [   17629.011869] 0003 0036 000008e2
2022-04-07 18:34:59.687098 False [   17629.020182] 0003 0035 000002aa
2022-04-07 18:34:59.687098 False [   17629.020182] 0003 0036 000008df
2022-04-07 18:34:59.694622 False [   17629.028568] 0003 0035 00000299
2022-04-07 18:34:59.694622 False [   17629.028568] 0003 0036 000008de
2022-04-07 18:34:59.704845 False [   17629.036713] 0003 0035 00000289
2022-04-07 18:34:59.704845 False [   17629.036713] 0003 0036 000008db
2022-04-07 18:34:59.712447 False [   17629.045091] 0003 0035 00000278
2022-04-07 18:34:59.712447 False [   17629.045091] 0003 0036 000008d9
2022-04-07 18:34:59.721630 False [   17629.053289] 0003 0035 00000268
2022-04-07 18:34:59.721630 False [   17629.053289] 0003 0036 000008d7
2022-04-07 18:34:59.730176 False [   17629.061668] 0003 0035 00000257
