Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:37.462208 False [   17846.790647] 0003 0036 00000775
2022-04-07 18:38:37.469756 False [   17846.798820] 0003 0035 00000540
2022-04-07 18:38:37.469756 False [   17846.798820] 0003 0036 00000780
2022-04-07 18:38:37.478371 False [   17846.807280] 0003 0035 0000053f
2022-04-07 18:38:37.478371 False [   17846.807280] 0003 0036 0000078c
2022-04-07 18:38:37.487205 False [   17846.815426] 0003 0036 00000796
2022-04-07 18:38:37.495808 False [   17846.823894] 0003 0036 0000079f
2022-04-07 18:38:37.502647 False [   17846.832099] 0003 0036 000007aa
2022-04-07 18:38:37.511151 False [   17846.840672] 0003 0035 0000053e
2022-04-07 18:38:37.511151 False [   17846.840672] 0003 0036 000007b5
2022-04-07 18:38:37.519931 False [   17846.848706] 0003 0036 000007c0
2022-04-07 18:38:37.528082 False [   17846.857169] 0003 0035 0000053f
2022-04-07 18:38:37.528082 False [   17846.857169] 0003 0036 000007cb
2022-04-07 18:38:37.535730 False [   17846.865377] 0003 0036 000007d5
2022-04-07 18:38:37.544557 False [   17846.873752] 0003 0035 00000540
2022-04-07 18:38:37.544557 False [   17846.873752] 0003 0036 000007e0
2022-04-07 18:38:37.554050 False [   17846.881908] 0003 0035 00000541
2022-04-07 18:38:37.554050 False [   17846.881908] 0003 0036 000007ec
2022-04-07 18:38:37.561986 False [   17846.890381] 0003 0035 00000542
2022-04-07 18:38:37.561986 False [   17846.890381] 0003 0036 000007f7
2022-04-07 18:38:37.571638 False [   17846.898570] 0003 0035 00000544
2022-04-07 18:38:37.571638 False [   17846.898570] 0003 0036 00000803
2022-04-07 18:38:37.576932 False [   17846.907001] 0003 0035 00000545
2022-04-07 18:38:37.576932 False [   17846.907001] 0003 0036 0000080d
2022-04-07 18:38:37.586602 False [   17846.915200] 0003 0035 00000546
2022-04-07 18:38:37.586602 False [   17846.915200] 0003 0036 00000818
2022-04-07 18:38:37.594961 False [   17846.923611] 0003 0035 00000547
2022-04-07 18:38:37.594961 False [   17846.923611] 0003 0036 00000822
2022-04-07 18:38:37.602238 False [   17846.931821] 0003 0035 00000548
2022-04-07 18:38:37.602238 False [   17846.931821] 0003 0036 0000082c
2022-04-07 18:38:37.612885 False [   17846.940462] 0003 0035 00000549
2022-04-07 18:38:37.612885 False [   17846.940462] 0003 0036 00000835
2022-04-07 18:38:37.620610 False [   17846.948408] 0003 0035 0000054a
2022-04-07 18:38:37.620610 False [   17846.948408] 0003 0036 0000083e
2022-04-07 18:38:37.629332 False [   17846.956895] 0003 0035 0000054b
2022-04-07 18:38:37.629332 False [   17846.956895] 0003 0036 00000848
2022-04-07 18:38:37.635644 False [   17846.965084] 0003 0035 0000054c
2022-04-07 18:38:37.635644 False [   17846.965084] 0003 0036 00000851
2022-04-07 18:38:37.643927 False [   17846.973459] 0003 0035 0000054d
2022-04-07 18:38:37.643927 False [   17846.973459] 0003 0036 0000085a
2022-04-07 18:38:37.650909 False [   17846.981695] 0003 0036 00000863
2022-04-07 18:38:37.661503 False [   17846.990095] 0003 0035 0000054e
2022-04-07 18:38:37.661503 False [   17846.990095] 0003 0036 0000086c
2022-04-07 18:38:37.669837 False [   17846.998274] 0003 0035 0000054f
2022-04-07 18:38:37.669837 False [   17846.998274] 0003 0036 00000874
2022-04-07 18:38:37.677079 False [   17847.006704] 0003 0036 0000087c
2022-04-07 18:38:37.684782 False [   17847.014900] 0003 0035 00000550
