Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.797586936569851 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:17:13.881814 False [   18810.967101] 0003 0035 00000039
2022-03-16 15:17:13.881814 False [   18810.967101] 0003 0036 000002b0
2022-03-16 15:17:13.897491 False [   18810.983874] 0003 0035 00000035
2022-03-16 15:17:13.897491 False [   18810.983874] 0003 0036 000002b0
2022-03-16 15:17:13.913539 False [   18811.000834] 0003 0035 00000035
2022-03-16 15:17:13.913539 False [   18811.000834] 0003 0036 000002b0
2022-03-16 15:17:13.931581 False [   18811.018152] 0003 0035 00000031
2022-03-16 15:17:13.931581 False [   18811.018152] 0003 0036 000002b0
2022-03-16 15:17:13.947890 False [   18811.035069] 0003 0035 00000031
2022-03-16 15:17:13.947890 False [   18811.035069] 0003 0036 000002b0
2022-03-16 15:17:13.964695 False [   18811.051393] 0003 0035 0000002c
2022-03-16 15:17:13.964695 False [   18811.051393] 0003 0036 000002b0
2022-03-16 15:17:13.984082 False [   18811.068545] 0003 0035 0000002c
2022-03-16 15:17:13.984082 False [   18811.068545] 0003 0036 000002b0
2022-03-16 15:17:14.000531 False [   18811.085901] 0003 0035 0000002c
2022-03-16 15:17:14.000531 False [   18811.085901] 0003 0036 000002b0
2022-03-16 15:17:14.016618 False [   18811.102939] 0003 0035 00000028
2022-03-16 15:17:14.016618 False [   18811.102939] 0003 0036 000002ae
2022-03-16 15:17:14.032605 False [   18811.119397] 0003 0035 00000028
2022-03-16 15:17:14.032605 False [   18811.119397] 0003 0036 000002ae
2022-03-16 15:17:14.049317 False [   18811.136489] 0003 0035 00000028
2022-03-16 15:17:14.050317 False [   18811.136489] 0003 0036 000002ae
2022-03-16 15:17:14.066262 False [   18811.153408] 0003 0035 00000028
2022-03-16 15:17:14.066262 False [   18811.153408] 0003 0036 000002ae
2022-03-16 15:17:14.083713 False [   18811.170967] 0003 0035 00000028
2022-03-16 15:17:14.083713 False [   18811.170967] 0003 0036 000002ae
2022-03-16 15:17:14.099354 False [   18811.186893] 0003 0035 00000028
2022-03-16 15:17:14.099354 False [   18811.186893] 0003 0036 000002ae
2022-03-16 15:17:14.117279 False [   18811.203824] 0003 0035 00000028
2022-03-16 15:17:14.117279 False [   18811.203824] 0003 0036 000002ae
2022-03-16 15:17:14.134355 False [   18811.221259] 0003 0035 00000028
2022-03-16 15:17:14.134355 False [   18811.221259] 0003 0036 000002ae
2022-03-16 15:17:14.153749 False [   18811.238077] 0003 0035 00000028
2022-03-16 15:17:14.153749 False [   18811.238077] 0003 0036 000002ae
2022-03-16 15:17:14.168280 False [   18811.254622] 0003 0035 0000002c
2022-03-16 15:17:14.168280 False [   18811.254622] 0003 0036 000002ae
2022-03-16 15:17:14.187496 False [   18811.271575] 0003 0035 00000037
2022-03-16 15:17:14.187496 False [   18811.271575] 0003 0036 000002ae
2022-03-16 15:17:14.201108 False [   18811.288938] 0003 0035 00000044
2022-03-16 15:17:14.202106 False [   18811.288938] 0003 0036 000002ae
2022-03-16 15:17:14.220056 False [   18811.305578] 0003 0035 00000052
2022-03-16 15:17:14.220056 False [   18811.305578] 0003 0036 000002b0
2022-03-16 15:17:14.235962 False [   18811.322814] 0003 0035 0000005f
2022-03-16 15:17:14.235962 False [   18811.322814] 0003 0036 000002b3
2022-03-16 15:17:14.253088 False [   18811.340143] 0003 0035 00000069
2022-03-16 15:17:14.253088 False [   18811.340143] 0003 0036 000002b6
2022-03-16 15:17:14.269055 False [   18811.356484] 0003 0035 00000071
2022-03-16 15:17:14.269055 False [   18811.356484] 0003 0036 000002b8
2022-03-16 15:17:14.290967 False [   18811.373947] 0003 0035 00000078
2022-03-16 15:17:14.290967 False [   18811.373947] 0003 0036 000002ba
2022-03-16 15:17:14.304349 False [   18811.390487] 0003 0035 0000007d
2022-03-16 15:17:14.304349 False [   18811.390487] 0003 0036 000002bc
2022-03-16 15:17:14.322316 False [   18811.407082] 0003 0035 00000081
2022-03-16 15:17:14.322316 False [   18811.407082] 0003 0036 000002be
2022-03-16 15:17:14.339082 False [   18811.424668] 0003 0035 00000081
2022-03-16 15:17:14.339082 False [   18811.424668] 0003 0036 000002be
2022-03-16 15:17:14.356222 False [   18811.441712] 0003 0035 00000081
2022-03-16 15:17:14.358284 False [   18811.441712] 0003 0036 000002be
2022-03-16 15:17:14.372788 False [   18811.457946] 0003 0035 00000081
2022-03-16 15:17:14.372788 False [   18811.457946] 0003 0036 000002be
2022-03-16 15:17:14.389722 False [   18811.474824] 0003 0035 00000081
2022-03-16 15:17:14.389722 False [   18811.474824] 0003 0036 000002be
2022-03-16 15:17:14.405243 False [   18811.492404] 0003 0035 00000081
2022-03-16 15:17:14.405243 False [   18811.492404] 0003 0036 000002be
2022-03-16 15:17:14.421438 False [   18811.508767] 0003 0035 00000081
2022-03-16 15:17:14.421438 False [   18811.508767] 0003 0036 000002be
2022-03-16 15:17:14.439972 False [   18811.526206] 0003 0035 0000007d
2022-03-16 15:17:14.439972 False [   18811.526206] 0003 0036 000002be
2022-03-16 15:17:14.457337 False [   18811.543388] 0003 0035 00000070
2022-03-16 15:17:14.457337 False [   18811.543388] 0003 0036 000002ba
2022-03-16 15:17:14.472005 False [   18811.559679] 0003 0035 0000005d
2022-03-16 15:17:14.473009 False [   18811.559679] 0003 0036 000002b5
2022-03-16 15:17:14.491059 False [   18811.576994] 0003 0035 0000004a
