Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1731876586609449 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 15:03:14.774431 True [    2928.302413] 0003 0035 00000353
2022-04-06 15:03:14.774431 True [    2928.302413] 0003 0036 0000042b
2022-04-06 15:03:14.783828 True [    2928.310845] 0003 0035 00000352
2022-04-06 15:03:14.783828 True [    2928.310845] 0003 0036 00000429
2022-04-06 15:03:14.793169 True [    2928.319001] 0003 0035 00000354
2022-04-06 15:03:14.793169 True [    2928.319001] 0003 0036 00000428
2022-04-06 15:03:14.797547 True [    2928.327447] 0003 0035 00000355
2022-04-06 15:03:14.797547 True [    2928.327447] 0003 0036 00000426
2022-04-06 15:03:14.806594 True [    2928.335593] 0003 0035 00000359
2022-04-06 15:03:14.806594 True [    2928.335593] 0003 0036 00000424
2022-04-06 15:03:14.813106 True [    2928.344059] 0003 0035 0000035d
2022-04-06 15:03:14.813106 True [    2928.344059] 0003 0036 00000422
2022-04-06 15:03:14.823979 True [    2928.352319] 0003 0035 00000366
2022-04-06 15:03:14.823979 True [    2928.352319] 0003 0036 0000041f
2022-04-06 15:03:14.832830 True [    2928.360800] 0003 0035 0000036e
2022-04-06 15:03:14.832830 True [    2928.360800] 0003 0036 0000041d
2022-04-06 15:03:14.839655 True [    2928.368831] 0003 0035 0000037b
2022-04-06 15:03:14.839655 True [    2928.368831] 0003 0036 0000041a
2022-04-06 15:03:14.849251 True [    2928.377295] 0003 0035 00000388
2022-04-06 15:03:14.849251 True [    2928.377295] 0003 0036 00000419
2022-04-06 15:03:14.857542 True [    2928.385500] 0003 0035 00000395
2022-04-06 15:03:14.857542 True [    2928.385500] 0003 0036 00000418
2022-04-06 15:03:14.863291 True [    2928.393929] 0003 0035 000003a0
2022-04-06 15:03:14.863291 True [    2928.393929] 0003 0036 00000417
2022-04-06 15:03:14.874461 True [    2928.402087] 0003 0035 000003aa
2022-04-06 15:03:14.881650 True [    2928.410522] 0003 0035 000003b4
2022-04-06 15:03:14.891571 True [    2928.418691] 0003 0035 000003bb
2022-04-06 15:03:14.891571 True [    2928.418691] 0003 0036 00000418
2022-04-06 15:03:14.899831 True [    2928.427186] 0003 0035 000003c5
2022-04-06 15:03:14.899831 True [    2928.427186] 0003 0036 00000419
2022-04-06 15:03:14.907704 True [    2928.435356] 0003 0035 000003cc
2022-04-06 15:03:14.907704 True [    2928.435356] 0003 0036 0000041a
2022-04-06 15:03:14.916331 True [    2928.443771] 0003 0035 000003d7
2022-04-06 15:03:14.916331 True [    2928.443771] 0003 0036 0000041d
2022-04-06 15:03:14.921859 True [    2928.451957] 0003 0035 000003de
2022-04-06 15:03:14.921859 True [    2928.451957] 0003 0036 0000041f
2022-04-06 15:03:14.933034 True [    2928.460437] 0003 0035 000003e6
2022-04-06 15:03:14.933034 True [    2928.460437] 0003 0036 00000423
2022-04-06 15:03:14.941713 True [    2928.468675] 0003 0035 000003eb
2022-04-06 15:03:14.941713 True [    2928.468675] 0003 0036 00000426
2022-04-06 15:03:14.946631 True [    2928.477011] 0003 0035 000003ef
2022-04-06 15:03:14.946631 True [    2928.477011] 0003 0036 00000429
2022-04-06 15:03:14.957357 True [    2928.485289] 0003 0035 000003f3
2022-04-06 15:03:14.957357 True [    2928.485289] 0003 0036 0000042b
2022-04-06 15:03:14.963299 True [    2928.493639] 0003 0035 000003f6
2022-04-06 15:03:14.963299 True [    2928.493639] 0003 0036 0000042d
2022-04-06 15:03:14.974088 True [    2928.501800] 0003 0035 000003fa
2022-04-06 15:03:14.974088 True [    2928.501800] 0003 0036 00000430
2022-04-06 15:03:14.982660 True [    2928.510253] 0003 0035 000003fd
2022-04-06 15:03:14.982660 True [    2928.510253] 0003 0036 00000433
2022-04-06 15:03:14.991610 True [    2928.518417] 0003 0035 00000401
