Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:33.586961 False [  145607.489855] 0003 0035 0000019e
2022-04-02 14:01:33.586961 False [  145607.489855] 0003 0036 00000227
2022-04-02 14:01:33.594937 False [  145607.498213] 0003 0035 0000019f
2022-04-02 14:01:33.594937 False [  145607.498213] 0003 0036 00000229
2022-04-02 14:01:33.602412 False [  145607.506498] 0003 0035 000001a0
2022-04-02 14:01:33.602412 False [  145607.506498] 0003 0036 0000022a
2022-04-02 14:01:33.612231 False [  145607.514895] 0003 0035 000001a1
2022-04-02 14:01:33.612231 False [  145607.514895] 0003 0036 0000022c
2022-04-02 14:01:33.620117 False [  145607.523073] 0003 0035 000001a2
2022-04-02 14:01:33.620117 False [  145607.523073] 0003 0036 0000022e
2022-04-02 14:01:33.627252 False [  145607.531553] 0003 0035 000001a3
2022-04-02 14:01:33.627252 False [  145607.531553] 0003 0036 00000230
2022-04-02 14:01:33.635140 False [  145607.539679] 0003 0035 000001a4
2022-04-02 14:01:33.635140 False [  145607.539679] 0003 0036 00000232
2022-04-02 14:01:33.644217 False [  145607.548098] 0003 0035 000001a5
2022-04-02 14:01:33.644217 False [  145607.548098] 0003 0036 00000234
2022-04-02 14:01:33.651162 False [  145607.556310] 0003 0035 000001a6
2022-04-02 14:01:33.651162 False [  145607.556310] 0003 0036 00000236
2022-04-02 14:01:33.660384 False [  145607.564737] 0003 0035 000001a7
2022-04-02 14:01:33.660384 False [  145607.564737] 0003 0036 00000238
2022-04-02 14:01:33.669958 False [  145607.572890] 0003 0035 000001a8
2022-04-02 14:01:33.669958 False [  145607.572890] 0003 0036 00000239
2022-04-02 14:01:33.676958 False [  145607.581390] 0003 0036 0000023b
2022-04-02 14:01:33.685085 False [  145607.589552] 0003 0035 000001a9
2022-04-02 14:01:33.685085 False [  145607.589552] 0003 0036 0000023e
2022-04-02 14:01:33.695755 False [  145607.598042] 0003 0035 000001ab
2022-04-02 14:01:33.695755 False [  145607.598042] 0003 0036 0000023f
2022-04-02 14:01:33.702538 False [  145607.606288] 0003 0035 000001ac
2022-04-02 14:01:33.702538 False [  145607.606288] 0003 0036 00000241
2022-04-02 14:01:33.712885 False [  145607.614718] 0003 0036 00000244
2022-04-02 14:01:33.720037 False [  145607.622830] 0003 0035 000001ad
2022-04-02 14:01:33.720037 False [  145607.622830] 0003 0036 00000246
2022-04-02 14:01:33.728825 False [  145607.631321] 0003 0035 000001ae
2022-04-02 14:01:33.728825 False [  145607.631321] 0003 0036 00000248
2022-04-02 14:01:33.735985 False [  145607.639394] 0003 0035 000001af
2022-04-02 14:01:33.735985 False [  145607.639394] 0003 0036 0000024a
