Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:22.810625 True [  158745.857666] 0003 0036 000004f7
2022-04-02 17:40:22.810625 True [  158745.866969] 0003 0035 00000528
2022-04-02 17:40:22.810625 True [  158745.866969] 0003 0036 000004f5
2022-04-02 17:40:22.810625 True [  158745.876271] 0003 0035 00000527
2022-04-02 17:40:22.810625 True [  158745.876271] 0003 0036 000004f3
2022-04-02 17:40:22.810625 True [  158745.885537] 0003 0035 00000526
2022-04-02 17:40:22.810625 True [  158745.885537] 0003 0036 000004f0
2022-04-02 17:40:22.810625 True [  158745.892718] 0003 0036 000004ef
2022-04-02 17:40:22.810625 True [  158745.902398] 0003 0035 00000525
2022-04-02 17:40:22.810625 True [  158745.902398] 0003 0036 000004ec
2022-04-02 17:40:22.810625 True [  158745.910867] 0003 0036 000004ea
2022-04-02 17:40:22.874008 True [  158745.921408] 0003 0036 000004e9
2022-04-02 17:40:22.874008 True [  158745.929145] 0003 0036 000004e8
2022-04-02 17:40:22.874008 True [  158745.939491] 0003 0036 000004e7
2022-04-02 17:40:22.874008 True [  158745.949230] 0003 0036 000004e6
2022-04-02 17:40:22.874008 True [  158745.957656] 0003 0036 000004e4
2022-04-02 17:40:22.898970 True [  158745.967253] 0003 0035 00000524
2022-04-02 17:40:22.898970 True [  158745.967253] 0003 0036 000004e3
2022-04-02 17:40:22.898970 True [  158745.974176] 0003 0036 000004e2
2022-04-02 17:40:22.898970 True [  158745.981482] 0003 0036 000004e1
2022-04-02 17:40:22.898970 True [  158745.992075] 0003 0036 000004df
2022-04-02 17:40:22.898970 True [  158745.998754] 0003 0035 00000522
2022-04-02 17:40:22.898970 True [  158745.998754] 0003 0036 000004db
2022-04-02 17:40:22.898970 True [  158746.006261] 0003 0035 0000051f
2022-04-02 17:40:22.898970 True [  158746.006261] 0003 0036 000004d8
2022-04-02 17:40:22.898970 True [  158746.014760] 0003 0035 0000051e
2022-04-02 17:40:22.898970 True [  158746.014760] 0003 0036 000004d4
2022-04-02 17:40:22.898970 True [  158746.023589] 0003 0035 0000051d
2022-04-02 17:40:22.898970 True [  158746.023589] 0003 0036 000004d1
2022-04-02 17:40:22.916353 True [  158746.031444] 0003 0035 0000051c
2022-04-02 17:40:22.916353 True [  158746.031444] 0003 0036 000004cf
2022-04-02 17:40:22.916353 True [  158746.039568] 0003 0036 000004cc
2022-04-02 17:40:22.916353 True [  158746.049071] 0003 0035 0000051b
2022-04-02 17:40:22.916353 True [  158746.049071] 0003 0036 000004ca
2022-04-02 17:40:22.916353 True [  158746.056145] 0003 0036 000004c9
2022-04-02 17:40:22.943464 True [  158746.064643] 0003 0036 000004c7
2022-04-02 17:40:22.943464 True [  158746.073629] 0003 0036 000004c6
2022-04-02 17:40:22.948394 True [  158746.081191] 0003 0036 000004c5
2022-04-02 17:40:22.948394 True [  158746.091499] 0003 0035 0000051a
2022-04-02 17:40:22.948394 True [  158746.091499] 0003 0036 000004c4
2022-04-02 17:40:22.973516 True [  158746.106138] 0003 0035 0000051b
2022-04-02 17:40:22.973516 True [  158746.106138] 0003 0036 000004c3
2022-04-02 17:40:22.978430 True [  158746.114522] 0003 0036 000004c1
2022-04-02 17:40:22.978430 True [  158746.124549] 0003 0035 0000051c
2022-04-02 17:40:22.978430 True [  158746.124549] 0003 0036 000004bf
2022-04-02 17:40:23.016827 True [  158746.139142] 0003 0035 0000051d
2022-04-02 17:40:23.016827 True [  158746.139142] 0003 0036 000004bd
2022-04-02 17:40:23.021616 True [  158746.147668] 0003 0036 000004bc
2022-04-02 17:40:23.021616 True [  158746.157740] 0003 0036 000004ba
2022-04-02 17:40:23.021616 True [  158746.166424] 0003 0035 0000051e
2022-04-02 17:40:23.021616 True [  158746.166424] 0003 0036 000004b9
2022-04-02 17:40:23.064351 True [  158746.180945] 0003 0036 000004b8
2022-04-02 17:40:23.114797 True [  158746.192078] 0003 0036 000004b7
2022-04-02 17:40:23.114797 True [  158746.203113] 0003 0036 000004b6
