Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:28.239968 False [   34885.269018] 0003 0035 000000c1
2022-03-16 19:39:28.248185 False [   34885.277288] 0003 0035 000005b8
2022-03-16 19:39:28.248185 False [   34885.277288] 0003 0035 000000c0
2022-03-16 19:39:28.256457 False [   34885.285651] 0003 0035 000005b9
2022-03-16 19:39:28.264482 False [   34885.293848] 0003 0035 000005ba
2022-03-16 19:39:28.264482 False [   34885.293848] 0003 0035 000000bf
2022-03-16 19:39:28.274101 False [   34885.302963] 0003 0035 000005bb
2022-03-16 19:39:28.274101 False [   34885.302963] 0003 0035 000000bd
2022-03-16 19:39:28.281449 False [   34885.310832] 0003 0035 000000bc
2022-03-16 19:39:28.289990 False [   34885.319119] 0003 0035 000005bc
2022-03-16 19:39:28.289990 False [   34885.319119] 0003 0035 000000ba
2022-03-16 19:39:28.298348 False [   34885.327345] 0003 0035 000005bd
2022-03-16 19:39:28.298348 False [   34885.327345] 0003 0035 000000b9
2022-03-16 19:39:28.307322 False [   34885.335576] 0003 0035 000005be
2022-03-16 19:39:28.307322 False [   34885.335576] 0003 0035 000000b8
2022-03-16 19:39:28.315303 False [   34885.343732] 0003 0035 000005bf
2022-03-16 19:39:28.315303 False [   34885.343732] 0003 0035 000000b7
2022-03-16 19:39:28.324069 False [   34885.352307] 0003 0035 000005c0
2022-03-16 19:39:28.324069 False [   34885.352307] 0003 0035 000000b6
2022-03-16 19:39:28.331346 False [   34885.360728] 0003 0035 000005c1
2022-03-16 19:39:28.331346 False [   34885.360728] 0003 0035 000000b5
2022-03-16 19:39:28.341308 False [   34885.368754] 0003 0035 000005c2
2022-03-16 19:39:28.341308 False [   34885.368754] 0003 0035 000000b4
2022-03-16 19:39:28.347038 False [   34885.376960] 0003 0035 000005c3
2022-03-16 19:39:28.347038 False [   34885.376960] 0003 0035 000000b3
2022-03-16 19:39:28.355259 False [   34885.385382] 0003 0035 000005c4
2022-03-16 19:39:28.355259 False [   34885.385382] 0003 0035 000000b2
2022-03-16 19:39:28.363872 False [   34885.393595] 0003 0035 000005c6
2022-03-16 19:39:28.371366 False [   34885.402298] 0003 0035 000000b0
2022-03-16 19:39:28.379956 False [   34885.410158] 0003 0035 000005c8
2022-03-16 19:39:28.380940 False [   34885.410158] 0003 0035 000000af
2022-03-16 19:39:28.388958 False [   34885.418910] 0003 0035 000005ca
2022-03-16 19:39:28.389955 False [   34885.418910] 0003 0035 000000ae
2022-03-16 19:39:28.396944 False [   34885.426867] 0003 0035 000005cb
2022-03-16 19:39:28.396944 False [   34885.426867] 0003 0035 000000ac
2022-03-16 19:39:28.405729 False [   34885.435233] 0003 0035 000005cc
2022-03-16 19:39:28.405729 False [   34885.435233] 0003 0035 000000ab
2022-03-16 19:39:28.416480 False [   34885.443440] 0003 0035 000005cd
2022-03-16 19:39:28.416480 False [   34885.443440] 0003 0035 000000aa
2022-03-16 19:39:28.422719 False [   34885.451827] 0003 0035 000005cf
2022-03-16 19:39:28.422719 False [   34885.451827] 0003 0035 000000a9
2022-03-16 19:39:28.428708 False [   34885.460283] 0003 0035 000005d0
2022-03-16 19:39:28.428708 False [   34885.460283] 0003 0035 000000a7
2022-03-16 19:39:28.439956 False [   34885.468735] 0003 0035 000005d1
2022-03-16 19:39:28.439956 False [   34885.468735] 0003 0035 000000a6
