Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:03.847379 True [    2797.375799] 0003 0036 000003a0
2022-04-06 15:01:03.853051 True [    2797.384196] 0003 0035 0000038b
2022-04-06 15:01:03.853051 True [    2797.384196] 0003 0036 0000039f
2022-04-06 15:01:03.861759 True [    2797.392457] 0003 0035 00000392
2022-04-06 15:01:03.861759 True [    2797.392457] 0003 0036 0000039a
2022-04-06 15:01:03.870561 True [    2797.400927] 0003 0035 00000399
2022-04-06 15:01:03.870561 True [    2797.400927] 0003 0036 00000395
2022-04-06 15:01:03.887325 True [    2797.417465] 0003 0035 0000039e
2022-04-06 15:01:03.887325 True [    2797.417465] 0003 0036 00000392
2022-04-06 15:01:03.895471 True [    2797.425672] 0003 0035 000003a1
2022-04-06 15:01:03.895471 True [    2797.425672] 0003 0036 00000390
2022-04-06 15:01:03.903272 True [    2797.434092] 0003 0035 000003ab
2022-04-06 15:01:03.903272 True [    2797.434092] 0003 0036 0000038a
2022-04-06 15:01:03.912735 True [    2797.442291] 0003 0035 000003b2
2022-04-06 15:01:03.912735 True [    2797.442291] 0003 0036 00000386
2022-04-06 15:01:03.919054 True [    2797.450673] 0003 0035 000003b9
2022-04-06 15:01:03.919054 False [    2797.450673] 0003 0036 00000383
2022-04-06 15:01:03.929570 False [    2797.458965] 0003 0035 000003be
2022-04-06 15:01:03.929570 False [    2797.458965] 0003 0036 00000380
2022-04-06 15:01:03.936631 False [    2797.467335] 0003 0035 000003c3
2022-04-06 15:01:03.936631 False [    2797.467335] 0003 0036 0000037e
2022-04-06 15:01:03.944563 False [    2797.475512] 0003 0035 000003c7
2022-04-06 15:01:03.944563 False [    2797.475512] 0003 0036 0000037c
2022-04-06 15:01:03.955207 False [    2797.483909] 0003 0035 000003cb
2022-04-06 15:01:03.955207 False [    2797.483909] 0003 0036 0000037a
2022-04-06 15:01:03.962172 False [    2797.492157] 0003 0035 000003cf
2022-04-06 15:01:03.962172 False [    2797.492157] 0003 0036 00000379
2022-04-06 15:01:03.969195 False [    2797.500684] 0003 0035 000003d2
2022-04-06 15:01:03.969195 False [    2797.500684] 0003 0036 00000377
2022-04-06 15:01:03.977293 False [    2797.508765] 0003 0035 000003d5
2022-04-06 15:01:03.977293 False [    2797.508765] 0003 0036 00000376
2022-04-06 15:01:03.987497 False [    2797.517140] 0003 0035 000003d6
2022-04-06 15:01:03.987497 False [    2797.517140] 0003 0036 00000375
2022-04-06 15:01:04.003753 False [    2797.533706] 0003 0036 00000374
2022-04-06 15:01:04.012025 False [    2797.541979] 0003 0035 000003d7
2022-04-06 15:01:04.021340 False [    2797.550411] 0003 0035 000003d8
2022-04-06 15:01:04.027929 False [    2797.558626] 0003 0036 00000373
2022-04-06 15:01:04.038491 False [    2797.567035] 0003 0035 000003d9
2022-04-06 15:01:04.043605 False [    2797.575238] 0003 0036 00000372
2022-04-06 15:01:04.053130 False [    2797.583635] 0003 0035 000003da
2022-04-06 15:01:04.053130 False [    2797.583635] 0003 0036 00000371
2022-04-06 15:01:04.069787 False [    2797.600505] 0003 0035 000003db
2022-04-06 15:01:04.069787 False [    2797.600505] 0003 0036 00000370
2022-04-06 15:01:04.077872 False [    2797.608534] 0003 0035 000003dc
