Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:44.314098 False [   17913.641684] 0003 0035 00000566
2022-04-07 18:39:44.314098 False [   17913.641684] 0003 0036 00000924
2022-04-07 18:39:44.322806 False [   17913.651178] 0003 0035 00000563
2022-04-07 18:39:44.322806 False [   17913.651178] 0003 0036 0000092a
2022-04-07 18:39:44.330455 False [   17913.658149] 0003 0035 00000561
2022-04-07 18:39:44.330455 False [   17913.658149] 0003 0036 0000092f
2022-04-07 18:39:44.339052 False [   17913.667782] 0003 0035 0000055f
2022-04-07 18:39:44.339052 False [   17913.667782] 0003 0036 00000933
2022-04-07 18:39:44.347074 False [   17913.674996] 0003 0035 0000055c
2022-04-07 18:39:44.347074 False [   17913.674996] 0003 0036 00000939
2022-04-07 18:39:44.356656 False [   17913.684499] 0003 0035 0000055b
2022-04-07 18:39:44.357655 False [   17913.684499] 0003 0036 0000093d
2022-04-07 18:39:44.361650 False [   17913.691317] 0003 0035 00000559
2022-04-07 18:39:44.361650 False [   17913.691317] 0003 0036 00000940
2022-04-07 18:39:44.372533 False [   17913.699983] 0003 0035 00000557
2022-04-07 18:39:44.372533 False [   17913.699983] 0003 0036 00000945
2022-04-07 18:39:44.380138 False [   17913.707953] 0003 0035 00000556
2022-04-07 18:39:44.380138 False [   17913.707953] 0003 0036 00000948
2022-04-07 18:39:44.388874 False [   17913.716648] 0003 0035 00000554
2022-04-07 18:39:44.388874 False [   17913.716648] 0003 0036 0000094a
2022-04-07 18:39:44.396407 False [   17913.724628] 0003 0036 0000094e
2022-04-07 18:39:44.404676 False [   17913.733000] 0003 0035 00000552
2022-04-07 18:39:44.404676 False [   17913.733000] 0003 0036 00000950
2022-04-07 18:39:44.414248 False [   17913.741163] 0003 0035 00000551
2022-04-07 18:39:44.414248 False [   17913.741163] 0003 0036 00000953
2022-04-07 18:39:44.421350 False [   17913.750852] 0003 0035 00000550
2022-04-07 18:39:44.421350 False [   17913.750852] 0003 0036 00000955
2022-04-07 18:39:44.429707 False [   17913.757787] 0003 0036 00000957
2022-04-07 18:39:44.437937 False [   17913.767527] 0003 0036 0000095a
2022-04-07 18:39:44.449566 False [   17913.774602] 0003 0035 0000054f
2022-04-07 18:39:44.449566 False [   17913.774602] 0003 0036 0000095b
2022-04-07 18:39:44.455400 False [   17913.782940] 0003 0036 0000095d
2022-04-07 18:39:44.464554 False [   17913.791013] 0003 0036 00000960
2022-04-07 18:39:44.470082 False [   17913.799595] 0003 0036 00000963
2022-04-07 18:39:44.482169 False [   17913.807654] 0003 0036 00000964
2022-04-07 18:39:44.488492 False [   17913.816303] 0003 0036 00000966
2022-04-07 18:39:44.496371 False [   17913.824295] 0003 0036 00000968
2022-04-07 18:39:44.504715 False [   17913.833993] 0003 0036 0000096b
2022-04-07 18:39:44.512192 False [   17913.840839] 0003 0036 0000096d
2022-04-07 18:39:44.523243 False [   17913.849759] 0003 0036 0000096e
2022-04-07 18:39:44.530360 False [   17913.857549] 0003 0036 00000970
2022-04-07 18:39:44.539145 False [   17913.866330] 0003 0036 00000971
2022-04-07 18:39:44.546522 False [   17913.874151] 0003 0036 00000972
2022-04-07 18:39:44.555449 False [   17913.884140] 0003 0036 00000973
2022-04-07 18:39:44.562687 False [   17913.891099] 0003 0035 0000054d
2022-04-07 18:39:44.562687 False [   17913.891099] 0003 0036 00000975
2022-04-07 18:39:44.570653 False [   17913.899389] 0003 0036 00000977
2022-04-07 18:39:44.577438 False [   17913.907438] 0003 0035 0000054c
2022-04-07 18:39:44.577438 False [   17913.907438] 0003 0036 00000979
2022-04-07 18:39:44.586333 False [   17913.916275] 0003 0035 00000549
2022-04-07 18:39:44.586333 False [   17913.916275] 0003 0036 0000097a
2022-04-07 18:39:44.597044 False [   17913.924077] 0003 0035 00000547
2022-04-07 18:39:44.597044 False [   17913.924077] 0003 0036 0000097c
2022-04-07 18:39:44.605799 False [   17913.933552] 0003 0035 00000542
2022-04-07 18:39:44.605799 False [   17913.933552] 0003 0036 0000097e
2022-04-07 18:39:44.610647 False [   17913.940717] 0003 0035 0000053d
2022-04-07 18:39:44.610647 False [   17913.940717] 0003 0036 0000097f
2022-04-07 18:39:44.620700 False [   17913.950546] 0003 0035 00000536
