Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:29.528904 True [   18526.620498] 0003 0035 000001f6
2022-03-16 15:12:29.529926 True [   18526.620498] 0003 0036 000001c3
2022-03-16 15:12:29.544714 True [   18526.637670] 0003 0035 000001f2
2022-03-16 15:12:29.544714 True [   18526.637670] 0003 0036 000001c0
2022-03-16 15:12:29.562155 True [   18526.654199] 0003 0035 000001f2
2022-03-16 15:12:29.562155 True [   18526.654199] 0003 0036 000001c0
2022-03-16 15:12:29.578120 True [   18526.670699] 0003 0035 000001ed
2022-03-16 15:12:29.578120 True [   18526.670699] 0003 0036 000001bc
2022-03-16 15:12:29.594537 True [   18526.687666] 0003 0035 000001e9
2022-03-16 15:12:29.594537 True [   18526.687666] 0003 0036 000001b9
2022-03-16 15:12:29.611499 True [   18526.704839] 0003 0035 000001e4
2022-03-16 15:12:29.611499 True [   18526.704839] 0003 0036 000001b7
2022-03-16 15:12:29.629285 True [   18526.722003] 0003 0035 000001df
2022-03-16 15:12:29.629285 True [   18526.722003] 0003 0036 000001b5
2022-03-16 15:12:29.646748 True [   18526.739076] 0003 0035 000001da
2022-03-16 15:12:29.646748 True [   18526.739076] 0003 0036 000001b3
2022-03-16 15:12:29.662242 True [   18526.755780] 0003 0035 000001d4
2022-03-16 15:12:29.662242 True [   18526.755780] 0003 0036 000001b0
2022-03-16 15:12:29.679341 True [   18526.772898] 0003 0035 000001cf
2022-03-16 15:12:29.679341 True [   18526.772898] 0003 0036 000001ad
2022-03-16 15:12:29.698080 True [   18526.790458] 0003 0035 000001ca
2022-03-16 15:12:29.698080 True [   18526.790458] 0003 0036 000001ab
2022-03-16 15:12:29.713571 True [   18526.806923] 0003 0035 000001c5
2022-03-16 15:12:29.713571 True [   18526.806923] 0003 0036 000001a9
2022-03-16 15:12:29.731255 True [   18526.823360] 0003 0035 000001c1
2022-03-16 15:12:29.731255 True [   18526.823360] 0003 0036 000001a7
2022-03-16 15:12:29.748214 True [   18526.840898] 0003 0035 000001c1
2022-03-16 15:12:29.748214 True [   18526.840898] 0003 0036 000001a7
2022-03-16 15:12:29.765884 True [   18526.857980] 0003 0035 000001bc
2022-03-16 15:12:29.765884 True [   18526.857980] 0003 0036 000001a5
2022-03-16 15:12:29.781514 True [   18526.874729] 0003 0035 000001bc
2022-03-16 15:12:29.781514 True [   18526.874729] 0003 0036 000001a5
2022-03-16 15:12:29.798420 True [   18526.891354] 0003 0035 000001b8
2022-03-16 15:12:29.799401 True [   18526.891354] 0003 0036 000001a2
2022-03-16 15:12:29.815810 True [   18526.907829] 0003 0035 000001b4
2022-03-16 15:12:29.815810 True [   18526.907829] 0003 0036 000001a0
2022-03-16 15:12:29.831521 True [   18526.924751] 0003 0035 000001b4
2022-03-16 15:12:29.831521 True [   18526.924751] 0003 0036 000001a0
2022-03-16 15:12:29.850162 True [   18526.942545] 0003 0035 000001b4
2022-03-16 15:12:29.850162 True [   18526.942545] 0003 0036 000001a0
2022-03-16 15:12:29.867014 True [   18526.959471] 0003 0035 000001b0
2022-03-16 15:12:29.868028 True [   18526.959471] 0003 0036 0000019c
2022-03-16 15:12:29.883006 True [   18526.975751] 0003 0035 000001b0
2022-03-16 15:12:29.883006 True [   18526.975751] 0003 0036 0000019c
2022-03-16 15:12:29.901040 True [   18526.992985] 0003 0035 000001ad
2022-03-16 15:12:29.901040 True [   18526.992985] 0003 0036 00000197
2022-03-16 15:12:29.916856 True [   18527.009995] 0003 0035 000001ad
2022-03-16 15:12:29.916856 True [   18527.009995] 0003 0036 00000197
2022-03-16 15:12:29.933155 True [   18527.026765] 0003 0035 000001aa
2022-03-16 15:12:29.933155 True [   18527.026765] 0003 0036 00000192
2022-03-16 15:12:29.951941 True [   18527.043563] 0003 0035 000001a8
2022-03-16 15:12:29.951941 True [   18527.043563] 0003 0036 0000018e
2022-03-16 15:12:29.968888 True [   18527.060894] 0003 0035 000001a8
2022-03-16 15:12:29.968888 True [   18527.060894] 0003 0036 0000018e
2022-03-16 15:12:29.984241 True [   18527.077630] 0003 0035 000001a8
2022-03-16 15:12:29.984241 True [   18527.077630] 0003 0036 00000189
2022-03-16 15:12:30.001169 True [   18527.094752] 0003 0035 000001a8
2022-03-16 15:12:30.002170 True [   18527.094752] 0003 0036 00000185
2022-03-16 15:12:30.019167 True [   18527.111545] 0003 0035 000001a8
2022-03-16 15:12:30.019167 True [   18527.111545] 0003 0036 00000181
2022-03-16 15:12:30.036095 True [   18527.128797] 0003 0035 000001a8
2022-03-16 15:12:30.036095 True [   18527.128797] 0003 0036 0000017d
2022-03-16 15:12:30.052203 True [   18527.145313] 0003 0035 000001a8
2022-03-16 15:12:30.053201 True [   18527.145313] 0003 0036 00000179
2022-03-16 15:12:30.070103 True [   18527.162129] 0003 0035 000001a8
2022-03-16 15:12:30.070103 True [   18527.162129] 0003 0036 00000175
2022-03-16 15:12:30.086061 True [   18527.179001] 0003 0035 000001a8
2022-03-16 15:12:30.087058 True [   18527.179001] 0003 0036 00000171
2022-03-16 15:12:30.102142 True [   18527.195744] 0003 0035 000001aa
2022-03-16 15:12:30.102142 True [   18527.195744] 0003 0036 0000016d
2022-03-16 15:12:30.121383 True [   18527.214073] 0003 0035 000001ac
2022-03-16 15:12:30.121383 True [   18527.214073] 0003 0036 00000169
2022-03-16 15:12:30.136502 True [   18527.229869] 0003 0035 000001b1
2022-03-16 15:12:30.136502 True [   18527.229869] 0003 0036 00000165
2022-03-16 15:12:30.153161 True [   18527.246718] 0003 0035 000001b7
2022-03-16 15:12:30.153161 True [   18527.246718] 0003 0036 00000161
2022-03-16 15:12:30.171083 True [   18527.263900] 0003 0035 000001bf
2022-03-16 15:12:30.171083 True [   18527.263900] 0003 0036 0000015d
