Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:32.093926 False [  146995.294685] 0003 0035 0000012a
2022-04-02 14:24:32.093926 False [  146995.294685] 0003 0036 00000386
2022-04-02 14:24:32.093926 False [  146995.299743] 0003 0035 0000012c
2022-04-02 14:24:32.093926 False [  146995.299743] 0003 0036 00000387
2022-04-02 14:24:32.093926 False [  146995.313882] 0003 0035 0000012f
2022-04-02 14:24:32.093926 False [  146995.313882] 0003 0036 00000389
2022-04-02 14:24:32.177969 False [  146995.331247] 0003 0035 00000133
2022-04-02 14:24:32.177969 False [  146995.331247] 0003 0036 0000038c
2022-04-02 14:24:32.177969 False [  146995.342277] 0003 0035 00000135
2022-04-02 14:24:32.177969 False [  146995.342277] 0003 0036 0000038d
2022-04-02 14:24:32.177969 False [  146995.353781] 0003 0035 00000136
2022-04-02 14:24:32.177969 False [  146995.353781] 0003 0036 0000038e
2022-04-02 14:24:32.177969 False [  146995.365818] 0003 0035 00000138
2022-04-02 14:24:32.177969 False [  146995.365818] 0003 0036 0000038f
2022-04-02 14:24:32.177969 False [  146995.376748] 0003 0035 0000013b
2022-04-02 14:24:32.177969 False [  146995.376748] 0003 0036 00000391
2022-04-02 14:24:32.177969 False [  146995.389479] 0003 0035 0000013d
2022-04-02 14:24:32.177969 False [  146995.389479] 0003 0036 00000393
2022-04-02 14:24:32.177969 False [  146995.404670] 0003 0035 00000140
2022-04-02 14:24:32.177969 False [  146995.404670] 0003 0036 00000395
2022-04-02 14:24:32.209250 False [  146995.419047] 0003 0035 00000141
2022-04-02 14:24:32.209250 False [  146995.419047] 0003 0036 00000396
2022-04-02 14:24:32.209250 False [  146995.430468] 0003 0035 00000144
2022-04-02 14:24:32.209250 False [  146995.430468] 0003 0036 00000399
2022-04-02 14:24:32.209250 False [  146995.438656] 0003 0035 00000146
2022-04-02 14:24:32.209250 False [  146995.438656] 0003 0036 0000039a
2022-04-02 14:24:32.209250 False [  146995.453610] 0003 0035 00000148
2022-04-02 14:24:32.209250 False [  146995.453610] 0003 0036 0000039b
2022-04-02 14:24:32.209250 False [  146995.464387] 0003 0035 0000014b
2022-04-02 14:24:32.209250 False [  146995.464387] 0003 0036 0000039d
2022-04-02 14:24:32.209250 False [  146995.477216] 0003 0035 0000014d
2022-04-02 14:24:32.209250 False [  146995.477216] 0003 0036 0000039f
2022-04-02 14:24:32.209250 False [  146995.489336] 0003 0035 0000014f
2022-04-02 14:24:32.209250 False [  146995.489336] 0003 0036 000003a1
2022-04-02 14:24:32.258340 False [  146995.500207] 0003 0035 00000150
2022-04-02 14:24:32.258340 False [  146995.500207] 0003 0036 000003a4
