Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:56.420667 True [  156439.609565] 0003 0035 000004b4
2022-04-02 17:01:56.420667 True [  156439.609565] 0003 0036 000003e6
2022-04-02 17:01:56.429952 True [  156439.617858] 0003 0035 000004b6
2022-04-02 17:01:56.429952 True [  156439.617858] 0003 0036 000003e2
2022-04-02 17:01:56.438506 True [  156439.626185] 0003 0035 000004b7
2022-04-02 17:01:56.438506 True [  156439.626185] 0003 0036 000003df
2022-04-02 17:01:56.447304 True [  156439.634362] 0003 0035 000004bb
2022-04-02 17:01:56.447304 True [  156439.634362] 0003 0036 000003d6
2022-04-02 17:01:56.455319 True [  156439.642760] 0003 0035 000004be
2022-04-02 17:01:56.455319 True [  156439.642760] 0003 0036 000003d0
2022-04-02 17:01:56.462989 True [  156439.651114] 0003 0035 000004c1
2022-04-02 17:01:56.462989 True [  156439.651114] 0003 0036 000003cc
2022-04-02 17:01:56.470544 True [  156439.659328] 0003 0035 000004c5
2022-04-02 17:01:56.470544 True [  156439.659328] 0003 0036 000003c4
2022-04-02 17:01:56.480913 True [  156439.667579] 0003 0035 000004c9
2022-04-02 17:01:56.480913 True [  156439.667579] 0003 0036 000003be
2022-04-02 17:01:56.487450 True [  156439.676033] 0003 0035 000004cb
2022-04-02 17:01:56.487450 True [  156439.676033] 0003 0036 000003ba
2022-04-02 17:01:56.504098 True [  156439.692553] 0003 0035 000004cc
2022-04-02 17:01:56.504098 True [  156439.692553] 0003 0036 000003b7
2022-04-02 17:01:56.513076 True [  156439.700774] 0003 0035 000004d0
2022-04-02 17:01:56.513076 False [  156439.700774] 0003 0036 000003b0
2022-04-02 17:01:56.522318 False [  156439.709208] 0003 0035 000004d3
2022-04-02 17:01:56.522318 False [  156439.709208] 0003 0036 000003ac
2022-04-02 17:01:56.529970 False [  156439.717437] 0003 0035 000004d4
2022-04-02 17:01:56.529970 False [  156439.717437] 0003 0036 000003a9
2022-04-02 17:01:56.537759 False [  156439.725833] 0003 0035 000004d6
2022-04-02 17:01:56.537759 False [  156439.725833] 0003 0036 000003a6
2022-04-02 17:01:56.547338 False [  156439.734058] 0003 0035 000004d7
2022-04-02 17:01:56.547338 False [  156439.734058] 0003 0036 000003a4
2022-04-02 17:01:56.554968 False [  156439.742547] 0003 0036 000003a3
2022-04-02 17:01:56.564601 False [  156439.750724] 0003 0035 000004d8
2022-04-02 17:01:56.564601 False [  156439.750724] 0003 0036 000003a2
2022-04-02 17:01:56.571759 False [  156439.759055] 0003 0036 000003a1
2022-04-02 17:01:56.581137 False [  156439.767262] 0003 0036 000003a4
2022-04-02 17:01:56.586371 False [  156439.775662] 0003 0036 000003a5
2022-04-02 17:01:56.596770 False [  156439.783953] 0003 0036 000003a6
2022-04-02 17:01:56.604364 False [  156439.792327] 0003 0036 000003a8
2022-04-02 17:01:56.613367 False [  156439.800619] 0003 0035 000004d7
2022-04-02 17:01:56.613367 False [  156439.800619] 0003 0036 000003b0
2022-04-02 17:01:56.621041 False [  156439.809016] 0003 0035 000004d6
2022-04-02 17:01:56.621041 False [  156439.809016] 0003 0036 000003b6
2022-04-02 17:01:56.629803 False [  156439.817205] 0003 0035 000004d5
2022-04-02 17:01:56.629803 True [  156439.817205] 0003 0036 000003ba
