Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1200821656494728 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:27:21.367027 False [   17170.707194] 0003 0035 00000131
2022-04-07 18:27:21.384820 False [   17170.723791] 0003 0035 00000130
2022-04-07 18:27:21.401363 False [   17170.740628] 0003 0035 0000012f
2022-04-07 18:27:21.467582 False [   17170.806945] 0003 0035 0000012e
2022-04-07 18:27:21.475556 False [   17170.815413] 0003 0035 0000012d
2022-04-07 18:27:21.483839 False [   17170.823615] 0003 0035 0000012c
2022-04-07 18:27:21.500722 False [   17170.840148] 0003 0035 0000012b
2022-04-07 18:27:21.525618 False [   17170.865181] 0003 0035 0000012a
2022-04-07 18:27:21.542572 False [   17170.881832] 0003 0035 00000129
2022-04-07 18:27:21.559141 False [   17170.898459] 0003 0036 000001b5
2022-04-07 18:27:21.567214 False [   17170.906681] 0003 0036 000001b6
2022-04-07 18:27:21.583739 False [   17170.923259] 0003 0036 000001b7
2022-04-07 18:27:21.593143 False [   17170.931699] 0003 0036 000001b8
2022-04-07 18:27:21.599403 False [   17170.939879] 0003 0036 000001ba
2022-04-07 18:27:21.608000 False [   17170.948414] 0003 0035 0000012a
2022-04-07 18:27:21.608000 False [   17170.948414] 0003 0036 000001bc
2022-04-07 18:27:21.617022 False [   17170.956550] 0003 0036 000001be
2022-04-07 18:27:21.625444 False [   17170.964951] 0003 0035 0000012b
2022-04-07 18:27:21.625444 False [   17170.964951] 0003 0036 000001c1
2022-04-07 18:27:21.633895 False [   17170.973191] 0003 0035 0000012c
2022-04-07 18:27:21.633895 False [   17170.973191] 0003 0036 000001c4
