Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:02.814301 False [  158245.974426] 0003 0035 000004e4
2022-04-02 17:32:02.814301 False [  158245.974426] 0003 0036 000003bb
2022-04-02 17:32:02.822414 False [  158245.982461] 0003 0035 000004e8
2022-04-02 17:32:02.822414 False [  158245.982461] 0003 0036 000003b6
2022-04-02 17:32:02.830349 False [  158245.990896] 0003 0035 000004ec
2022-04-02 17:32:02.830349 False [  158245.990896] 0003 0036 000003b2
2022-04-02 17:32:02.839431 False [  158245.999063] 0003 0035 000004f0
2022-04-02 17:32:02.839431 False [  158245.999063] 0003 0036 000003ae
2022-04-02 17:32:02.848505 False [  158246.007501] 0003 0035 000004f4
2022-04-02 17:32:02.848505 False [  158246.007501] 0003 0036 000003aa
2022-04-02 17:32:02.854245 False [  158246.015727] 0003 0035 000004f9
2022-04-02 17:32:02.854245 False [  158246.015727] 0003 0036 000003a8
2022-04-02 17:32:02.865267 False [  158246.024176] 0003 0035 000004fd
2022-04-02 17:32:02.865267 False [  158246.024176] 0003 0036 000003a5
2022-04-02 17:32:02.873027 False [  158246.032503] 0003 0035 00000501
2022-04-02 17:32:02.873027 False [  158246.032503] 0003 0036 000003a4
2022-04-02 17:32:02.880251 False [  158246.040742] 0003 0035 00000504
2022-04-02 17:32:02.880251 False [  158246.040742] 0003 0036 000003a2
2022-04-02 17:32:02.889498 False [  158246.048920] 0003 0035 00000507
2022-04-02 17:32:02.889498 False [  158246.048920] 0003 0036 000003a1
2022-04-02 17:32:02.897598 False [  158246.057334] 0003 0035 0000050a
2022-04-02 17:32:02.897598 False [  158246.057334] 0003 0036 000003a0
2022-04-02 17:32:02.905244 False [  158246.065587] 0003 0035 0000050d
2022-04-02 17:32:02.914296 False [  158246.074061] 0003 0035 0000050e
2022-04-02 17:32:02.922244 False [  158246.082167] 0003 0035 0000050f
2022-04-02 17:32:02.922244 False [  158246.082167] 0003 0036 000003a1
2022-04-02 17:32:02.933757 False [  158246.090654] 0003 0035 00000510
2022-04-02 17:32:02.940282 False [  158246.098923] 0003 0035 00000513
