Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.659885543289989 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:39:13.196445 False [  144267.121358] 0003 0035 000001b8
2022-04-02 13:39:13.196445 False [  144267.121358] 0003 0036 0000030f
2022-04-02 13:39:13.204720 False [  144267.129414] 0003 0035 000001b9
2022-04-02 13:39:13.204720 False [  144267.129414] 0003 0036 00000310
2022-04-02 13:39:13.213003 False [  144267.138014] 0003 0035 000001ba
2022-04-02 13:39:13.213003 False [  144267.138014] 0003 0036 00000312
2022-04-02 13:39:13.220564 False [  144267.146037] 0003 0036 00000314
2022-04-02 13:39:13.230196 False [  144267.154795] 0003 0035 000001bc
2022-04-02 13:39:13.230196 False [  144267.154795] 0003 0036 00000315
2022-04-02 13:39:13.237936 False [  144267.162878] 0003 0035 000001bd
2022-04-02 13:39:13.237936 False [  144267.162878] 0003 0036 00000317
2022-04-02 13:39:13.254577 False [  144267.179296] 0003 0035 000001be
2022-04-02 13:39:13.254577 False [  144267.179296] 0003 0036 00000319
2022-04-02 13:39:13.261688 False [  144267.187633] 0003 0036 0000031a
2022-04-02 13:39:13.280454 False [  144267.204572] 0003 0035 000001c0
2022-04-02 13:39:13.280454 False [  144267.204572] 0003 0036 0000031d
2022-04-02 13:39:13.288276 False [  144267.212750] 0003 0035 000001c1
2022-04-02 13:39:13.288276 False [  144267.212750] 0003 0036 0000031f
2022-04-02 13:39:13.295950 False [  144267.220910] 0003 0035 000001c2
2022-04-02 13:39:13.295950 False [  144267.220910] 0003 0036 00000320
2022-04-02 13:39:13.305046 False [  144267.229229] 0003 0035 000001c3
2022-04-02 13:39:13.305046 False [  144267.229229] 0003 0036 00000323
2022-04-02 13:39:13.314324 False [  144267.237626] 0003 0035 000001c5
2022-04-02 13:39:13.314324 False [  144267.237626] 0003 0036 00000324
2022-04-02 13:39:13.320677 False [  144267.245717] 0003 0036 00000326
2022-04-02 13:39:13.337850 False [  144267.262455] 0003 0035 000001c7
2022-04-02 13:39:13.337850 False [  144267.262455] 0003 0036 00000328
2022-04-02 13:39:13.346616 False [  144267.270839] 0003 0035 000001c9
2022-04-02 13:39:13.346616 False [  144267.270839] 0003 0036 0000032a
2022-04-02 13:39:13.365004 False [  144267.287485] 0003 0035 000001ca
2022-04-02 13:39:13.365004 False [  144267.287485] 0003 0036 0000032c
2022-04-02 13:39:13.370418 False [  144267.295651] 0003 0035 000001cc
2022-04-02 13:39:13.370418 False [  144267.295651] 0003 0036 0000032f
2022-04-02 13:39:13.379444 False [  144267.304174] 0003 0035 000001cd
2022-04-02 13:39:13.379444 False [  144267.304174] 0003 0036 00000331
2022-04-02 13:39:13.387742 False [  144267.312295] 0003 0035 000001cf
2022-04-02 13:39:13.387742 False [  144267.312295] 0003 0036 00000332
2022-04-02 13:39:13.395503 False [  144267.320727] 0003 0035 000001d0
2022-04-02 13:39:13.395503 False [  144267.320727] 0003 0036 00000335
2022-04-02 13:39:13.404386 False [  144267.328933] 0003 0035 000001d1
2022-04-02 13:39:13.421126 False [  144267.345463] 0003 0035 000001d3
