Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.1833950819581911 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:47:21.917876 False [  144755.835691] 0003 0035 00000194
2022-04-02 13:47:21.917876 False [  144755.835691] 0003 0036 00000399
2022-04-02 13:47:21.925961 False [  144755.844114] 0003 0036 00000398
2022-04-02 13:47:21.934169 False [  144755.852333] 0003 0035 00000190
2022-04-02 13:47:21.934169 False [  144755.852333] 0003 0036 0000038f
2022-04-02 13:47:21.942563 False [  144755.860702] 0003 0035 0000018d
2022-04-02 13:47:21.942563 False [  144755.860702] 0003 0036 00000389
2022-04-02 13:47:21.951669 False [  144755.868972] 0003 0035 0000018a
2022-04-02 13:47:21.951669 False [  144755.868972] 0003 0036 00000384
2022-04-02 13:47:21.958501 False [  144755.877316] 0003 0035 00000188
2022-04-02 13:47:21.958501 False [  144755.877316] 0003 0036 0000037f
2022-04-02 13:47:21.968526 False [  144755.885542] 0003 0035 00000185
2022-04-02 13:47:21.968526 False [  144755.885542] 0003 0036 0000037d
2022-04-02 13:47:21.975779 False [  144755.893985] 0003 0035 00000184
2022-04-02 13:47:21.975779 False [  144755.893985] 0003 0036 0000037a
2022-04-02 13:47:21.984695 False [  144755.902173] 0003 0035 00000183
2022-04-02 13:47:21.984695 False [  144755.902173] 0003 0036 00000378
2022-04-02 13:47:21.993087 False [  144755.910631] 0003 0035 00000182
2022-04-02 13:47:21.993087 False [  144755.910631] 0003 0036 00000377
2022-04-02 13:47:22.001230 False [  144755.918832] 0003 0036 00000375
2022-04-02 13:47:22.008499 False [  144755.927194] 0003 0035 00000181
2022-04-02 13:47:22.008499 False [  144755.927194] 0003 0036 00000374
2022-04-02 13:47:22.077210 False [  144755.993759] 0003 0036 00000373
2022-04-02 13:47:22.093785 False [  144756.010343] 0003 0035 00000182
2022-04-02 13:47:22.101598 False [  144756.018533] 0003 0036 00000372
2022-04-02 13:47:22.108499 False [  144756.026903] 0003 0035 00000183
2022-04-02 13:47:22.117011 False [  144756.035107] 0003 0035 00000184
2022-04-02 13:47:22.125772 False [  144756.043546] 0003 0035 00000185
2022-04-02 13:47:22.143284 False [  144756.060138] 0003 0035 00000187
2022-04-02 13:47:22.163025 False [  144756.076787] 0003 0035 00000189
2022-04-02 13:47:22.163025 False [  144756.076787] 0003 0036 00000371
2022-04-02 13:47:22.168354 False [  144756.084955] 0003 0035 0000018c
2022-04-02 13:47:22.175164 False [  144756.093367] 0003 0035 0000018e
2022-04-02 13:47:22.175164 False [  144756.093367] 0003 0036 00000372
2022-04-02 13:47:22.185331 False [  144756.101572] 0003 0035 00000190
2022-04-02 13:47:22.192369 False [  144756.110106] 0003 0035 00000193
2022-04-02 13:47:22.192369 False [  144756.110106] 0003 0036 00000373
2022-04-02 13:47:22.200150 False [  144756.118198] 0003 0035 00000196
2022-04-02 13:47:22.209267 False [  144756.126605] 0003 0035 00000198
2022-04-02 13:47:22.209267 False [  144756.126605] 0003 0036 00000374
2022-04-02 13:47:22.217136 False [  144756.134845] 0003 0035 0000019a
2022-04-02 13:47:22.225757 False [  144756.143266] 0003 0035 0000019d
2022-04-02 13:47:22.225757 False [  144756.143266] 0003 0036 00000375
2022-04-02 13:47:22.242436 False [  144756.159848] 0003 0035 000001a0
2022-04-02 13:47:22.242436 False [  144756.159848] 0003 0036 00000377
2022-04-02 13:47:22.251092 False [  144756.168108] 0003 0035 000001a4
2022-04-02 13:47:22.251092 True [  144756.168108] 0003 0036 00000379
2022-04-02 13:47:22.258570 True [  144756.176562] 0003 0035 000001a6
2022-04-02 13:47:22.258570 True [  144756.176562] 0003 0036 0000037b
2022-04-02 13:47:22.268879 True [  144756.184696] 0003 0035 000001a9
2022-04-02 13:47:22.268879 True [  144756.184696] 0003 0036 0000037d
2022-04-02 13:47:22.275031 True [  144756.193069] 0003 0035 000001ab
2022-04-02 13:47:22.275031 True [  144756.193069] 0003 0036 0000037f
2022-04-02 13:47:22.283536 True [  144756.201277] 0003 0035 000001ad
2022-04-02 13:47:22.283536 True [  144756.201277] 0003 0036 00000380
2022-04-02 13:47:22.292977 True [  144756.209774] 0003 0035 000001af
2022-04-02 13:47:22.292977 True [  144756.209774] 0003 0036 00000382
2022-04-02 13:47:22.300015 True [  144756.217928] 0003 0035 000001b0
2022-04-02 13:47:22.300015 True [  144756.217928] 0003 0036 00000383
2022-04-02 13:47:22.309503 True [  144756.226327] 0003 0035 000001b1
2022-04-02 13:47:22.309503 True [  144756.226327] 0003 0036 00000384
2022-04-02 13:47:22.318539 True [  144756.234524] 0003 0035 000001b3
2022-04-02 13:47:22.318539 True [  144756.234524] 0003 0036 00000386
2022-04-02 13:47:22.325031 True [  144756.242946] 0003 0035 000001b4
2022-04-02 13:47:22.325031 True [  144756.242946] 0003 0036 00000388
2022-04-02 13:47:22.334688 True [  144756.251325] 0003 0035 000001b6
2022-04-02 13:47:22.334688 True [  144756.251325] 0003 0036 00000389
2022-04-02 13:47:22.342315 True [  144756.259621] 0003 0035 000001b7
2022-04-02 13:47:22.342315 True [  144756.259621] 0003 0036 0000038a
2022-04-02 13:47:22.350504 True [  144756.267730] 0003 0035 000001b8
2022-04-02 13:47:22.350504 True [  144756.267730] 0003 0036 0000038c
2022-04-02 13:47:22.359486 True [  144756.276160] 0003 0035 000001ba
2022-04-02 13:47:22.359486 True [  144756.276160] 0003 0036 0000038e
2022-04-02 13:47:22.367070 True [  144756.284380] 0003 0036 0000038f
2022-04-02 13:47:22.384308 True [  144756.301021] 0003 0035 000001bd
2022-04-02 13:47:22.384308 True [  144756.301021] 0003 0036 00000392
2022-04-02 13:47:22.393163 True [  144756.309446] 0003 0035 000001bf
2022-04-02 13:47:22.393163 True [  144756.309446] 0003 0036 00000394
2022-04-02 13:47:22.399895 True [  144756.317606] 0003 0035 000001c1
2022-04-02 13:47:22.399895 True [  144756.317606] 0003 0036 00000396
2022-04-02 13:47:22.408585 True [  144756.326051] 0003 0035 000001c3
2022-04-02 13:47:22.408585 True [  144756.326051] 0003 0036 00000398
2022-04-02 13:47:22.416919 True [  144756.334218] 0003 0035 000001c5
2022-04-02 13:47:22.416919 True [  144756.334218] 0003 0036 00000399
2022-04-02 13:47:22.424616 True [  144756.342605] 0003 0035 000001c6
2022-04-02 13:47:22.424616 True [  144756.342605] 0003 0036 0000039a
2022-04-02 13:47:22.434626 True [  144756.350860] 0003 0035 000001c8
2022-04-02 13:47:22.434626 True [  144756.350860] 0003 0036 0000039b
2022-04-02 13:47:22.441815 True [  144756.359278] 0003 0035 000001c9
2022-04-02 13:47:22.441815 True [  144756.359278] 0003 0036 0000039d
2022-04-02 13:47:22.450940 True [  144756.367551] 0003 0035 000001ca
2022-04-02 13:47:22.458471 True [  144756.375935] 0003 0035 000001cb
