Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:08.246088 False [  158011.409911] 0003 0035 0000053e
2022-04-02 17:28:08.246088 False [  158011.409911] 0003 0036 00000409
2022-04-02 17:28:08.254461 False [  158011.418052] 0003 0035 00000530
2022-04-02 17:28:08.254461 False [  158011.418052] 0003 0036 0000040e
2022-04-02 17:28:08.264457 False [  158011.426426] 0003 0035 00000523
2022-04-02 17:28:08.264457 False [  158011.426426] 0003 0036 00000414
2022-04-02 17:28:08.271535 False [  158011.434697] 0003 0035 00000517
2022-04-02 17:28:08.271535 False [  158011.434697] 0003 0036 00000418
2022-04-02 17:28:08.279778 False [  158011.443163] 0003 0035 0000050c
2022-04-02 17:28:08.279778 False [  158011.443163] 0003 0036 0000041a
2022-04-02 17:28:08.289203 False [  158011.451265] 0003 0035 00000505
2022-04-02 17:28:08.289203 False [  158011.451265] 0003 0036 0000041d
2022-04-02 17:28:08.297441 False [  158011.459736] 0003 0035 00000500
2022-04-02 17:28:08.297441 False [  158011.459736] 0003 0036 0000041e
2022-04-02 17:28:08.304621 False [  158011.467905] 0003 0035 000004fe
2022-04-02 17:28:08.304621 False [  158011.467905] 0003 0036 0000041f
2022-04-02 17:28:08.322071 False [  158011.476985] 0003 0036 0000041e
2022-04-02 17:28:08.324404 False [  158011.484659] 0003 0036 0000041d
2022-04-02 17:28:08.332091 False [  158011.493306] 0003 0035 00000502
2022-04-02 17:28:08.332091 False [  158011.493306] 0003 0036 0000041a
2022-04-02 17:28:08.338468 False [  158011.501157] 0003 0035 00000509
2022-04-02 17:28:08.338468 False [  158011.501157] 0003 0036 00000415
2022-04-02 17:28:08.348959 False [  158011.509616] 0003 0035 00000515
2022-04-02 17:28:08.348959 False [  158011.509616] 0003 0036 0000040c
2022-04-02 17:28:08.357006 False [  158011.517851] 0003 0035 00000523
