Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.1548132804826836 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:18:56.109659 True [   20265.264353] 0003 0035 000004cc
2022-04-07 19:18:56.109659 True [   20265.264353] 0003 0036 00000429
2022-04-07 19:18:56.109659 True [   20265.279050] 0003 0035 000004d0
2022-04-07 19:18:56.109659 True [   20265.279050] 0003 0036 00000424
2022-04-07 19:18:56.109659 True [   20265.292183] 0003 0035 000004d9
2022-04-07 19:18:56.109659 True [   20265.292183] 0003 0036 0000041a
2022-04-07 19:18:56.109659 True [   20265.303101] 0003 0035 000004e5
2022-04-07 19:18:56.109659 True [   20265.303101] 0003 0036 0000040f
2022-04-07 19:18:56.109659 True [   20265.319708] 0003 0035 000004ed
2022-04-07 19:18:56.109659 True [   20265.319708] 0003 0036 00000407
2022-04-07 19:18:56.190285 True [   20265.334332] 0003 0035 000004fd
2022-04-07 19:18:56.190285 False [   20265.334332] 0003 0036 000003f6
