Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6161247503994876 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:54:36.976247 False [  145190.886419] 0003 0036 00000286
2022-04-02 13:54:36.986945 False [  145190.894644] 0003 0035 00000180
2022-04-02 13:54:36.994466 False [  145190.903066] 0003 0036 00000287
2022-04-02 13:54:37.001055 False [  145190.911207] 0003 0035 00000181
2022-04-02 13:54:37.009777 False [  145190.919660] 0003 0036 00000288
2022-04-02 13:54:37.019574 False [  145190.927994] 0003 0035 00000182
2022-04-02 13:54:37.036932 False [  145190.944487] 0003 0035 00000183
2022-04-02 13:54:37.036932 False [  145190.944487] 0003 0036 00000289
2022-04-02 13:54:37.042937 False [  145190.952864] 0003 0035 00000184
2022-04-02 13:54:37.051016 False [  145190.961059] 0003 0035 00000185
2022-04-02 13:54:37.051016 False [  145190.961059] 0003 0036 0000028a
2022-04-02 13:54:37.060639 False [  145190.969570] 0003 0036 0000028b
2022-04-02 13:54:37.066464 False [  145190.977703] 0003 0035 00000186
2022-04-02 13:54:37.066464 False [  145190.977703] 0003 0036 0000028c
2022-04-02 13:54:37.085280 False [  145190.994346] 0003 0035 00000187
2022-04-02 13:54:37.093412 False [  145191.002737] 0003 0035 00000188
2022-04-02 13:54:37.093412 False [  145191.002737] 0003 0036 0000028d
2022-04-02 13:54:37.100348 False [  145191.010940] 0003 0036 0000028e
2022-04-02 13:54:37.110864 False [  145191.019384] 0003 0035 00000189
2022-04-02 13:54:37.110864 False [  145191.019384] 0003 0036 0000028f
2022-04-02 13:54:37.118412 False [  145191.027558] 0003 0035 0000018a
2022-04-02 13:54:37.118412 False [  145191.027558] 0003 0036 00000290
2022-04-02 13:54:37.126783 False [  145191.036076] 0003 0035 0000018c
2022-04-02 13:54:37.126783 False [  145191.036076] 0003 0036 00000291
2022-04-02 13:54:37.143701 False [  145191.052759] 0003 0035 0000018e
2022-04-02 13:54:37.143701 False [  145191.052759] 0003 0036 00000292
2022-04-02 13:54:37.152609 False [  145191.060824] 0003 0035 0000018f
