Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.18936422742587952 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:58:19.760374 False [  145413.667782] 0003 0035 0000019d
2022-04-02 13:58:19.760374 False [  145413.667782] 0003 0036 00000227
2022-04-02 13:58:19.767845 False [  145413.675963] 0003 0035 0000019e
2022-04-02 13:58:19.767845 False [  145413.675963] 0003 0036 00000228
2022-04-02 13:58:19.777443 False [  145413.684435] 0003 0036 00000229
2022-04-02 13:58:19.785703 False [  145413.692593] 0003 0035 0000019f
2022-04-02 13:58:19.785703 False [  145413.692593] 0003 0036 0000022a
2022-04-02 13:58:19.794257 False [  145413.701104] 0003 0035 000001a0
2022-04-02 13:58:19.794257 False [  145413.701104] 0003 0036 0000022b
2022-04-02 13:58:19.802099 False [  145413.709206] 0003 0035 000001a1
2022-04-02 13:58:19.802099 False [  145413.709206] 0003 0036 0000022c
2022-04-02 13:58:19.812777 False [  145413.717855] 0003 0036 0000022d
2022-04-02 13:58:19.819954 False [  145413.725967] 0003 0035 000001a2
2022-04-02 13:58:19.819954 False [  145413.725967] 0003 0036 0000022e
2022-04-02 13:58:19.829668 False [  145413.734235] 0003 0035 000001a3
2022-04-02 13:58:19.834004 False [  145413.742484] 0003 0035 000001a4
2022-04-02 13:58:19.834004 False [  145413.742484] 0003 0036 0000022f
2022-04-02 13:58:19.843637 False [  145413.750858] 0003 0035 000001a5
2022-04-02 13:58:19.843637 False [  145413.750858] 0003 0036 00000230
2022-04-02 13:58:19.853855 False [  145413.759111] 0003 0036 00000231
2022-04-02 13:58:19.859498 False [  145413.767574] 0003 0035 000001a6
2022-04-02 13:58:19.859498 False [  145413.767574] 0003 0036 00000232
2022-04-02 13:58:19.870547 False [  145413.775736] 0003 0035 000001a7
2022-04-02 13:58:19.870547 False [  145413.775736] 0003 0036 00000233
2022-04-02 13:58:19.876429 False [  145413.784122] 0003 0035 000001a8
2022-04-02 13:58:19.876429 False [  145413.784122] 0003 0036 00000234
2022-04-02 13:58:19.887255 False [  145413.792311] 0003 0036 00000235
2022-04-02 13:58:19.894698 False [  145413.800780] 0003 0035 000001a9
2022-04-02 13:58:19.894698 False [  145413.800780] 0003 0036 00000236
2022-04-02 13:58:19.902823 False [  145413.809043] 0003 0035 000001aa
2022-04-02 13:58:19.902823 False [  145413.809043] 0003 0036 00000237
2022-04-02 13:58:19.912451 False [  145413.817487] 0003 0035 000001ab
2022-04-02 13:58:19.912451 False [  145413.817487] 0003 0036 00000238
2022-04-02 13:58:19.919168 False [  145413.825641] 0003 0035 000001ac
2022-04-02 13:58:19.919168 False [  145413.825641] 0003 0036 00000239
2022-04-02 13:58:19.937862 False [  145413.842136] 0003 0036 0000023a
2022-04-02 13:58:19.946115 False [  145413.850590] 0003 0035 000001ad
2022-04-02 13:58:19.946115 False [  145413.850590] 0003 0036 0000023c
2022-04-02 13:58:19.952071 False [  145413.858963] 0003 0035 000001ae
2022-04-02 13:58:19.952071 False [  145413.858963] 0003 0036 0000023d
2022-04-02 13:58:19.960452 False [  145413.867193] 0003 0035 000001af
2022-04-02 13:58:19.960452 False [  145413.867193] 0003 0036 0000023e
2022-04-02 13:58:19.967895 False [  145413.875331] 0003 0035 000001b0
2022-04-02 13:58:19.967895 False [  145413.875331] 0003 0036 0000023f
2022-04-02 13:58:19.978613 False [  145413.883867] 0003 0036 00000240
2022-04-02 13:58:19.985582 False [  145413.892050] 0003 0035 000001b1
2022-04-02 13:58:19.985582 False [  145413.892050] 0003 0036 00000241
2022-04-02 13:58:19.994823 False [  145413.900480] 0003 0036 00000242
2022-04-02 13:58:20.002142 False [  145413.908663] 0003 0035 000001b2
2022-04-02 13:58:20.002142 False [  145413.908663] 0003 0036 00000243
2022-04-02 13:58:20.011160 False [  145413.917111] 0003 0035 000001b3
2022-04-02 13:58:20.011160 False [  145413.917111] 0003 0036 00000244
2022-04-02 13:58:20.025677 False [  145413.933830] 0003 0035 000001b4
2022-04-02 13:58:20.025677 False [  145413.933830] 0003 0036 00000245
2022-04-02 13:58:20.038421 False [  145413.942106] 0003 0035 000001b5
2022-04-02 13:58:20.038421 False [  145413.942106] 0003 0036 00000246
2022-04-02 13:58:20.045103 False [  145413.950399] 0003 0035 000001b6
2022-04-02 13:58:20.045103 False [  145413.950399] 0003 0036 00000248
2022-04-02 13:58:20.051465 False [  145413.958625] 0003 0035 000001b7
2022-04-02 13:58:20.051465 False [  145413.958625] 0003 0036 00000249
2022-04-02 13:58:20.069895 False [  145413.975050] 0003 0035 000001b8
2022-04-02 13:58:20.069895 False [  145413.975050] 0003 0036 0000024a
2022-04-02 13:58:20.077934 False [  145413.983557] 0003 0035 000001b9
2022-04-02 13:58:20.077934 False [  145413.983557] 0003 0036 0000024b
2022-04-02 13:58:20.086045 False [  145413.991729] 0003 0035 000001ba
2022-04-02 13:58:20.086045 False [  145413.991729] 0003 0036 0000024c
2022-04-02 13:58:20.094121 False [  145414.000172] 0003 0036 0000024d
2022-04-02 13:58:20.101680 False [  145414.008581] 0003 0036 0000024e
2022-04-02 13:58:20.112379 False [  145414.016811] 0003 0035 000001bb
2022-04-02 13:58:20.112379 False [  145414.016811] 0003 0036 0000024f
2022-04-02 13:58:20.119560 False [  145414.025030] 0003 0035 000001bc
2022-04-02 13:58:20.119560 False [  145414.025030] 0003 0036 00000250
2022-04-02 13:58:20.126517 False [  145414.033657] 0003 0035 000001bd
2022-04-02 13:58:20.126517 False [  145414.033657] 0003 0036 00000251
2022-04-02 13:58:20.135542 False [  145414.041626] 0003 0036 00000252
2022-04-02 13:58:20.144345 False [  145414.050076] 0003 0035 000001be
2022-04-02 13:58:20.144345 False [  145414.050076] 0003 0036 00000253
2022-04-02 13:58:20.153172 False [  145414.058294] 0003 0036 00000254
2022-04-02 13:58:20.161069 False [  145414.066637] 0003 0035 000001bf
2022-04-02 13:58:20.171052 False [  145414.074874] 0003 0036 00000256
2022-04-02 13:58:20.179550 False [  145414.083375] 0003 0035 000001c0
2022-04-02 13:58:20.179550 False [  145414.083375] 0003 0036 00000257
2022-04-02 13:58:20.191373 False [  145414.091523] 0003 0035 000001c1
2022-04-02 13:58:20.191373 False [  145414.091523] 0003 0036 00000258
2022-04-02 13:58:20.195190 False [  145414.100045] 0003 0036 00000259
2022-04-02 13:58:20.200719 False [  145414.108088] 0003 0035 000001c2
2022-04-02 13:58:20.200719 False [  145414.108088] 0003 0036 0000025a
2022-04-02 13:58:20.209246 False [  145414.116503] 0003 0035 000001c3
2022-04-02 13:58:20.217821 False [  145414.124672] 0003 0035 000001c4
2022-04-02 13:58:20.217821 False [  145414.124672] 0003 0036 0000025b
2022-04-02 13:58:20.226963 False [  145414.133099] 0003 0035 000001c5
2022-04-02 13:58:20.226963 False [  145414.133099] 0003 0036 0000025c
2022-04-02 13:58:20.236843 False [  145414.141349] 0003 0036 0000025d
2022-04-02 13:58:20.244373 False [  145414.149915] 0003 0035 000001c6
2022-04-02 13:58:20.244373 False [  145414.149915] 0003 0036 0000025e
2022-04-02 13:58:20.252569 False [  145414.158067] 0003 0035 000001c7
2022-04-02 13:58:20.252569 False [  145414.158067] 0003 0036 0000025f
2022-04-02 13:58:20.260975 False [  145414.166527] 0003 0035 000001c8
2022-04-02 13:58:20.268712 False [  145414.174656] 0003 0036 00000260
2022-04-02 13:58:20.276946 False [  145414.182985] 0003 0035 000001c9
2022-04-02 13:58:20.276946 False [  145414.182985] 0003 0036 00000261
2022-04-02 13:58:20.285982 False [  145414.191143] 0003 0036 00000262
2022-04-02 13:58:20.302505 False [  145414.207792] 0003 0035 000001ca
2022-04-02 13:58:20.302505 False [  145414.207792] 0003 0036 00000264
2022-04-02 13:58:20.309711 False [  145414.216311] 0003 0035 000001cb
2022-04-02 13:58:20.317387 False [  145414.224606] 0003 0035 000001cc
2022-04-02 13:58:20.317387 False [  145414.224606] 0003 0036 00000265
2022-04-02 13:58:20.327538 False [  145414.232891] 0003 0036 00000266
2022-04-02 13:58:20.334996 False [  145414.241083] 0003 0036 00000267
2022-04-02 13:58:20.342725 False [  145414.249619] 0003 0036 00000268
2022-04-02 13:58:20.349586 False [  145414.257822] 0003 0035 000001cd
2022-04-02 13:58:20.349586 False [  145414.257822] 0003 0036 00000269
2022-04-02 13:58:20.358788 False [  145414.266191] 0003 0035 000001ce
2022-04-02 13:58:20.358788 False [  145414.266191] 0003 0036 0000026a
2022-04-02 13:58:20.377502 False [  145414.282616] 0003 0035 000001cf
2022-04-02 13:58:20.377502 False [  145414.282616] 0003 0036 0000026b
2022-04-02 13:58:20.387487 False [  145414.290901] 0003 0036 0000026c
2022-04-02 13:58:20.393567 False [  145414.299432] 0003 0035 000001d0
2022-04-02 13:58:20.393567 False [  145414.299432] 0003 0036 0000026d
2022-04-02 13:58:20.399847 False [  145414.307514] 0003 0036 0000026e
2022-04-02 13:58:20.409875 False [  145414.315978] 0003 0036 0000026f
2022-04-02 13:58:20.419318 False [  145414.324386] 0003 0035 000001d1
2022-04-02 13:58:20.425469 False [  145414.332603] 0003 0036 00000270
2022-04-02 13:58:20.433870 False [  145414.340752] 0003 0035 000001d2
2022-04-02 13:58:20.433870 False [  145414.340752] 0003 0036 00000271
2022-04-02 13:58:20.442651 False [  145414.349213] 0003 0035 000001d3
2022-04-02 13:58:20.449580 False [  145414.357403] 0003 0036 00000272
2022-04-02 13:58:20.461469 False [  145414.365822] 0003 0036 00000273
2022-04-02 13:58:20.468046 False [  145414.374036] 0003 0035 000001d4
2022-04-02 13:58:20.468046 False [  145414.374036] 0003 0036 00000274
2022-04-02 13:58:20.476002 False [  145414.382459] 0003 0036 00000275
2022-04-02 13:58:20.484871 False [  145414.390639] 0003 0035 000001d5
2022-04-02 13:58:20.493743 False [  145414.399009] 0003 0035 000001d6
2022-04-02 13:58:20.493743 False [  145414.399009] 0003 0036 00000277
2022-04-02 13:58:20.499599 False [  145414.407262] 0003 0035 000001d7
2022-04-02 13:58:20.499599 False [  145414.407262] 0003 0036 00000278
2022-04-02 13:58:20.510472 False [  145414.415638] 0003 0036 0000027a
2022-04-02 13:58:20.516918 False [  145414.423834] 0003 0035 000001d8
2022-04-02 13:58:20.527449 False [  145414.432266] 0003 0035 000001d9
2022-04-02 13:58:20.527449 False [  145414.432266] 0003 0036 0000027c
2022-04-02 13:58:20.533594 False [  145414.440690] 0003 0035 000001da
2022-04-02 13:58:20.533594 False [  145414.440690] 0003 0036 0000027e
