Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:54:59.837736 True [  156023.031336] 0003 0035 000004b7
2022-04-02 16:54:59.837736 True [  156023.031336] 0003 0036 000003f8
2022-04-02 16:54:59.846369 True [  156023.039564] 0003 0036 000003f9
2022-04-02 16:54:59.854312 True [  156023.048052] 0003 0035 000004b9
2022-04-02 16:54:59.862477 True [  156023.056189] 0003 0035 000004ba
2022-04-02 16:54:59.862477 True [  156023.056189] 0003 0036 000003fa
2022-04-02 16:54:59.871231 True [  156023.064631] 0003 0035 000004bb
2022-04-02 16:54:59.871231 True [  156023.064631] 0003 0036 000003fb
2022-04-02 16:54:59.877610 True [  156023.073150] 0003 0035 000004bc
2022-04-02 16:54:59.877610 True [  156023.073150] 0003 0036 000003fc
2022-04-02 16:54:59.886144 True [  156023.081206] 0003 0035 000004be
2022-04-02 16:54:59.886144 True [  156023.081206] 0003 0036 000003fd
2022-04-02 16:54:59.904415 True [  156023.097827] 0003 0036 000003fe
2022-04-02 16:54:59.912243 True [  156023.106059] 0003 0035 000004bf
2022-04-02 16:54:59.947457 True [  156023.139326] 0003 0035 000004c0
2022-04-02 16:54:59.961496 True [  156023.155375] 0003 0035 000004c2
2022-04-02 16:54:59.970098 True [  156023.163961] 0003 0035 000004d1
2022-04-02 16:54:59.970098 True [  156023.163961] 0003 0036 00000405
2022-04-02 16:54:59.977952 True [  156023.172295] 0003 0035 000004e1
2022-04-02 16:54:59.977952 True [  156023.172295] 0003 0036 00000409
2022-04-02 16:54:59.985785 True [  156023.180659] 0003 0035 000004e9
2022-04-02 16:54:59.985785 True [  156023.180659] 0003 0036 0000040b
2022-04-02 16:54:59.993131 True [  156023.188825] 0003 0035 000004ef
2022-04-02 16:54:59.993131 True [  156023.188825] 0003 0036 0000040c
2022-04-02 16:55:00.002676 True [  156023.197331] 0003 0035 000004f2
2022-04-02 16:55:00.002676 True [  156023.197331] 0003 0036 0000040d
2022-04-02 16:55:00.010665 True [  156023.205542] 0003 0035 000004f6
2022-04-02 16:55:00.010665 True [  156023.205542] 0003 0036 00000414
2022-04-02 16:55:00.019426 True [  156023.213975] 0003 0035 000004fd
2022-04-02 16:55:00.019426 True [  156023.213975] 0003 0036 0000041f
2022-04-02 16:55:00.027334 True [  156023.222203] 0003 0035 00000501
2022-04-02 16:55:00.027334 True [  156023.222203] 0003 0036 00000427
2022-04-02 16:55:00.034643 True [  156023.230587] 0003 0035 00000505
2022-04-02 16:55:00.034643 True [  156023.230587] 0003 0036 0000041f
2022-04-02 16:55:00.044591 True [  156023.238896] 0003 0035 00000507
